unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,5.0696809097085715,0.0,5.0696809097085715,0.1549099368003102,6257.0,2
ALHAMBRA 1105,0,0,0,6.0588755196602175,0.0,6.0588755196602175,0.1974511791948185,2740.5,3
ALLEGHANY 1101,0,0,0,5.907835196573514,0.0,5.907835196573514,0.2864397688446849,1618.0,1
ALLEGHANY 1102,0,0,0,5.5827005749761005,0.0,5.5827005749761005,0.2786191135470282,1068.5,2
ALTO 1120,0,0,0,4.879173062790407,0.0,4.879173062790407,0.1246178648255888,15676.0,2
ALTO 1122,0,0,0,6.524343037569891,0.0,6.524343037569891,0.1246178648255887,2899.5,2
ALTO 1123,0,0,0,5.18845866745437,0.0,5.18845866745437,0.1246178648255885,2795.0,0
ALTO 1124,0,0,0,4.2179055699842305,0.0,4.2179055699842305,0.1287736297094071,10515.0,2
ALTO 1125,0,0,0,4.566022936239449,0.0,4.566022936239449,0.1287736297094071,5408.5,4
ANDERSON 1101,0,0,0,5.570586176860402,0.0,5.570586176860402,0.3492183960887707,5357.0,2
ANDERSON 1103,0,0,0,4.504314054136632,0.0,4.504314054136632,0.3492183960887708,1315.5,2
ANITA 1106,0,0,0,4.864912917569513,0.0,4.864912917569513,0.3409071438211769,767.875,0
ANNAPOLIS 1101,0,0,0,8.501714486032482,0.0,8.501714486032482,0.2761318432237993,727.0,2
ANTELOPE 1101,0,0,0,7.18447446674799,0.0,7.18447446674799,0.3623746423660113,164.77272727272728,2
ANTLER 1101,0,0,0,4.720878080422839,0.0,4.720878080422839,0.3670297507664933,4890.0,3
APPLE HILL 1103,0,0,0,6.434966995317123,0.0,6.434966995317123,0.2675418669661022,4209.5,2
APPLE HILL 1104,0,0,0,7.05723764073973,0.0,7.05723764073973,0.2675418669661022,1701.5,1
APPLE HILL 2102,0,0,0,6.817904686691483,0.0,6.817904686691483,0.2802963783915809,2137.0,2
ARCATA 1121,0,0,0,5.266983147150627,0.0,5.266983147150627,0.3269049229968833,5859.5,1
ARCATA 1122,0,0,0,5.466449764611443,0.0,5.466449764611443,0.3269049229968833,2574.5,4
ARLINGTON 0401,0,0,0,5.14889491732185,0.0,5.14889491732185,0.1336828542523809,5336.0,1
ARVIN 1101,0,0,0,8.825825475517616,0.0,8.825825475517616,0.4064647869473399,500.42857142857144,1
ATASCADERO 1101,0,0,0,4.654666551838759,0.0,4.654666551838759,0.2069776872901052,11520.0,1
ATASCADERO 1102,0,0,0,4.677924517729843,0.0,4.677924517729843,0.1941968027759022,6462.0,1
ATASCADERO 1103,0,0,0,3.854169183038095,0.0,3.854169183038095,0.2007660575455648,6120.0,4
AUBERRY 1101,0,0,0,5.852916457694285,0.0,5.852916457694285,0.2894678565143181,1059.5,3
AUBERRY 1102,0,0,0,6.482394336255013,0.0,6.482394336255013,0.274546194081111,1059.5,1
AUBURN 1101,0,0,0,5.337953641309315,0.0,5.337953641309315,0.2791804411080559,4632.0,4
AUBURN 1102,0,0,0,5.954265653619199,0.0,5.954265653619199,0.2791804411080559,1546.3333333333333,3
BALCH NO 1 1101,0,0,0,4.650393259777239,0.0,4.650393259777239,0.2550167888953987,580.0,2
BANCROFT 0401,0,0,0,4.589234795949984,0.0,4.589234795949984,0.163360950160327,10746.0,0
BANCROFT 0402,0,0,0,5.021678504891585,0.0,5.021678504891585,0.163360950160327,4121.0,0
BANGOR 1101,0,0,0,6.999746698687791,0.0,6.999746698687791,0.2854919985375536,1062.3333333333333,4
BASALT 1106,0,0,0,5.72347011554329,0.0,5.72347011554329,0.1739301325815104,905.5,4
BAY MEADOWS 1105,0,0,0,5.064535144202178,0.0,5.064535144202178,0.1680275001441952,2459.5,0
BAY MEADOWS 2102,0,0,0,6.170785118767766,0.0,6.170785118767766,0.1680275001441952,1854.3333333333333,0
BAYWOOD 1101,0,0,0,4.680715977069655,0.0,4.680715977069655,0.2053498985735254,1230.0,2
BEAR VALLEY 2101,0,0,0,6.46044577963542,0.0,6.46044577963542,0.287492404626456,5038.5,4
BEAR VALLEY 2105,0,0,0,5.66477847121401,0.0,5.66477847121401,0.2516147943249238,1603.0,4
BELL 1107,0,0,0,7.01314195249515,0.0,7.01314195249515,0.2913254107673408,8348.0,4
BELL 1108,0,0,0,6.326517199905882,0.0,6.326517199905882,0.2725382209716592,4663.0,3
BELL 1109,0,0,0,5.387884055265306,0.0,5.387884055265306,0.2791804411080559,3026.0,1
BELL 1110,0,0,0,7.366594882841203,0.0,7.366594882841203,0.2791804411080559,2955.5,4
BELLEVUE 1102,0,0,0,6.696607871350415,0.0,6.696607871350415,0.1820898002451363,3311.0,1
BELLEVUE 2101,0,0,0,6.3344923243630795,0.0,6.3344923243630795,0.2202383448520841,725.5,3
BELMONT 1103,0,0,0,6.62488323634552,0.0,6.62488323634552,0.2214910853016308,8404.0,3
BELMONT 1110,0,0,0,5.778707382793334,0.0,5.778707382793334,0.1712361843793777,2556.6666666666665,4
BEN LOMOND 0401,1,0,1,13.628681044303269,0.0,13.628681044303269,0.2993700349937302,2509.5,4
BEN LOMOND 1101,1,0,1,14.299351237741144,0.0,14.299351237741144,0.2993700349937302,2705.5,4
BERESFORD 0402,0,0,0,5.625945968211458,0.0,5.625945968211458,0.1680275001441952,7115.333333333333,1
BERESFORD 0403,0,0,0,5.122561640391918,0.0,5.122561640391918,0.1680275001441952,1856.5,0
BERKELEY F 0402,0,0,0,4.446650791950245,0.0,4.446650791950245,0.1336828542523809,5065.0,0
BERKELEY F 1103,0,0,0,6.268074109337999,0.0,6.268074109337999,0.1327819745776401,9660.333333333334,2
BERKELEY F 1105,0,0,0,4.929657570912516,0.0,4.929657570912516,0.1336828542523809,3386.0,2
BIG BASIN 1101,1,0,1,13.35931230381622,0.0,13.35931230381622,0.2993700349937302,2705.5,1
BIG BASIN 1102,1,0,1,15.498504947438692,0.0,15.498504947438692,0.3344099920361946,6007.0,1
BIG BEND 1101,0,0,0,7.517494429332148,0.0,7.517494429332148,0.3139210514363008,1418.0,0
BIG BEND 1102,0,0,0,6.961322547177869,0.0,6.961322547177869,0.3046049554247661,888.75,4
BIG MEADOWS 2101,0,0,0,5.050387767054406,0.0,5.050387767054406,0.2877673562330532,10046.666666666666,2
BIG RIVER 1101,0,0,0,5.09141169610185,0.0,5.09141169610185,0.3148390840851463,2443.0,1
BOGARD 1101,0,0,0,6.521929563343155,0.0,6.521929563343155,0.2561306408595827,9832.0,3
BOLINAS 1101,0,0,0,5.847138935350215,0.0,5.847138935350215,0.1681807605866166,2111.0,3
BONNIE NOOK 1101,0,0,0,6.668320180517879,0.0,6.668320180517879,0.2771027023971174,566.6,3
BONNIE NOOK 1102,0,0,0,4.917690353368457,0.0,4.917690353368457,0.2771027023971174,566.6,0
BRENTWOOD 2105,0,0,0,6.598799995674862,0.0,6.598799995674862,0.2328658842839492,1293.0,0
BRENTWOOD 2111,0,0,0,7.897236189057535,0.0,7.897236189057535,0.2488832465330431,11610.5,4
BRIDGEVILLE 1101,0,0,0,4.09329037271465,0.0,4.09329037271465,0.3154521354148224,1358.0,2
BRIDGEVILLE 1102,0,0,0,4.436269093579289,0.0,4.436269093579289,0.3243760369532248,1358.0,0
BROWNS VALLEY 1101,0,0,0,6.586750305789522,0.0,6.586750305789522,0.2977787714377185,1967.5,1
BRUNSWICK 1102,0,0,0,6.0277825407069185,0.0,6.0277825407069185,0.2676397373792119,7581.0,3
BRUNSWICK 1103,0,0,0,5.846535740784871,0.0,5.846535740784871,0.2606927396950301,2644.5,2
BRUNSWICK 1104,0,0,0,5.80105014346066,0.0,5.80105014346066,0.2606927396950301,6700.0,3
BRUNSWICK 1105,0,0,0,5.733887241500867,0.0,5.733887241500867,0.2676397373792119,2644.5,4
BRUNSWICK 1106,0,0,0,5.768086627023568,0.0,5.768086627023568,0.2683191784413822,4079.0,3
BRUNSWICK 1107,0,0,0,5.6060450552205054,0.0,5.6060450552205054,0.2606927396950301,7037.0,4
BRUNSWICK 1110,0,0,0,6.441488859018259,0.0,6.441488859018259,0.2606927396950301,6373.0,4
BUCKS CREEK 1103,0,0,0,6.542892724363298,0.0,6.542892724363298,0.3193453979179915,854.6666666666666,3
BUELLTON 1101,0,0,0,8.317948394121155,0.0,8.317948394121155,0.3491868521662245,6937.5,4
BUELLTON 1102,0,0,0,7.507438330359197,0.0,7.507438330359197,0.3491868521662245,3914.0,4
BURNEY 1101,0,0,0,4.023701039692963,0.0,4.023701039692963,0.2530088734479429,1384.6666666666667,1
BURNEY 1102,0,0,0,3.5607889494141243,0.0,3.5607889494141243,0.2530088734479429,1384.6666666666667,3
BURNS 2101,1,0,1,14.400108453470832,0.0,14.400108453470832,0.2993700349937302,5661.5,1
BUTTE 1105,0,0,0,7.1414984131443635,0.0,7.1414984131443635,0.3441668769200218,1246.6666666666667,3
CABRILLO 1103,0,0,0,5.2530053533393195,0.0,5.2530053533393195,0.2664289723567445,2496.0,2
CABRILLO 1104,0,0,0,6.2354440372771025,0.0,6.2354440372771025,0.2647650910661285,46690.5,4
CAL WATER 1102,0,0,0,8.115290937381328,0.0,8.115290937381328,0.4481556461190107,6749.0,3
CALAVERAS CEMENT 1101,0,0,0,7.378632086069852,0.0,7.378632086069852,0.3046758649367984,2172.0,4
CALISTOGA 1101,0,0,0,8.217020806012293,0.0,8.217020806012293,0.2212872868209573,569.0,0
CALISTOGA 1102,0,0,0,6.085895860200382,0.0,6.085895860200382,0.1925383007818457,5797.0,2
CALPELLA 1101,0,0,0,5.615905313677379,0.0,5.615905313677379,0.2746722236818243,3009.0,3
CALPELLA 1102,0,0,0,4.325374728157008,0.0,4.325374728157008,0.2936069035227806,4236.0,1
CAMP EVERS 2103,0,0,0,9.79155283141398,0.0,9.79155283141398,0.2088894330290048,17638.0,3
CAMP EVERS 2104,0,0,0,11.366175420076305,0.0,11.366175420076305,0.253968802713992,5231.0,1
CAMP EVERS 2105,0,0,0,12.027638307645004,0.0,12.027638307645004,0.253968802713992,4735.0,3
CAMP EVERS 2106,1,0,1,13.473283868648808,0.0,13.473283868648808,0.253968802713992,3450.0,3
CAMPHORA 1101,1,0,1,16.521909089901563,0.0,16.521909089901563,0.3675132976879319,1716.0,3
CARLOTTA 1121,0,0,0,5.403791768782196,0.0,5.403791768782196,0.3424025665575457,1358.0,0
CAROLANDS 0401,0,0,0,5.153214727735054,0.0,5.153214727735054,0.1680275001441952,1944.0,4
CAROLANDS 0404,0,0,0,4.674107531831971,0.0,4.674107531831971,0.1680275001441952,1854.3333333333333,4
CASTRO VALLEY 1102,0,0,0,6.586505981215662,0.0,6.586505981215662,0.2135091375296046,8877.0,4
CASTRO VALLEY 1105,0,0,0,5.48332268591704,0.0,5.48332268591704,0.163360950160327,10696.5,0
CASTRO VALLEY 1108,0,0,0,5.942660025977694,0.0,5.942660025977694,0.2135091375296046,13970.0,1
CASTRO VALLEY 1110,0,0,0,7.734905554077591,0.0,7.734905554077591,0.2135091375296046,3863.0,3
CASTRO VALLEY 1111,0,0,0,6.831196679587313,0.0,6.831196679587313,0.2135091375296046,3863.0,2
CAYETANO 2109,0,0,0,5.843346725896871,0.0,5.843346725896871,0.2089913023850424,2890.5,1
CAYETANO 2111,0,0,0,5.423729010412334,0.0,5.423729010412334,0.2089913023850424,2890.5,3
CAYUCOS 1101,0,0,0,3.8254447954555815,0.0,3.8254447954555815,0.2040715712914433,528.8,2
