unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.1549099368003102,0.1549099368003102,0.1549099368003102,0.1549099368003102,6257.0,2
ALHAMBRA 1105,0,0,0,0.1974511791948185,0.1974511791948185,0.1974511791948185,0.1974511791948185,2740.5,3
ALLEGHANY 1101,0,0,0,0.2864397688446849,0.2864397688446849,0.2864397688446849,0.2864397688446849,1618.0,1
ALLEGHANY 1102,0,0,0,0.2786191135470282,0.2786191135470282,0.2786191135470282,0.2786191135470282,1068.5,2
ALTO 1120,0,0,0,0.1246178648255888,0.1246178648255888,0.1246178648255888,0.1246178648255888,15676.0,2
ALTO 1122,0,0,0,0.1246178648255887,0.1246178648255887,0.1246178648255887,0.1246178648255887,2899.5,2
ALTO 1123,0,0,0,0.1246178648255885,0.1246178648255885,0.1246178648255885,0.1246178648255885,2795.0,0
ALTO 1124,0,0,0,0.1287736297094071,0.1287736297094071,0.1287736297094071,0.1287736297094071,10515.0,2
ALTO 1125,0,0,0,0.1287736297094071,0.1287736297094071,0.1287736297094071,0.1287736297094071,5408.5,4
ANDERSON 1101,1,1,0,0.3492183960887707,0.3492183960887707,0.3492183960887707,0.3492183960887707,5357.0,2
ANDERSON 1103,1,1,0,0.3492183960887708,0.3492183960887708,0.3492183960887708,0.3492183960887708,1315.5,2
ANITA 1106,1,1,0,0.3409071438211769,0.3409071438211769,0.3409071438211769,0.3409071438211769,767.875,0
ANNAPOLIS 1101,0,0,0,0.2761318432237993,0.2761318432237993,0.2761318432237993,0.2761318432237993,727.0,2
ANTELOPE 1101,1,1,0,0.3623746423660113,0.3623746423660113,0.3623746423660113,0.3623746423660113,164.77272727272728,2
ANTLER 1101,1,1,0,0.3670297507664933,0.3670297507664933,0.3670297507664933,0.3670297507664933,4890.0,3
APPLE HILL 1103,0,0,0,0.2675418669661022,0.2675418669661022,0.2675418669661022,0.2675418669661022,4209.5,2
APPLE HILL 1104,0,0,0,0.2675418669661022,0.2675418669661022,0.2675418669661022,0.2675418669661022,1701.5,1
APPLE HILL 2102,0,0,0,0.2802963783915809,0.2802963783915809,0.2802963783915809,0.2802963783915809,2137.0,2
ARCATA 1121,1,1,0,0.3269049229968833,0.3269049229968833,0.3269049229968833,0.3269049229968833,5859.5,1
ARCATA 1122,1,1,0,0.3269049229968833,0.3269049229968833,0.3269049229968833,0.3269049229968833,2574.5,4
ARLINGTON 0401,0,0,0,0.1336828542523809,0.1336828542523809,0.1336828542523809,0.1336828542523809,5336.0,1
ARVIN 1101,1,1,0,0.4064647869473399,0.4064647869473399,0.4064647869473399,0.4064647869473399,500.42857142857144,1
