unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,9.806551469020569,0.0,9.806551469020569,0.1133513097014512,6257.0,2
ALHAMBRA 1105,0,0,0,6.47738735772109,0.0,6.47738735772109,0.1508633860331232,2740.5,3
ALLEGHANY 1101,0,0,0,15.14047926454564,0.0,15.14047926454564,0.2638128962601731,1618.0,1
ALLEGHANY 1102,0,0,0,8.312491211317871,0.0,8.312491211317871,0.2597096756200467,1068.5,2
ALTO 1120,0,0,0,8.308360888262925,0.0,8.308360888262925,0.0911278249862053,15676.0,2
ALTO 1122,0,0,0,5.514913215418291,0.0,5.514913215418291,0.0911278249862053,2899.5,2
ALTO 1123,0,0,0,6.944459351273978,0.0,6.944459351273978,0.0911278249862053,2795.0,0
ALTO 1124,0,0,0,9.724931805129,0.0,9.724931805129,0.0960637745526369,10515.0,2
ALTO 1125,0,0,0,9.724931805128998,0.0,9.724931805128998,0.0960637745526369,5408.5,4
ANDERSON 1101,1,0,1,20.442802174097064,0.0,20.442802174097064,0.3329021573126705,5357.0,2
ANDERSON 1103,0,0,0,16.547235189120077,0.0,16.547235189120077,0.3329021573126705,1315.5,2
ANITA 1106,0,0,0,15.83905957307043,0.0,15.83905957307043,0.3275543888861075,767.875,0
ANNAPOLIS 1101,0,0,0,14.538211331140348,0.0,14.538211331140348,0.2521269468625747,727.0,2
ANTELOPE 1101,0,0,0,13.095192354241764,0.0,13.095192354241764,0.3013462940876176,164.77272727272728,2
ANTLER 1101,0,0,0,13.616549913047711,0.0,13.616549913047711,0.3465594416594588,4890.0,3
APPLE HILL 1103,0,0,0,8.40781744036063,0.0,8.40781744036063,0.247682503147296,4209.5,2
APPLE HILL 1104,0,0,0,9.423404742143246,0.0,9.423404742143246,0.247682503147296,1701.5,1
APPLE HILL 2102,0,0,0,10.358090605435136,0.0,10.358090605435136,0.2595599266281374,2137.0,2
ARCATA 1121,0,0,0,15.731004090787769,0.0,15.731004090787769,0.3416050965043623,5859.5,1
ARCATA 1122,0,0,0,10.81327932147084,0.0,10.81327932147084,0.3416050965043623,2574.5,4
ARLINGTON 0401,0,0,0,5.145622456233565,0.0,5.145622456233565,0.0981168823486706,5336.0,1
ARVIN 1101,1,0,1,17.744168785805144,0.0,17.744168785805144,0.3511859650532316,500.42857142857144,1
ATASCADERO 1101,0,0,0,7.873886089985415,0.0,7.873886089985415,0.1674825449012137,11520.0,1
ATASCADERO 1102,0,0,0,8.776938099874393,0.0,8.776938099874393,0.158974760247188,6462.0,1
ATASCADERO 1103,0,0,0,8.819386947630047,0.0,8.819386947630047,0.162099598852087,6120.0,4
AUBERRY 1101,0,0,0,8.863021246554746,0.0,8.863021246554746,0.2597079572556998,1059.5,3
AUBERRY 1102,0,0,0,7.799465980782607,0.0,7.799465980782607,0.243259593240375,1059.5,1
AUBURN 1101,0,0,0,9.073088721155443,0.0,9.073088721155443,0.2541593714054685,4632.0,4
AUBURN 1102,0,0,0,9.073088721155443,0.0,9.073088721155443,0.2541593714054685,1546.3333333333333,3
