unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,5.498863032348067,0.0,5.498863032348067,0.1151607483840527,6257.0,2
ALHAMBRA 1105,0,0,0,5.680210515180266,0.0,5.680210515180266,0.1563220999021087,2740.5,3
ALLEGHANY 1101,0,0,0,6.189989484564309,0.0,6.189989484564309,0.269410279850788,1618.0,1
ALLEGHANY 1102,0,0,0,6.111637093738025,0.0,6.111637093738025,0.2642035942252736,1068.5,2
ALTO 1120,0,0,0,3.5985714656311134,0.0,3.5985714656311134,0.096284101550413,15676.0,2
ALTO 1122,0,0,0,3.188469286197676,0.0,3.188469286197676,0.096284101550413,2899.5,2
ALTO 1123,0,0,0,3.6736463691787646,0.0,3.6736463691787646,0.096284101550413,2795.0,0
ALTO 1124,0,0,0,4.684863667278394,0.0,4.684863667278394,0.1009783869969734,10515.0,2
ALTO 1125,0,0,0,3.897684255435868,0.0,3.897684255435868,0.1009783869969734,5408.5,4
ANDERSON 1101,0,0,0,6.773172108907534,0.0,6.773172108907534,0.3330841375887324,5357.0,2
ANDERSON 1103,0,0,0,7.522554321848061,0.0,7.522554321848061,0.3330841375887324,1315.5,2
ANITA 1106,0,0,0,8.199061009788425,0.0,8.199061009788425,0.3213650533630564,767.875,0
ANNAPOLIS 1101,0,0,0,9.278032407234068,0.0,9.278032407234068,0.2612159806842593,727.0,2
ANTELOPE 1101,1,1,0,11.860919085012045,0.0,11.860919085012045,0.3444580570095286,164.77272727272728,2
ANTLER 1101,0,0,0,5.885897388530194,0.0,5.885897388530194,0.35325782138764,4890.0,3
APPLE HILL 1103,0,0,0,7.496891967606925,0.0,7.496891967606925,0.2526685233064645,4209.5,2
APPLE HILL 1104,0,0,0,4.665979886797836,0.0,4.665979886797836,0.2526685233064645,1701.5,1
APPLE HILL 2102,0,0,0,5.305572189059319,0.0,5.305572189059319,0.2664200116903845,2137.0,2
