unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.1635752966400417,0.1635752966400417,0.1635752966400417,0.1635752966400417,6257.0,2
ALHAMBRA 1105,0,0,0,0.2095731175025462,0.2095731175025462,0.2095731175025462,0.2095731175025462,2740.5,3
ALLEGHANY 1101,0,0,0,0.2984041185403162,0.2984041185403162,0.2984041185403162,0.2984041185403162,1618.0,1
ALLEGHANY 1102,0,0,0,0.2867039831017419,0.2867039831017419,0.2867039831017419,0.2867039831017419,1068.5,2
ALTO 1120,0,0,0,0.1340192451613258,0.1340192451613258,0.1340192451613258,0.1340192451613258,15676.0,2
ALTO 1122,0,0,0,0.1340192451613259,0.1340192451613259,0.1340192451613259,0.1340192451613259,2899.5,2
ALTO 1123,0,0,0,0.1340192451613259,0.1340192451613259,0.1340192451613259,0.1340192451613259,2795.0,0
ALTO 1124,0,0,0,0.1373643997419741,0.1373643997419741,0.1373643997419741,0.1373643997419741,10515.0,2
ALTO 1125,0,0,0,0.1373643997419741,0.1373643997419741,0.1373643997419741,0.1373643997419741,5408.5,4
ANDERSON 1101,1,0,1,0.3491185739346266,0.3491185739346266,0.3491185739346266,0.3491185739346266,5357.0,2
ANDERSON 1103,1,0,1,0.3491185739346266,0.3491185739346266,0.3491185739346266,0.3491185739346266,1315.5,2
ANITA 1106,1,0,1,0.3491536536908292,0.3491536536908292,0.3491536536908292,0.3491536536908292,767.875,0
ANNAPOLIS 1101,0,0,0,0.2902905430808851,0.2902905430808851,0.2902905430808851,0.2902905430808851,727.0,2
ANTELOPE 1101,1,0,1,0.4436056904362941,0.4436056904362941,0.4436056904362941,0.4436056904362941,164.77272727272728,2
ANTLER 1101,1,0,1,0.363879554161481,0.363879554161481,0.363879554161481,0.363879554161481,4890.0,3
APPLE HILL 1103,0,0,0,0.2776504501404829,0.2776504501404829,0.2776504501404829,0.2776504501404829,4209.5,2
APPLE HILL 1104,0,0,0,0.2776504501404829,0.2776504501404829,0.2776504501404829,0.2776504501404829,1701.5,1
APPLE HILL 2102,0,0,0,0.2888917678832438,0.2888917678832438,0.2888917678832438,0.2888917678832438,2137.0,2
ARCATA 1121,1,0,1,0.3752722082662825,0.3752722082662825,0.3752722082662825,0.3752722082662825,5859.5,1
ARCATA 1122,1,0,1,0.3752722082662825,0.3752722082662825,0.3752722082662825,0.3752722082662825,2574.5,4
ARLINGTON 0401,0,0,0,0.1496956108818659,0.1496956108818659,0.1496956108818659,0.1496956108818659,5336.0,1
ARVIN 1101,1,0,1,0.3663343729028423,0.3663343729028423,0.3663343729028423,0.3663343729028423,500.42857142857144,1
ATASCADERO 1101,0,0,0,0.2432701861441749,0.2432701861441749,0.2432701861441749,0.2432701861441749,11520.0,1
ATASCADERO 1102,0,0,0,0.2205447526091054,0.2205447526091054,0.2205447526091054,0.2205447526091054,6462.0,1
ATASCADERO 1103,0,0,0,0.2382183044421203,0.2382183044421203,0.2382183044421203,0.2382183044421203,6120.0,4
AUBERRY 1101,0,0,0,0.2810984389086185,0.2810984389086185,0.2810984389086185,0.2810984389086185,1059.5,3
AUBERRY 1102,0,0,0,0.2582508961592173,0.2582508961592173,0.2582508961592173,0.2582508961592173,1059.5,1
AUBURN 1101,0,0,0,0.2817032805625278,0.2817032805625278,0.2817032805625278,0.2817032805625278,4632.0,4
AUBURN 1102,0,0,0,0.2817032805625278,0.2817032805625278,0.2817032805625278,0.2817032805625278,1546.3333333333333,3
BALCH NO 1 1101,0,0,0,0.251780587112129,0.251780587112129,0.251780587112129,0.251780587112129,580.0,2
BANCROFT 0401,0,0,0,0.1668966065400982,0.1668966065400982,0.1668966065400982,0.1668966065400982,10746.0,0
BANCROFT 0402,0,0,0,0.1668966065400982,0.1668966065400982,0.1668966065400982,0.1668966065400982,4121.0,0
BANGOR 1101,0,0,0,0.2930695656602289,0.2930695656602289,0.2930695656602289,0.2930695656602289,1062.3333333333333,4
BASALT 1106,0,0,0,0.180120273870399,0.180120273870399,0.180120273870399,0.180120273870399,905.5,4
BAY MEADOWS 1105,0,0,0,0.1777203718296654,0.1777203718296654,0.1777203718296654,0.1777203718296654,2459.5,0
BAY MEADOWS 2102,0,0,0,0.1777203718296654,0.1777203718296654,0.1777203718296654,0.1777203718296654,1854.3333333333333,0
BAYWOOD 1101,0,0,0,0.2299406326958248,0.2299406326958248,0.2299406326958248,0.2299406326958248,1230.0,2
BEAR VALLEY 2101,0,0,0,0.2729774554854866,0.2729774554854866,0.2729774554854866,0.2729774554854866,5038.5,4
BEAR VALLEY 2105,0,0,0,0.2416985108781029,0.2416985108781029,0.2416985108781029,0.2416985108781029,1603.0,4
BELL 1107,0,0,0,0.2943202708546338,0.2943202708546338,0.2943202708546338,0.2943202708546338,8348.0,4
BELL 1108,0,0,0,0.2770129026239901,0.2770129026239901,0.2770129026239901,0.2770129026239901,4663.0,3
BELL 1109,0,0,0,0.2817032805625278,0.2817032805625278,0.2817032805625278,0.2817032805625278,3026.0,1
BELL 1110,0,0,0,0.2817032805625278,0.2817032805625278,0.2817032805625278,0.2817032805625278,2955.5,4
BELLEVUE 1102,0,0,0,0.1958922070110017,0.1958922070110017,0.1958922070110017,0.1958922070110017,3311.0,1
BELLEVUE 2101,0,0,0,0.2286842710575535,0.2286842710575535,0.2286842710575535,0.2286842710575535,725.5,3
BELMONT 1103,0,0,0,0.2356392185843656,0.2356392185843656,0.2356392185843656,0.2356392185843656,8404.0,3
BELMONT 1110,0,0,0,0.1747862005450409,0.1747862005450409,0.1747862005450409,0.1747862005450409,2556.6666666666665,4
BEN LOMOND 0401,0,0,0,0.3315867486782396,0.3315867486782396,0.3315867486782396,0.3315867486782396,2509.5,4
BEN LOMOND 1101,0,0,0,0.3315867486782396,0.3315867486782396,0.3315867486782396,0.3315867486782396,2705.5,4
BERESFORD 0402,0,0,0,0.1777203718296654,0.1777203718296654,0.1777203718296654,0.1777203718296654,7115.333333333333,1
BERESFORD 0403,0,0,0,0.1777203718296654,0.1777203718296654,0.1777203718296654,0.1777203718296654,1856.5,0
BERKELEY F 0402,0,0,0,0.1496956108818659,0.1496956108818659,0.1496956108818659,0.1496956108818659,5065.0,0
BERKELEY F 1103,0,0,0,0.1439444178934331,0.1439444178934331,0.1439444178934331,0.1439444178934331,9660.333333333334,2
BERKELEY F 1105,0,0,0,0.1496956108818659,0.1496956108818659,0.1496956108818659,0.1496956108818659,3386.0,2
BIG BASIN 1101,0,0,0,0.3315867486782396,0.3315867486782396,0.3315867486782396,0.3315867486782396,2705.5,1
