unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,3.9829970646853106,0.0,3.9829970646853106,0.1635752966400417,6257.0,2
ALHAMBRA 1105,0,0,0,4.422288766772804,0.0,4.422288766772804,0.2095731175025462,2740.5,3
ALLEGHANY 1101,1,1,0,14.703212321200578,0.0,14.703212321200578,0.2984041185403162,1618.0,1
ALLEGHANY 1102,1,1,0,13.878995001401597,0.0,13.878995001401597,0.2867039831017419,1068.5,2
ALTO 1120,0,0,0,3.1783102073586114,0.0,3.1783102073586114,0.1340192451613258,15676.0,2
ALTO 1122,0,0,0,2.8853223074104006,0.0,2.8853223074104006,0.1340192451613259,2899.5,2
ALTO 1123,0,0,0,3.6434194225332863,0.0,3.6434194225332863,0.1340192451613259,2795.0,0
ALTO 1124,0,0,0,3.7490792527601657,0.0,3.7490792527601657,0.1373643997419741,10515.0,2
ALTO 1125,0,0,0,3.748578820646384,0.0,3.748578820646384,0.1373643997419741,5408.5,4
ANDERSON 1101,0,0,0,8.688722785289677,0.0,8.688722785289677,0.3491185739346266,5357.0,2
ANDERSON 1103,0,0,0,9.575035723122186,0.0,9.575035723122186,0.3491185739346266,1315.5,2
ANITA 1106,0,0,0,9.570964853706023,0.0,9.570964853706023,0.3491536536908292,767.875,0
ANNAPOLIS 1101,0,0,0,6.591678417428771,0.0,6.591678417428771,0.2902905430808851,727.0,2
ANTELOPE 1101,1,1,0,12.453248442537978,0.0,12.453248442537978,0.4436056904362941,164.77272727272728,2
ANTLER 1101,0,0,0,8.295796032315451,0.0,8.295796032315451,0.363879554161481,4890.0,3
APPLE HILL 1103,1,1,0,14.946857054638352,0.0,14.946857054638352,0.2776504501404829,4209.5,2
APPLE HILL 1104,1,1,0,14.64117070585826,0.0,14.64117070585826,0.2776504501404829,1701.5,1
APPLE HILL 2102,1,1,0,14.896773189976432,0.0,14.896773189976432,0.2888917678832438,2137.0,2
ARCATA 1121,0,0,0,8.5745835934122,0.0,8.5745835934122,0.3752722082662825,5859.5,1
ARCATA 1122,1,1,0,11.87658780724396,0.0,11.87658780724396,0.3752722082662825,2574.5,4
ARLINGTON 0401,0,0,0,4.795535457239436,0.0,4.795535457239436,0.1496956108818659,5336.0,1
ARVIN 1101,1,1,0,12.099928770421569,0.0,12.099928770421569,0.3663343729028423,500.42857142857144,1
ATASCADERO 1101,0,0,0,5.991958916909921,0.0,5.991958916909921,0.2432701861441749,11520.0,1
ATASCADERO 1102,0,0,0,7.572828839653949,0.0,7.572828839653949,0.2205447526091054,6462.0,1
ATASCADERO 1103,0,0,0,5.976948745151286,0.0,5.976948745151286,0.2382183044421203,6120.0,4
AUBERRY 1101,0,0,0,8.37824005154887,0.0,8.37824005154887,0.2810984389086185,1059.5,3
AUBERRY 1102,0,0,0,7.135283201130814,0.0,7.135283201130814,0.2582508961592173,1059.5,1
AUBURN 1101,1,1,0,14.815364470967925,0.0,14.815364470967925,0.2817032805625278,4632.0,4
AUBURN 1102,1,1,0,14.943564122531834,0.0,14.943564122531834,0.2817032805625278,1546.3333333333333,3
BALCH NO 1 1101,0,0,0,8.164809740759518,0.0,8.164809740759518,0.251780587112129,580.0,2
BANCROFT 0401,0,0,0,4.127529177012725,0.0,4.127529177012725,0.1668966065400982,10746.0,0
BANCROFT 0402,0,0,0,3.598021919084737,0.0,3.598021919084737,0.1668966065400982,4121.0,0
BANGOR 1101,1,1,0,14.093426278702356,0.0,14.093426278702356,0.2930695656602289,1062.3333333333333,4
BASALT 1106,0,0,0,4.2353546039372665,0.0,4.2353546039372665,0.180120273870399,905.5,4
BAY MEADOWS 1105,0,0,0,4.911005604599756,0.0,4.911005604599756,0.1777203718296654,2459.5,0
BAY MEADOWS 2102,0,0,0,5.191880032803187,0.0,5.191880032803187,0.1777203718296654,1854.3333333333333,0
BAYWOOD 1101,0,0,0,7.087644364645881,0.0,7.087644364645881,0.2299406326958248,1230.0,2
BEAR VALLEY 2101,1,1,0,12.134462898278148,0.0,12.134462898278148,0.2729774554854866,5038.5,4
BEAR VALLEY 2105,1,1,0,12.956172265793588,0.0,12.956172265793588,0.2416985108781029,1603.0,4
BELL 1107,1,1,0,15.022211400644766,0.0,15.022211400644766,0.2943202708546338,8348.0,4
BELL 1108,1,1,0,15.56285382196344,0.0,15.56285382196344,0.2770129026239901,4663.0,3
BELL 1109,1,1,0,16.70131219408531,0.0,16.70131219408531,0.2817032805625278,3026.0,1
BELL 1110,1,1,0,14.762835192797583,0.0,14.762835192797583,0.2817032805625278,2955.5,4
BELLEVUE 1102,0,0,0,5.567835029148891,0.0,5.567835029148891,0.1958922070110017,3311.0,1
BELLEVUE 2101,0,0,0,5.458260790947625,0.0,5.458260790947625,0.2286842710575535,725.5,3
BELMONT 1103,0,0,0,6.068859712182554,0.0,6.068859712182554,0.2356392185843656,8404.0,3
BELMONT 1110,0,0,0,5.095405808889132,0.0,5.095405808889132,0.1747862005450409,2556.6666666666665,4
BEN LOMOND 0401,0,0,0,6.232601343308742,0.0,6.232601343308742,0.3315867486782396,2509.5,4
BEN LOMOND 1101,0,0,0,7.831309599418358,0.0,7.831309599418358,0.3315867486782396,2705.5,4
BERESFORD 0402,0,0,0,4.893560284880245,0.0,4.893560284880245,0.1777203718296654,7115.333333333333,1
BERESFORD 0403,0,0,0,4.31045448536579,0.0,4.31045448536579,0.1777203718296654,1856.5,0
BERKELEY F 0402,0,0,0,3.6317150182112345,0.0,3.6317150182112345,0.1496956108818659,5065.0,0
BERKELEY F 1103,0,0,0,3.807432132152779,0.0,3.807432132152779,0.1439444178934331,9660.333333333334,2
BERKELEY F 1105,0,0,0,3.627163339620735,0.0,3.627163339620735,0.1496956108818659,3386.0,2
BIG BASIN 1101,0,0,0,7.799707033102593,0.0,7.799707033102593,0.3315867486782396,2705.5,1
BIG BASIN 1102,0,0,0,10.00276540167825,0.0,10.00276540167825,0.3745968482747748,6007.0,1
BIG BEND 1101,1,1,0,19.09072160777407,0.0,19.09072160777407,0.3247592105595428,1418.0,0
BIG BEND 1102,1,1,0,16.375894406138343,0.0,16.375894406138343,0.3152071990078412,888.75,4
BIG MEADOWS 2101,1,1,0,14.409512407686451,0.0,14.409512407686451,0.2850945344630903,10046.666666666666,2
BIG RIVER 1101,0,0,0,8.71795841170071,0.0,8.71795841170071,0.3655532106330356,2443.0,1
BOGARD 1101,0,0,0,10.335580287590004,0.0,10.335580287590004,0.2670159572545595,9832.0,3
BOLINAS 1101,0,0,0,4.45765772312177,0.0,4.45765772312177,0.1722401837559592,2111.0,3
BONNIE NOOK 1101,1,1,0,13.886497252810775,0.0,13.886497252810775,0.2886191150534097,566.6,3
BONNIE NOOK 1102,1,1,0,14.158067850244771,0.0,14.158067850244771,0.2886191150534097,566.6,0
BRENTWOOD 2105,0,0,0,4.66582819484195,0.0,4.66582819484195,0.2200026030608158,1293.0,0
BRENTWOOD 2111,0,0,0,5.661006931097564,0.0,5.661006931097564,0.242836234722468,11610.5,4
BRIDGEVILLE 1101,0,0,0,8.131196592787058,0.0,8.131196592787058,0.3494074889921884,1358.0,2
BRIDGEVILLE 1102,0,0,0,8.685718920678527,0.0,8.685718920678527,0.3568741955928834,1358.0,0
BROWNS VALLEY 1101,1,1,0,14.545235126577053,0.0,14.545235126577053,0.3061409753874914,1967.5,1
BRUNSWICK 1102,1,1,0,13.275370070156022,0.0,13.275370070156022,0.2768998464565133,7581.0,3
BRUNSWICK 1103,1,1,0,12.3570340388128,0.0,12.3570340388128,0.2657961570865212,2644.5,2
BRUNSWICK 1104,1,1,0,14.548044977697096,0.0,14.548044977697096,0.2657961570865212,6700.0,3
BRUNSWICK 1105,1,1,0,17.269802281452865,0.0,17.269802281452865,0.2768998464565133,2644.5,4
BRUNSWICK 1106,1,1,0,15.003294729444502,0.0,15.003294729444502,0.2739072022885732,4079.0,3
BRUNSWICK 1107,1,1,0,15.825031674201124,0.0,15.825031674201124,0.2657961570865212,7037.0,4
BRUNSWICK 1110,1,1,0,13.009196261635172,0.0,13.009196261635172,0.2657961570865212,6373.0,4
