exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,8.32859866126265,146.2258781249679,5021858.7514325315,4568777.1582535235,5021858.7514325315,0.09022189105772087,True,120.03190493583679,163,6,0,49,1631671.94047619,262612.2,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,Group Conformal (fixed),group_conformal_fixed,15.283223930452401,233.17280126137774,7956571.29825053,6191015.137916207,7956571.29825053,0.22189911887329264,True,120.02918219566345,240,17,0,84,1773125.0630952383,148783.12285714285,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,Group Conformal (oracle),group_conformal_oracle,22.005821856836814,319.5617003681235,12079649.837350361,7546197.538614165,12079649.837350361,0.3752966650340087,True,120.02761220932007,238,18,0,52,1782982.7738095236,374233.2,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,Bonferroni,bonferroni,18.72918733624749,,41260258.1008547,41260258.10085465,41260258.1008547,1.264026610085273e-15,False,0.3102073669433594,216,216,0,0,2979673.9796428573,840431.9903571429,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,MaxRank,maxrank,10.325398844225042,,23555399.115774643,23555399.11577461,23555399.115774643,1.4233515009178666e-15,False,0.40461301803588867,185,178,7,8,2793565.7085714284,820438.7475974027,19906.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,CI,ci,8.507157914915426,,21288798.5992389,21288798.599238914,21288798.5992389,-6.999531290779552e-16,False,0.3567922115325928,191,190,1,0,2804898.0463095238,839952.6868831168,443.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,Co-Optimized,co_optimized,,,764349.823207865,764349.823207865,764349.823207865,0.0,False,0.08671212196350098,163,160,3,2,2273316.5010714293,838966.7024999999,1466.2727272727273,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,2.8441855613906007e-05,False,0.05115795135498047,240,240,0,2,2346674.71952381,838370.4815259739,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
1,Group Conformal (random),group_conformal_random,7.601131592984278,135.3776553190681,4812851.285263302,4306206.244757049,4812851.285263302,0.10526920747739985,True,120.02200412750244,161,8,0,26,531335.8452380953,339277.5,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
1,Group Conformal (fixed),group_conformal_fixed,13.825664706211166,213.31620382850133,6121787.641400551,5676238.497817407,6121787.641400551,0.07278088847283351,True,121.52751994132996,179,2,0,34,500087.67857142864,22003.2,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
