exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,8.32859866126265,146.2258781249679,4564923.756790741,4772230.457171882,4564923.756790741,-0.04541296009002397,False,12.819411993026733,165,0,42,72,1595106.723809524,0.0,840410.9333333333,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.95,1.0
0,Group Conformal (fixed),group_conformal_fixed,15.283223930452401,233.17280126137774,6270860.789251618,6390593.294181072,6270860.789251618,-0.019093472005418777,False,44.37082481384277,232,0,43,86,1569172.2071428574,0.0,840086.6000000001,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.95,1.0
0,Group Conformal (oracle),group_conformal_oracle,22.005821856836814,319.5617003681235,8148335.141080111,8335909.77472386,8148335.141080111,-0.023019994930999488,False,44.39811301231384,192,0,47,61,1662115.823809524,0.0,840090.2666666666,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.95,1.0
0,Bonferroni,bonferroni,18.72918733624749,,42288511.3930986,42288511.39309866,42288511.3930986,-1.4094760683658868e-15,False,0.3065531253814697,199,0,199,27,2994264.3404761907,0.0,840407.7749999999,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.95,1.0
0,MaxRank,maxrank,10.325398844225042,,24069384.50924462,24069384.50924461,24069384.50924462,4.643189314248269e-16,False,0.32448267936706543,159,0,159,28,2797643.7452380955,0.0,840305.2595238095,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.95,1.0
0,CI,ci,8.507157914915426,,21778586.580373634,21778586.580373604,21778586.580373634,1.368423165466233e-15,False,0.3140909671783447,176,1,175,29,2792259.3404761907,255.075,840181.061904762,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.95,1.0
0,Co-Optimized,co_optimized,,,777526.1054673253,777526.1054673253,777526.1054673253,0.0,False,0.08459019660949707,151,1,150,51,2347507.8285714285,624.15,839805.7477272728,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.95,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,7.024364887018547e-05,False,0.04573392868041992,240,240,0,2,2384143.0557142855,835176.1193885282,0.0,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.95,1.0
1,Group Conformal (random),group_conformal_random,7.601131592984278,135.3776553190681,4385048.81102806,4418123.174053676,4385048.81102806,-0.007542530186308846,False,18.437213897705078,170,0,38,27,526289.5452380953,0.0,840114.3333333334,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.95,1.0
1,Group Conformal (fixed),group_conformal_fixed,13.825664706211166,213.31620382850133,5643109.029646823,5783096.035314043,5643109.029646823,-0.02480671646281855,False,21.887300968170166,173,0,63,30,513009.1785714286,0.0,840327.1000000001,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.95,1.0
