exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,8.32859866126265,146.2258781249679,4733972.491000201,4754612.677020064,4733972.491000201,-0.004360013933140138,False,23.656256914138794,169,2,41,62,1525623.0238095238,188125.2,652233.6,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
0,Group Conformal (fixed),group_conformal_fixed,15.283223930452401,233.17280126137774,6363363.488415543,6423782.421030142,6363363.488415543,-0.0094948108377891,False,30.177071809768677,181,0,59,75,1597579.523809524,0.0,840380.9333333335,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
0,Group Conformal (oracle),group_conformal_oracle,22.005821856836814,319.5617003681235,8080085.469568737,8455626.144657021,8080085.469568737,-0.046477314689633904,False,36.35770082473755,238,1,45,71,1589433.3404761907,5815.8,834583.1333333333,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
0,Bonferroni,bonferroni,18.72918733624749,,42289780.7068082,42289780.70680824,42289780.7068082,-8.808961021314027e-16,False,0.3710639476776123,200,4,196,27,2994264.3404761907,9033.300000000001,831340.655952381,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
0,MaxRank,maxrank,10.325398844225042,,24067470.53038119,24067470.530381188,24067470.53038119,1.5478528554794957e-16,False,0.3112819194793701,160,2,158,28,2797643.7452380955,548.5383116883118,839860.5452380952,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
0,CI,ci,8.507157914915426,,21779210.49698395,21779210.496983938,21779210.49698395,5.13143986414632e-16,False,0.30809783935546875,175,0,175,29,2792259.3404761907,0.0,840360.2285714287,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
0,Co-Optimized,co_optimized,,,777532.8853053721,777532.8853053721,777532.8853053721,0.0,False,0.08899211883544922,153,10,143,49,2349871.5785714285,12857.520000000002,827569.3643939394,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,2.8441855613906007e-05,False,0.04604601860046387,240,240,0,2,2385530.2057142854,838370.4815259739,0.0,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
1,Group Conformal (random),group_conformal_random,7.601131592984278,135.3776553190681,4465683.586002331,4496194.645145881,4465683.586002331,-0.0068323378842125235,False,67.43800210952759,179,1,43,28,516632.0452380953,7872.3,832466.9,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
1,Group Conformal (fixed),group_conformal_fixed,13.825664706211166,213.31620382850133,5772792.993270958,5915224.269726161,5772792.993270958,-0.024672853611973918,False,32.87802791595459,175,0,46,31,510718.1785714286,0.0,840399.6666666667,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
1,Group Conformal (oracle),group_conformal_oracle,21.14230184229418,307.0458657026184,7622236.605390485,7952451.739017724,7622236.605390485,-0.04332260341980316,False,76.79502892494202,203,1,48,46,431750.3785714286,8658.0,831612.1666666666,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
1,Bonferroni,bonferroni,15.024092550815316,,40872784.071275756,40872784.07127577,40872784.071275756,-3.64574166708643e-16,False,0.31558918952941895,145,1,144,52,574236.0785714285,1324.8,839004.9476190477,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
1,MaxRank,maxrank,9.03842768693028,,21882708.987204686,21882708.98720467,21882708.987204686,6.809559640244131e-16,False,0.3079078197479248,145,0,145,61,468123.430952381,0.0,840270.1071428572,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
1,CI,ci,7.38409068981285,,20325626.506835103,20325626.5068351,20325626.506835103,1.8328046602692286e-16,False,1.019564151763916,144,0,144,59,469625.47857142857,0.0,840431.487012987,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
1,Co-Optimized,co_optimized,,,743300.2401441743,743300.2401441743,743300.2401441743,0.0,False,0.07690596580505371,133,1,132,60,625098.6142857142,522.0,839889.6643939395,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
1,Planning-only,planning_only,,,0.0,0.0,0.0,9.386126970821941e-05,False,0.05200791358947754,240,240,0,0,547797.8295238094,840274.626525974,0.0,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
2,Group Conformal (random),group_conformal_random,6.400721266532009,116.15044813875393,3717230.157572116,3766101.546740958,3717230.157572116,-0.013147259410152384,False,22.105059146881104,182,1,46,64,2112925.558333333,172251.0,668184.7333333334,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
2,Group Conformal (fixed),group_conformal_fixed,10.034131507032786,161.26132076070678,4462727.776903856,4638250.261343574,4462727.776903856,-0.039330762084146716,False,26.79774284362793,240,0,56,85,2197291.3916666666,0.0,839952.8333333333,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
2,Group Conformal (oracle),group_conformal_oracle,15.08475856994656,226.98418437884476,5916415.660129271,6025209.507557157,5916415.660129271,-0.018388472628968207,False,72.58350586891174,196,2,49,72,2145889.7916666665,27163.800000000003,813085.0,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
2,Bonferroni,bonferroni,11.222856151300837,,32672527.26317801,32672527.26317789,32672527.26317801,3.648609383368097e-15,False,0.3249483108520508,144,3,141,67,3328554.3833333333,29406.6,810954.5750000001,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
2,MaxRank,maxrank,6.312754398517107,,17848054.07211461,17848054.072114617,17848054.07211461,-4.1744498121867776e-16,False,0.3247108459472656,134,5,129,39,3545938.225,5273.97,835152.317965368,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
2,CI,ci,5.470001752760959,,15992137.007848352,15992137.007848348,15992137.007848352,2.3294512150775587e-16,False,0.3383808135986328,153,1,152,47,3524247.083333333,2092.5,838194.992965368,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
2,Co-Optimized,co_optimized,,,632957.9653823508,632957.9653823508,632957.9653823508,0.0,False,0.08982205390930176,144,0,144,45,3594627.8166666664,0.0,840377.2964285715,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
2,Planning-only,planning_only,,,0.0,0.0,0.0,1.3680294454250221e-05,False,0.0531919002532959,240,240,0,0,3453773.2858333336,840332.5286688312,0.0,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
3,Group Conformal (random),group_conformal_random,7.150359358775551,126.93475672818565,4141047.8532556584,4188422.5712628374,4141047.8532556584,-0.011440273014457767,False,29.725703239440918,184,1,44,27,1021320.9261904767,172251.0,668060.1666666667,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
3,Group Conformal (fixed),group_conformal_fixed,12.702567086138986,196.475131179675,5400370.960720716,5565327.205119561,5400370.960720716,-0.03054535430966595,False,35.5769100189209,184,0,44,51,723705.5928571436,0.0,840252.7666666667,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
3,Group Conformal (oracle),group_conformal_oracle,18.84847094252818,276.476128829298,6887938.990686491,6917851.332963239,6887938.990686491,-0.004342713011423906,False,48.931161880493164,231,0,43,54,811493.4595238101,0.0,840415.5,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
3,Bonferroni,bonferroni,15.016446780467279,,41050016.08255021,41050016.082550265,41050016.08255021,-1.2705004566523606e-15,False,0.32915687561035156,187,2,185,70,1332957.0595238102,2602.17,837692.9904761905,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
3,MaxRank,maxrank,6.634479733175073,,19289087.052773006,19289087.05277299,19289087.052773006,7.725177014899448e-16,False,0.3241269588470459,125,3,122,25,1618528.1595238103,4769.82,835633.9203463204,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
3,CI,ci,6.857015052434064,,19770754.712152317,19770754.712152347,19770754.712152317,-1.507394271063258e-15,False,0.31234288215637207,145,1,144,35,1582840.0428571433,708.3000000000001,839680.8917748919,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
3,Co-Optimized,co_optimized,,,656088.1698047802,656088.1698047802,656088.1698047802,0.0,False,0.08925890922546387,137,3,134,32,1615870.2309523814,31723.0875,808706.0036796537,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
3,Planning-only,planning_only,,,0.0,0.0,0.0,7.656928890833994e-05,False,0.05309104919433594,240,240,0,0,1429277.9326190476,840349.071525974,0.0,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
4,Group Conformal (random),group_conformal_random,7.961948922027589,142.85789367390868,4738082.707615739,4792791.348055994,4738082.707615739,-0.011546577764951145,False,29.512341022491455,183,1,45,64,1698005.085714286,11224.800000000001,829042.5,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
4,Group Conformal (fixed),group_conformal_fixed,12.89008013757886,204.26471874511543,5572942.855227891,5647448.832907307,5572942.855227891,-0.013369234103938945,False,13.689133167266846,226,5,44,103,1767653.866666667,6865.842857142858,832432.7666666667,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
4,Group Conformal (oracle),group_conformal_oracle,21.170904081373127,308.5715384996016,8115529.277522337,8139152.736793572,8115529.277522337,-0.002910895699269489,False,47.353801012039185,221,2,44,71,1802798.941774892,177702.75,662706.0,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
4,Bonferroni,bonferroni,17.26909811809999,,40871373.68668735,40871373.686687306,40871373.68668735,1.0937602421741898e-15,False,0.31803083419799805,144,4,140,84,2265772.166666667,15110.742857142857,825300.7512987014,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
4,MaxRank,maxrank,8.171684522100731,,22069222.6303717,22069222.630371694,22069222.6303717,3.3760050010417343e-16,False,0.3259871006011963,144,3,141,90,2225123.4000000004,2796.345,837561.8822510822,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
4,CI,ci,7.426307676331397,,19716061.432583004,19716061.432583008,19716061.432583004,-1.8894698168800863e-16,False,0.32001304626464844,138,0,138,86,2231226.666666667,0.0,840387.4989177489,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
4,Co-Optimized,co_optimized,,,846197.2815711931,846197.2815711931,846197.2815711931,0.0,False,0.07682466506958008,141,1,140,93,2160549.6285714284,2816.1,837543.4310606061,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
4,Planning-only,planning_only,,,0.0,0.0,0.0,6.210325998410034e-06,False,0.6457669734954834,240,240,0,0,2451353.102034634,840423.3858116883,0.0,401.5,240.89999999999998,840437.3147835498,0.5,0.3,0.2,0.9,0.9,1.0
