unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,9.9567265673778,0.0,9.9567265673778,0.1549099368003102,6257.0,2
ALHAMBRA 1105,0,0,0,12.881537579692973,0.0,12.881537579692973,0.1974511791948185,2740.5,3
ALLEGHANY 1101,0,0,0,7.46366637949457,0.0,7.46366637949457,0.2864397688446849,1618.0,1
ALLEGHANY 1102,0,0,0,8.997184698720277,0.0,8.997184698720277,0.2786191135470282,1068.5,2
ALTO 1120,0,0,0,14.222032917840938,0.0,14.222032917840938,0.1246178648255888,15676.0,2
ALTO 1122,0,0,0,20.45092171367724,0.0,20.45092171367724,0.1246178648255887,2899.5,2
ALTO 1123,0,0,0,12.44235040474482,0.0,12.44235040474482,0.1246178648255885,2795.0,0
ALTO 1124,0,0,0,7.31615772488236,0.0,7.31615772488236,0.1287736297094071,10515.0,2
ALTO 1125,0,0,0,10.064145457852032,0.0,10.064145457852032,0.1287736297094071,5408.5,4
ANDERSON 1101,0,0,0,8.266203870773582,0.0,8.266203870773582,0.3492183960887707,5357.0,2
ANDERSON 1103,0,0,0,8.979483257349866,0.0,8.979483257349866,0.3492183960887708,1315.5,2
ANITA 1106,0,0,0,7.750058900729819,0.0,7.750058900729819,0.3409071438211769,767.875,0
ANNAPOLIS 1101,0,0,0,22.806659592575212,0.0,22.806659592575212,0.2761318432237993,727.0,2
ANTELOPE 1101,0,0,0,11.825147131416728,0.0,11.825147131416728,0.3623746423660113,164.77272727272728,2
ANTLER 1101,0,0,0,6.2294144656083885,0.0,6.2294144656083885,0.3670297507664933,4890.0,3
APPLE HILL 1103,0,0,0,9.738542256526763,0.0,9.738542256526763,0.2675418669661022,4209.5,2
APPLE HILL 1104,0,0,0,11.53001307535824,0.0,11.53001307535824,0.2675418669661022,1701.5,1
APPLE HILL 2102,0,0,0,12.506634389501988,0.0,12.506634389501988,0.2802963783915809,2137.0,2
ARCATA 1121,0,0,0,7.75614469643403,0.0,7.75614469643403,0.3269049229968833,5859.5,1
ARCATA 1122,0,0,0,8.752750789560707,0.0,8.752750789560707,0.3269049229968833,2574.5,4
ARLINGTON 0401,0,0,0,12.276847222642283,0.0,12.276847222642283,0.1336828542523809,5336.0,1
ARVIN 1101,0,0,0,10.782113891502515,0.0,10.782113891502515,0.4064647869473399,500.42857142857144,1
ATASCADERO 1101,0,0,0,8.860118296372162,0.0,8.860118296372162,0.2069776872901052,11520.0,1
ATASCADERO 1102,0,0,0,9.874292918452657,0.0,9.874292918452657,0.1941968027759022,6462.0,1
ATASCADERO 1103,0,0,0,6.08815455532987,0.0,6.08815455532987,0.2007660575455648,6120.0,4
AUBERRY 1101,0,0,0,9.924657845383138,0.0,9.924657845383138,0.2894678565143181,1059.5,3
AUBERRY 1102,0,0,0,14.823786947294288,0.0,14.823786947294288,0.274546194081111,1059.5,1
AUBURN 1101,0,0,0,7.761779324754019,0.0,7.761779324754019,0.2791804411080559,4632.0,4
AUBURN 1102,0,0,0,9.290874201379363,0.0,9.290874201379363,0.2791804411080559,1546.3333333333333,3
BALCH NO 1 1101,0,0,0,6.156659454533013,0.0,6.156659454533013,0.2550167888953987,580.0,2
BANCROFT 0401,0,0,0,9.451999548018009,0.0,9.451999548018009,0.163360950160327,10746.0,0
BANCROFT 0402,0,0,0,11.672051749794663,0.0,11.672051749794663,0.163360950160327,4121.0,0
BANGOR 1101,0,0,0,11.236407463101468,0.0,11.236407463101468,0.2854919985375536,1062.3333333333333,4
BASALT 1106,0,0,0,9.365538754801364,0.0,9.365538754801364,0.1739301325815104,905.5,4
BAY MEADOWS 1105,0,0,0,10.311558692704454,0.0,10.311558692704454,0.1680275001441952,2459.5,0
BAY MEADOWS 2102,0,0,0,13.126809260341751,0.0,13.126809260341751,0.1680275001441952,1854.3333333333333,0
BAYWOOD 1101,0,0,0,7.638365174405925,0.0,7.638365174405925,0.2053498985735254,1230.0,2
BEAR VALLEY 2101,0,0,0,9.66319577378015,0.0,9.66319577378015,0.287492404626456,5038.5,4
BEAR VALLEY 2105,0,0,0,8.96109923458722,0.0,8.96109923458722,0.2516147943249238,1603.0,4
BELL 1107,0,0,0,11.984836926866077,0.0,11.984836926866077,0.2913254107673408,8348.0,4
BELL 1108,0,0,0,7.952084707173719,0.0,7.952084707173719,0.2725382209716592,4663.0,3
BELL 1109,0,0,0,7.51165176241886,0.0,7.51165176241886,0.2791804411080559,3026.0,1
BELL 1110,0,0,0,13.94663245257699,0.0,13.94663245257699,0.2791804411080559,2955.5,4
BELLEVUE 1102,0,0,0,17.192219340594143,0.0,17.192219340594143,0.1820898002451363,3311.0,1
BELLEVUE 2101,0,0,0,11.431412812658088,0.0,11.431412812658088,0.2202383448520841,725.5,3
BELMONT 1103,0,0,0,17.188337931680085,0.0,17.188337931680085,0.2214910853016308,8404.0,3
BELMONT 1110,0,0,0,14.213288188461268,0.0,14.213288188461268,0.1712361843793777,2556.6666666666665,4
BEN LOMOND 0401,1,0,1,29.425781158814974,0.0,29.425781158814974,0.2993700349937302,2509.5,4
BEN LOMOND 1101,1,0,1,31.46031444867863,0.0,31.46031444867863,0.2993700349937302,2705.5,4
BERESFORD 0402,0,0,0,13.126809260341751,0.0,13.126809260341751,0.1680275001441952,7115.333333333333,1
BERESFORD 0403,0,0,0,9.639041538612933,0.0,9.639041538612933,0.1680275001441952,1856.5,0
BERKELEY F 0402,0,0,0,8.496960470471405,0.0,8.496960470471405,0.1336828542523809,5065.0,0
BERKELEY F 1103,0,0,0,19.561889297931412,0.0,19.561889297931412,0.1327819745776401,9660.333333333334,2
BERKELEY F 1105,0,0,0,10.52391524850078,0.0,10.52391524850078,0.1336828542523809,3386.0,2
BIG BASIN 1101,1,0,1,27.692147148385736,0.0,27.692147148385736,0.2993700349937302,2705.5,1
BIG BASIN 1102,1,0,1,29.059114702726593,0.0,29.059114702726593,0.3344099920361946,6007.0,1
BIG BEND 1101,0,0,0,11.90215525696594,0.0,11.90215525696594,0.3139210514363008,1418.0,0
BIG BEND 1102,0,0,0,10.907100568034902,0.0,10.907100568034902,0.3046049554247661,888.75,4
BIG MEADOWS 2101,0,0,0,8.060527778106753,0.0,8.060527778106753,0.2877673562330532,10046.666666666666,2
BIG RIVER 1101,0,0,0,8.349107171879538,0.0,8.349107171879538,0.3148390840851463,2443.0,1
BOGARD 1101,0,0,0,10.55733382776292,0.0,10.55733382776292,0.2561306408595827,9832.0,3
BOLINAS 1101,0,0,0,15.764419836855328,0.0,15.764419836855328,0.1681807605866166,2111.0,3
BONNIE NOOK 1101,0,0,0,13.978043055234869,0.0,13.978043055234869,0.2771027023971174,566.6,3
BONNIE NOOK 1102,0,0,0,6.9888081258510475,0.0,6.9888081258510475,0.2771027023971174,566.6,0
BRENTWOOD 2105,0,0,0,14.415394226439473,0.0,14.415394226439473,0.2328658842839492,1293.0,0
BRENTWOOD 2111,0,0,0,16.633608957908873,0.0,16.633608957908873,0.2488832465330431,11610.5,4
BRIDGEVILLE 1101,0,0,0,8.365436391206234,0.0,8.365436391206234,0.3154521354148224,1358.0,2
BRIDGEVILLE 1102,0,0,0,6.0712038371536625,0.0,6.0712038371536625,0.3243760369532248,1358.0,0
BROWNS VALLEY 1101,0,0,0,12.61710818445062,0.0,12.61710818445062,0.2977787714377185,1967.5,1
BRUNSWICK 1102,0,0,0,9.974921726960757,0.0,9.974921726960757,0.2676397373792119,7581.0,3
BRUNSWICK 1103,0,0,0,8.63601049141062,0.0,8.63601049141062,0.2606927396950301,2644.5,2
BRUNSWICK 1104,0,0,0,9.95928909024716,0.0,9.95928909024716,0.2606927396950301,6700.0,3
BRUNSWICK 1105,0,0,0,9.885334427288312,0.0,9.885334427288312,0.2676397373792119,2644.5,4
BRUNSWICK 1106,0,0,0,8.515468677561644,0.0,8.515468677561644,0.2683191784413822,4079.0,3
BRUNSWICK 1107,0,0,0,9.505861943692022,0.0,9.505861943692022,0.2606927396950301,7037.0,4
BRUNSWICK 1110,0,0,0,12.478972011067992,0.0,12.478972011067992,0.2606927396950301,6373.0,4
BUCKS CREEK 1103,0,0,0,10.068857932234982,0.0,10.068857932234982,0.3193453979179915,854.6666666666666,3
BUELLTON 1101,0,0,0,12.554572098714887,0.0,12.554572098714887,0.3491868521662245,6937.5,4
BUELLTON 1102,0,0,0,12.554572098714887,0.0,12.554572098714887,0.3491868521662245,3914.0,4
BURNEY 1101,0,0,0,7.029194696671473,0.0,7.029194696671473,0.2530088734479429,1384.6666666666667,1
BURNEY 1102,0,0,0,5.464679418432128,0.0,5.464679418432128,0.2530088734479429,1384.6666666666667,3
BURNS 2101,1,0,1,31.46031444867863,0.0,31.46031444867863,0.2993700349937302,5661.5,1
BUTTE 1105,0,0,0,10.44938923312355,0.0,10.44938923312355,0.3441668769200218,1246.6666666666667,3
CABRILLO 1103,0,0,0,8.669739800783598,0.0,8.669739800783598,0.2664289723567445,2496.0,2
CABRILLO 1104,0,0,0,11.53111975026015,0.0,11.53111975026015,0.2647650910661285,46690.5,4
CAL WATER 1102,0,0,0,12.428100446673668,0.0,12.428100446673668,0.4481556461190107,6749.0,3
CALAVERAS CEMENT 1101,0,0,0,12.688211623534166,0.0,12.688211623534166,0.3046758649367984,2172.0,4
CALISTOGA 1101,0,0,0,21.917979211924543,0.0,21.917979211924543,0.2212872868209573,569.0,0
CALISTOGA 1102,0,0,0,14.648538812361712,0.0,14.648538812361712,0.1925383007818457,5797.0,2
CALPELLA 1101,0,0,0,11.867975160016345,0.0,11.867975160016345,0.2746722236818243,3009.0,3
CALPELLA 1102,0,0,0,6.961478394069329,0.0,6.961478394069329,0.2936069035227806,4236.0,1
CAMP EVERS 2103,0,0,0,18.25955323979035,0.0,18.25955323979035,0.2088894330290048,17638.0,3
CAMP EVERS 2104,0,0,0,21.86997147600122,0.0,21.86997147600122,0.253968802713992,5231.0,1
CAMP EVERS 2105,0,0,0,24.852443842405396,0.0,24.852443842405396,0.253968802713992,4735.0,3
CAMP EVERS 2106,1,0,1,30.81738857521376,0.0,30.81738857521376,0.253968802713992,3450.0,3
CAMPHORA 1101,1,0,1,31.318760060990556,0.0,31.318760060990556,0.3675132976879319,1716.0,3
CARLOTTA 1121,0,0,0,7.003560102460904,0.0,7.003560102460904,0.3424025665575457,1358.0,0
CAROLANDS 0401,0,0,0,11.249975548583556,0.0,11.249975548583556,0.1680275001441952,1944.0,4
CAROLANDS 0404,0,0,0,13.126809260341751,0.0,13.126809260341751,0.1680275001441952,1854.3333333333333,4
CASTRO VALLEY 1102,0,0,0,13.742516817976584,0.0,13.742516817976584,0.2135091375296046,8877.0,4
CASTRO VALLEY 1105,0,0,0,13.618147849708857,0.0,13.618147849708857,0.163360950160327,10696.5,0
CASTRO VALLEY 1108,0,0,0,11.778737551369645,0.0,11.778737551369645,0.2135091375296046,13970.0,1
CASTRO VALLEY 1110,0,0,0,16.887819333218086,0.0,16.887819333218086,0.2135091375296046,3863.0,3
CASTRO VALLEY 1111,0,0,0,14.724406451280055,0.0,14.724406451280055,0.2135091375296046,3863.0,2
CAYETANO 2109,0,0,0,17.6986732774052,0.0,17.6986732774052,0.2089913023850424,2890.5,1
CAYETANO 2111,0,0,0,12.78139849435598,0.0,12.78139849435598,0.2089913023850424,2890.5,3
CAYUCOS 1101,0,0,0,5.653795928850238,0.0,5.653795928850238,0.2040715712914433,528.8,2
CAYUCOS 1102,0,0,0,9.643675457263738,0.0,9.643675457263738,0.1904303856067052,3033.8,4
CEDAR CREEK 1101,0,0,0,8.332252759046959,0.0,8.332252759046959,0.2772744309771788,1115.3333333333333,0
CHALLENGE 1101,0,0,0,12.408042352349907,0.0,12.408042352349907,0.2873040603342314,888.75,1
CHALLENGE 1102,0,0,0,13.478577793869452,0.0,13.478577793869452,0.2809901875468523,1062.3333333333333,1
CHESTER 1101,0,0,0,9.455285243555826,0.0,9.455285243555826,0.2596810586076758,1100.0,0
CHESTER 1102,0,0,0,7.098576852974648,0.0,7.098576852974648,0.2596810586076758,1100.0,4
CHOLAME 1101,0,0,0,17.79755747313269,0.0,17.79755747313269,0.304493706289409,1620.5,3
