unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.0,0.0,5.921014944936842,0.1549099368003102,6257.0,2
ALHAMBRA 1105,0,0,0,0.0,0.0,6.707328055328003,0.1974511791948185,2740.5,3
ALLEGHANY 1101,0,0,0,0.0,0.0,8.12722514331989,0.2864397688446849,1618.0,1
ALLEGHANY 1102,0,0,0,0.0,0.0,8.01162537577994,0.2786191135470282,1068.5,2
ALTO 1120,1,0,0,5.296314737218921,0.0,5.296314737218921,0.1246178648255888,15676.0,2
ALTO 1122,0,0,0,0.0,0.0,5.2963147372189185,0.1246178648255887,2899.5,2
ALTO 1123,0,0,0,0.0,0.0,5.296314737218916,0.1246178648255885,2795.0,0
ALTO 1124,1,0,0,5.3859963654482375,0.0,5.3859963654482375,0.1287736297094071,10515.0,2
ALTO 1125,0,0,0,0.0,0.0,5.385996365448237,0.1287736297094071,5408.5,4
ANDERSON 1101,0,0,0,0.0,0.0,9.00669776889512,0.3492183960887707,5357.0,2
ANDERSON 1103,0,0,0,0.0,0.0,9.006697768895123,0.3492183960887708,1315.5,2
ANITA 1106,0,0,0,0.0,0.0,8.894743940445078,0.3409071438211769,767.875,0
ANNAPOLIS 1101,0,0,0,0.0,0.0,7.974543931857813,0.2761318432237993,727.0,2
ANTELOPE 1101,0,0,0,0.0,0.0,9.18142471983042,0.3623746423660113,164.77272727272728,2
ANTLER 1101,0,0,0,0.0,0.0,9.242544360292891,0.3670297507664933,4890.0,3
APPLE HILL 1103,0,0,0,0.0,0.0,7.845265908119076,0.2675418669661022,4209.5,2
APPLE HILL 1104,0,0,0,0.0,0.0,7.845265908119076,0.2675418669661022,1701.5,1
APPLE HILL 2102,0,0,0,0.0,0.0,8.03654375619919,0.2802963783915809,2137.0,2
ARCATA 1121,0,0,0,0.0,0.0,8.703232231220436,0.3269049229968833,5859.5,1
ARCATA 1122,0,0,0,0.0,0.0,8.703232231220436,0.3269049229968833,2574.5,4
ARLINGTON 0401,0,0,0,0.0,0.0,5.490178590947658,0.1336828542523809,5336.0,1
ARVIN 1101,0,0,0,0.0,0.0,9.746626005870796,0.4064647869473399,500.42857142857144,1
ATASCADERO 1101,1,0,0,6.872047055312099,0.0,6.872047055312099,0.2069776872901052,11520.0,1
ATASCADERO 1102,0,0,0,0.0,0.0,6.650203118036988,0.1941968027759022,6462.0,1
ATASCADERO 1103,0,0,0,0.0,0.0,6.765060515747909,0.2007660575455648,6120.0,4
AUBERRY 1101,0,0,0,0.0,0.0,8.171588564126395,0.2894678565143181,1059.5,3
AUBERRY 1102,0,0,0,0.0,0.0,7.950822923190769,0.274546194081111,1059.5,1
AUBURN 1101,0,0,0,0.0,0.0,8.019972539328146,0.2791804411080559,4632.0,4
AUBURN 1102,0,0,0,0.0,0.0,8.019972539328146,0.2791804411080559,1546.3333333333333,3
BALCH NO 1 1101,0,0,0,0.0,0.0,7.653237700739242,0.2550167888953987,580.0,2
BANCROFT 0401,1,0,0,6.084660530247592,0.0,6.084660530247592,0.163360950160327,10746.0,0
BANCROFT 0402,0,0,0,0.0,0.0,6.084660530247592,0.163360950160327,4121.0,0
BANGOR 1101,0,0,0,0.0,0.0,8.113294851566398,0.2854919985375536,1062.3333333333333,4
BASALT 1106,0,0,0,0.0,0.0,6.283776961381492,0.1739301325815104,905.5,4
BAY MEADOWS 1105,0,0,0,0.0,0.0,6.173305155109022,0.1680275001441952,2459.5,0
BAY MEADOWS 2102,0,0,0,0.0,0.0,6.173305155109022,0.1680275001441952,1854.3333333333333,0
BAYWOOD 1101,0,0,0,0.0,0.0,6.844158609118501,0.2053498985735254,1230.0,2
BEAR VALLEY 2101,0,0,0,0.0,0.0,8.142671594772139,0.287492404626456,5038.5,4
BEAR VALLEY 2105,0,0,0,0.0,0.0,7.600322865341031,0.2516147943249238,1603.0,4
BELL 1107,0,0,0,0.0,0.0,8.198695990710757,0.2913254107673408,8348.0,4
BELL 1108,0,0,0,0.0,0.0,7.920692097958625,0.2725382209716592,4663.0,3
BELL 1109,0,0,0,0.0,0.0,8.019972539328146,0.2791804411080559,3026.0,1
BELL 1110,0,0,0,0.0,0.0,8.019972539328146,0.2791804411080559,2955.5,4
BELLEVUE 1102,0,0,0,0.0,0.0,6.433611147912106,0.1820898002451363,3311.0,1
BELLEVUE 2101,0,0,0,0.0,0.0,7.095502297245049,0.2202383448520841,725.5,3
BELMONT 1103,1,0,0,0.0,0.0,7.116280947577456,0.2214910853016308,8404.0,3
BELMONT 1110,0,0,0,0.0,0.0,6.233581630128962,0.1712361843793777,2556.6666666666665,4
BEN LOMOND 0401,0,0,0,0.0,0.0,8.315173729355475,0.2993700349937302,2509.5,4
BEN LOMOND 1101,0,0,0,0.0,0.0,8.315173729355475,0.2993700349937302,2705.5,4
BERESFORD 0402,0,0,0,0.0,0.0,6.173305155109022,0.1680275001441952,7115.333333333333,1
BERESFORD 0403,0,0,0,0.0,0.0,6.173305155109022,0.1680275001441952,1856.5,0
BERKELEY F 0402,0,0,0,0.0,0.0,5.490178590947658,0.1336828542523809,5065.0,0
BERKELEY F 1103,1,0,0,5.471198670957251,0.0,5.471198670957251,0.1327819745776401,9660.333333333334,2
BERKELEY F 1105,0,0,0,0.0,0.0,5.490178590947658,0.1336828542523809,3386.0,2
BIG BASIN 1101,0,0,0,0.0,0.0,8.315173729355475,0.2993700349937302,2705.5,1
BIG BASIN 1102,0,0,0,0.0,0.0,8.80634336355102,0.3344099920361946,6007.0,1
BIG BEND 1101,0,0,0,0.0,0.0,8.522219315335336,0.3139210514363008,1418.0,0
BIG BEND 1102,0,0,0,0.0,0.0,8.39018891190982,0.3046049554247661,888.75,4
BIG MEADOWS 2101,1,0,0,0.0,0.0,8.146701911660065,0.2877673562330532,10046.666666666666,2
BIG RIVER 1101,0,0,0,0.0,0.0,8.53513078486732,0.3148390840851463,2443.0,1
BOGARD 1101,1,0,0,1.1296262238026507,0.0,7.670490773128789,0.2561306408595827,9832.0,3
BOLINAS 1101,0,0,0,0.0,0.0,6.1761965439349344,0.1681807605866166,2111.0,3
BONNIE NOOK 1101,0,0,0,0.0,0.0,7.989036440435481,0.2771027023971174,566.6,3
BONNIE NOOK 1102,0,0,0,0.0,0.0,7.989036440435481,0.2771027023971174,566.6,0
BRENTWOOD 2105,0,0,0,0.0,0.0,7.302482171403998,0.2328658842839492,1293.0,0
BRENTWOOD 2111,1,0,0,5.975138818670689,0.0,7.5575934221315615,0.2488832465330431,11610.5,4
BRIDGEVILLE 1101,0,0,0,0.0,0.0,8.54374317649728,0.3154521354148224,1358.0,2
BRIDGEVILLE 1102,0,0,0,0.0,0.0,8.668241455443544,0.3243760369532248,1358.0,0
BROWNS VALLEY 1101,0,0,0,0.0,0.0,8.292250585963144,0.2977787714377185,1967.5,1
BRUNSWICK 1102,0,0,0,0.0,0.0,7.846749668483055,0.2676397373792119,7581.0,3
