unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.0,0.0,7.147021234165921,0.1133513097014512,6257.0,2
ALHAMBRA 1105,0,0,0,0.0,0.0,8.2653423393798,0.1508633860331232,2740.5,2
ALLEGHANY 1101,0,0,0,0.0,0.0,10.994232959235289,0.2638128962601731,1618.0,1
ALLEGHANY 1102,0,0,0,0.0,0.0,10.906354781359545,0.2597096756200467,1068.5,1
ALTO 1120,1,0,0,6.397712266613214,0.0,6.397712266613214,0.0911278249862053,15676.0,0
ALTO 1122,0,0,0,0.0,0.0,6.3977122666132145,0.0911278249862053,2899.5,0
ALTO 1123,0,0,0,0.0,0.0,6.3977122666132145,0.0911278249862053,2795.0,0
ALTO 1124,1,0,0,6.571194431885654,0.0,6.571194431885654,0.0960637745526369,10515.0,0
ALTO 1125,0,0,0,0.0,0.0,6.571194431885654,0.0960637745526369,5408.5,0
ANDERSON 1101,0,0,0,0.0,0.0,12.386786426687337,0.3329021573126705,5357.0,1
ANDERSON 1103,0,0,0,0.0,0.0,12.386786426687337,0.3329021573126705,1315.5,1
ANITA 1106,0,0,0,0.0,0.0,12.284229374692698,0.3275543888861075,767.875,1
ANNAPOLIS 1101,0,0,0,0.0,0.0,10.742195951996624,0.2521269468625747,727.0,0
ANTELOPE 1101,0,0,0,0.0,0.0,11.769714819533954,0.3013462940876176,164.77272727272728,4
ANTLER 1101,0,0,0,0.0,0.0,12.6452133482167,0.3465594416594588,4890.0,1
APPLE HILL 1103,0,0,0,0.0,0.0,10.644881991331152,0.247682503147296,4209.5,1
APPLE HILL 1104,0,0,0,0.0,0.0,10.644881991331152,0.247682503147296,1701.5,1
APPLE HILL 2102,0,0,0,0.0,0.0,10.903135153941392,0.2595599266281374,2137.0,1
ARCATA 1121,0,0,0,0.0,0.0,12.55203299213193,0.3416050965043623,5859.5,0
ARCATA 1122,0,0,0,0.0,0.0,12.55203299213193,0.3416050965043623,2574.5,0
ARLINGTON 0401,0,0,0,0.0,0.0,6.642076079004238,0.0981168823486706,5336.0,2
ARVIN 1101,0,0,0,0.0,0.0,12.731660417190696,0.3511859650532316,500.42857142857144,4
ATASCADERO 1101,1,0,0,0.0,0.0,8.717233972104154,0.1674825449012137,11520.0,3
ATASCADERO 1102,0,0,0,0.0,0.0,8.488740772821552,0.158974760247188,6462.0,3
ATASCADERO 1103,0,0,0,0.0,0.0,8.573332970173498,0.162099598852087,6120.0,3
AUBERRY 1101,0,0,0,0.0,0.0,10.906317841270049,0.2597079572556998,1059.5,4
AUBERRY 1102,0,0,0,0.0,0.0,10.547208601058632,0.243259593240375,1059.5,4
AUBURN 1101,0,0,0,0.0,0.0,10.786424341664652,0.2541593714054685,4632.0,1
AUBURN 1102,0,0,0,0.0,0.0,10.786424341664652,0.2541593714054685,1546.3333333333333,1
BALCH NO 1 1101,0,0,0,0.0,0.0,10.161110470904507,0.2261491381322566,580.0,4
BANCROFT 0401,1,0,0,0.0,0.0,7.416016587937118,0.1219011598951814,10746.0,2
BANCROFT 0402,0,0,0,0.0,0.0,7.416016587937118,0.1219011598951814,4121.0,2
BANGOR 1101,0,0,0,0.0,0.0,11.117240061990904,0.2696078178484734,1062.3333333333333,1
BASALT 1106,0,0,0,0.0,0.0,7.861161832169644,0.1367092794841692,905.5,0
BAY MEADOWS 1105,0,0,0,0.0,0.0,7.823091869811741,0.1354107959797374,2459.5,2
BAY MEADOWS 2102,0,0,0,0.0,0.0,7.823091869811741,0.1354107959797374,1854.3333333333333,2
BAYWOOD 1101,0,0,0,0.0,0.0,8.964299702193623,0.1769217345198943,1230.0,3
BEAR VALLEY 2101,0,0,0,0.0,0.0,10.76709161099297,0.2532700179910168,5038.5,4
BEAR VALLEY 2105,1,0,0,0.0,0.0,10.136955332760834,0.2250985072178549,1603.0,4
BELL 1107,1,0,0,0.0,0.0,10.9994866761056,0.2640591746135377,8348.0,1
BELL 1108,0,0,0,0.0,0.0,10.69013736857929,0.2497446781200264,4663.0,1
BELL 1109,0,0,0,0.0,0.0,10.786424341664652,0.2541593714054685,3026.0,1
BELL 1110,0,0,0,0.0,0.0,10.786424341664652,0.2541593714054685,2955.5,1
BELLEVUE 1102,0,0,0,0.0,0.0,8.559293919319568,0.1615789689793955,3311.0,0
BELLEVUE 2101,0,0,0,0.0,0.0,9.369413027574222,0.1929365404657509,725.5,0
BELMONT 1103,0,0,0,0.0,0.0,9.135354857289013,0.183602541752289,8404.0,2
BELMONT 1110,0,0,0,0.0,0.0,7.814198756145618,0.1351083336446601,2556.6666666666665,2
BEN LOMOND 0401,0,0,0,0.0,0.0,11.005584858766616,0.2643451762976216,2509.5,3
BEN LOMOND 1101,0,0,0,0.0,0.0,11.005584858766616,0.2643451762976216,2705.5,3
BERESFORD 0402,0,0,0,0.0,0.0,7.823091869811741,0.1354107959797374,7115.333333333333,2
BERESFORD 0403,0,0,0,0.0,0.0,7.823091869811741,0.1354107959797374,1856.5,2
BERKELEY F 0402,0,0,0,0.0,0.0,6.642076079004238,0.0981168823486706,5065.0,2
BERKELEY F 1103,0,0,0,0.0,0.0,6.668084347299223,0.0988755044620851,9660.333333333334,2
BERKELEY F 1105,0,0,0,0.0,0.0,6.642076079004238,0.0981168823486706,3386.0,2
BIG BASIN 1101,0,0,0,0.0,0.0,11.005584858766616,0.2643451762976216,2705.5,3
BIG BASIN 1102,0,0,0,0.0,0.0,11.732914799219602,0.2995115776034232,6007.0,3
BIG BEND 1101,0,0,0,0.0,0.0,11.729653873758268,0.299349256365889,1418.0,1
BIG BEND 1102,0,0,0,0.0,0.0,11.545249055828124,0.2902380977578843,888.75,1
BIG MEADOWS 2101,1,0,0,7.78121924002808,0.0,10.884452765696746,0.2586917976001661,10046.666666666666,1
BIG RIVER 1101,0,0,0,0.0,0.0,11.981555781183642,0.3120113403557603,2443.0,0
BOGARD 1101,1,0,0,1.8518763678646608,0.0,10.483212188963456,0.2403823045486956,9832.0,1
BOLINAS 1101,0,0,0,0.0,0.0,7.678535320563456,0.1305348317935267,2111.0,0
BONNIE NOOK 1101,0,0,0,0.0,0.0,10.956929599166786,0.2620673775236911,566.6,1
BONNIE NOOK 1102,0,0,0,0.0,0.0,10.956929599166786,0.2620673775236911,566.6,1
BRENTWOOD 2105,0,0,0,0.0,0.0,8.943203865143433,0.1761060510177409,1293.0,2
BRENTWOOD 2111,1,0,0,0.0,0.0,9.30478042149884,0.1903368575917301,11610.5,2
BRIDGEVILLE 1101,0,0,0,0.0,0.0,12.26447917834378,0.3265292427406219,1358.0,0
BRIDGEVILLE 1102,0,0,0,0.0,0.0,12.444290674300476,0.335918628273536,1358.0,0
BROWNS VALLEY 1101,0,0,0,0.0,0.0,11.312152764860798,0.2789129569881826,1967.5,1
BRUNSWICK 1102,1,0,0,0.0,0.0,10.714128302408184,0.2508411940003243,7581.0,1
BRUNSWICK 1103,0,0,0,0.0,0.0,10.575102294041926,0.2445188124186584,2644.5,1
BRUNSWICK 1104,0,0,0,0.0,0.0,10.575102294041926,0.2445188124186584,6700.0,1
BRUNSWICK 1105,0,0,0,0.0,0.0,10.714128302408184,0.2508411940003243,2644.5,1
BRUNSWICK 1106,0,0,0,0.0,0.0,10.671304144503628,0.2488855036924441,4079.0,1
BRUNSWICK 1107,1,0,0,0.0,0.0,10.575102294041926,0.2445188124186584,7037.0,1
BRUNSWICK 1110,0,0,0,0.0,0.0,10.575102294041926,0.2445188124186584,6373.0,1
BUCKS CREEK 1103,0,0,0,0.0,0.0,11.434211322699229,0.2848165120725041,854.6666666666666,1
BUELLTON 1101,0,0,0,0.0,0.0,12.249414874367506,0.3257483449021056,6937.5,3
