unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.1133513097014512,0.1133513097014512,0.1133513097014512,0.1133513097014512,6257.0,2
ALHAMBRA 1105,0,0,0,0.1508633860331232,0.1508633860331232,0.1508633860331232,0.1508633860331232,2740.5,3
ALLEGHANY 1101,1,1,0,0.2638128962601731,0.2638128962601731,0.2638128962601731,0.2638128962601731,1618.0,1
ALLEGHANY 1102,1,1,0,0.2597096756200467,0.2597096756200467,0.2597096756200467,0.2597096756200467,1068.5,2
ALTO 1120,0,0,0,0.0911278249862053,0.0911278249862053,0.0911278249862053,0.0911278249862053,15676.0,2
ALTO 1122,0,0,0,0.0911278249862053,0.0911278249862053,0.0911278249862053,0.0911278249862053,2899.5,2
ALTO 1123,0,0,0,0.0911278249862053,0.0911278249862053,0.0911278249862053,0.0911278249862053,2795.0,0
ALTO 1124,0,0,0,0.0960637745526369,0.0960637745526369,0.0960637745526369,0.0960637745526369,10515.0,2
ALTO 1125,0,0,0,0.0960637745526369,0.0960637745526369,0.0960637745526369,0.0960637745526369,5408.5,4
ANDERSON 1101,1,1,0,0.3329021573126705,0.3329021573126705,0.3329021573126705,0.3329021573126705,5357.0,2
ANDERSON 1103,1,1,0,0.3329021573126705,0.3329021573126705,0.3329021573126705,0.3329021573126705,1315.5,2
ANITA 1106,1,1,0,0.3275543888861075,0.3275543888861075,0.3275543888861075,0.3275543888861075,767.875,0
ANNAPOLIS 1101,1,1,0,0.2521269468625747,0.2521269468625747,0.2521269468625747,0.2521269468625747,727.0,2
ANTELOPE 1101,1,1,0,0.3013462940876176,0.3013462940876176,0.3013462940876176,0.3013462940876176,164.77272727272728,2
ANTLER 1101,1,1,0,0.3465594416594588,0.3465594416594588,0.3465594416594588,0.3465594416594588,4890.0,3
APPLE HILL 1103,0,0,0,0.247682503147296,0.247682503147296,0.247682503147296,0.247682503147296,4209.5,2
APPLE HILL 1104,0,0,0,0.247682503147296,0.247682503147296,0.247682503147296,0.247682503147296,1701.5,1
APPLE HILL 2102,1,1,0,0.2595599266281374,0.2595599266281374,0.2595599266281374,0.2595599266281374,2137.0,2
ARCATA 1121,1,1,0,0.3416050965043623,0.3416050965043623,0.3416050965043623,0.3416050965043623,5859.5,1
