unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,5.251875277099469,0.0,5.251875277099469,0.1866898577843848,6257.0,2
ALHAMBRA 1105,0,0,0,5.384043391473643,0.0,5.384043391473643,0.2211294254843074,2740.5,3
ALLEGHANY 1101,0,0,0,7.705872163291596,0.0,7.705872163291596,0.257762866603137,1618.0,1
ALLEGHANY 1102,0,0,0,5.345913566122043,0.0,5.345913566122043,0.2635913969533451,1068.5,2
ALTO 1120,0,0,0,4.60891418836383,0.0,4.60891418836383,0.2052953303215092,15676.0,2
ALTO 1122,0,0,0,3.980849657140365,0.0,3.980849657140365,0.2052953303215092,2899.5,2
ALTO 1123,0,0,0,4.458673531345775,0.0,4.458673531345775,0.2052953303215092,2795.0,0
ALTO 1124,0,0,0,4.38873859863246,0.0,4.38873859863246,0.1918018193949179,10515.0,2
ALTO 1125,0,0,0,3.907157347621678,0.0,3.907157347621678,0.1918018193949179,5408.5,4
ANDERSON 1101,0,0,0,6.793400566132924,0.0,6.793400566132924,0.3423388397079562,5357.0,2
ANDERSON 1103,0,0,0,7.809023386800472,0.0,7.809023386800472,0.3423388397079563,1315.5,2
ANITA 1106,0,0,0,6.3712032677365045,0.0,6.3712032677365045,0.3577779134240708,767.875,0
ANNAPOLIS 1101,0,0,0,6.151930416697206,0.0,6.151930416697206,0.3110263622553358,727.0,2
ANTELOPE 1101,1,0,1,18.10816895299189,0.0,18.10816895299189,0.3579464106037643,164.77272727272728,2
ANTLER 1101,0,0,0,7.212655188039963,0.0,7.212655188039963,0.3322681661755517,4890.0,3
APPLE HILL 1103,0,0,0,5.288900044731631,0.0,5.288900044731631,0.2779850616121462,4209.5,2
APPLE HILL 1104,0,0,0,6.458756274302133,0.0,6.458756274302133,0.2779850616121462,1701.5,1
APPLE HILL 2102,0,0,0,6.569163509364482,0.0,6.569163509364482,0.2951163810889013,2137.0,2
ARCATA 1121,0,0,0,6.266669941657296,0.0,6.266669941657296,0.3347044696324506,5859.5,1
ARCATA 1122,0,0,0,6.414653847113367,0.0,6.414653847113367,0.3347044696324506,2574.5,4
ARLINGTON 0401,0,0,0,4.010959947798632,0.0,4.010959947798632,0.1771808116400776,5336.0,1
ARVIN 1101,1,0,1,20.651129298305506,0.0,20.651129298305506,0.4411595440166816,500.42857142857144,1
ATASCADERO 1101,0,0,0,10.123858806320298,0.0,10.123858806320298,0.2207971576423912,11520.0,1
ATASCADERO 1102,0,0,0,9.97325935221391,0.0,9.97325935221391,0.2105835995013437,6462.0,1
ATASCADERO 1103,0,0,0,9.463201893480855,0.0,9.463201893480855,0.2131926843755342,6120.0,4
