unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.0,0.0,17.369644402583738,0.1866898577843848,6257.0,1
ALHAMBRA 1105,0,0,0,0.0,0.0,18.921953625431097,0.2211294254843074,2740.5,1
ALLEGHANY 1101,0,0,0,0.0,0.0,20.448289889591827,0.257762866603137,1618.0,4
ALLEGHANY 1102,0,0,0,0.0,0.0,20.681116332630552,0.2635913969533451,1068.5,4
ALTO 1120,1,0,0,18.224143019722796,0.0,18.224143019722796,0.2052953303215092,15676.0,1
ALTO 1122,0,0,0,0.0,0.0,18.224143019722792,0.2052953303215092,2899.5,1
ALTO 1123,0,0,0,0.0,0.0,18.224143019722796,0.2052953303215092,2795.0,1
ALTO 1124,1,0,0,0.0,0.0,17.60842036106387,0.1918018193949179,10515.0,1
ALTO 1125,0,0,0,0.0,0.0,17.60842036106387,0.1918018193949179,5408.5,1
ANDERSON 1101,1,0,0,5.569853098869255,0.0,23.610687671492578,0.3423388397079562,5357.0,2
ANDERSON 1103,0,0,0,0.0,0.0,23.610687671492578,0.3423388397079563,1315.5,2
ANITA 1106,0,0,0,0.0,0.0,24.14502820334832,0.3577779134240708,767.875,2
ANNAPOLIS 1101,0,0,0,0.0,0.0,22.48972599325777,0.3110263622553358,727.0,1
ANTELOPE 1101,0,0,0,0.0,0.0,24.15079739951012,0.3579464106037643,164.77272727272728,0
ANTLER 1101,0,0,0,0.0,0.0,23.2558166672414,0.3322681661755517,4890.0,2
APPLE HILL 1103,0,0,0,0.0,0.0,21.24556019894715,0.2779850616121462,4209.5,4
APPLE HILL 1104,0,0,0,0.0,0.0,21.24556019894715,0.2779850616121462,1701.5,4
APPLE HILL 2102,0,0,0,0.0,0.0,21.899114814524665,0.2951163810889013,2137.0,4
ARCATA 1121,1,0,0,0.0,0.0,23.342141113293895,0.3347044696324506,5859.5,2
ARCATA 1122,0,0,0,0.0,0.0,23.342141113293895,0.3347044696324506,2574.5,2
ARLINGTON 0401,0,0,0,0.0,0.0,16.916809568249757,0.1771808116400776,5336.0,1
ARVIN 1101,0,0,0,0.0,0.0,26.855229175680744,0.4411595440166816,500.42857142857144,0
ATASCADERO 1101,1,0,0,18.907566198711468,0.0,18.907566198711468,0.2207971576423912,11520.0,0
ATASCADERO 1102,0,0,0,0.0,0.0,18.460032377780585,0.2105835995013437,6462.0,0
ATASCADERO 1103,0,0,0,0.0,0.0,18.575346784013767,0.2131926843755342,6120.0,0
AUBERRY 1101,0,0,0,0.0,0.0,21.73642971549298,0.2908053759956195,1059.5,0
AUBERRY 1102,0,0,0,0.0,0.0,21.58542531451345,0.2868315390518578,1059.5,0
AUBURN 1101,0,0,0,0.0,0.0,22.60916646988337,0.3142932518818453,4632.0,4
AUBURN 1102,0,0,0,0.0,0.0,22.60916646988337,0.3142932518818453,1546.3333333333333,4
BALCH NO 1 1101,0,0,0,0.0,0.0,20.185811249637226,0.2512682472585163,580.0,0
BANCROFT 0401,1,0,0,0.0,0.0,18.04297924658293,0.2012785710512582,10746.0,1
BANCROFT 0402,0,0,0,0.0,0.0,18.04297924658293,0.2012785710512582,4121.0,1
BANGOR 1101,0,0,0,0.0,0.0,22.81121048989592,0.319857261679654,1062.3333333333333,4
BASALT 1106,0,0,0,0.0,0.0,18.522271168425537,0.211989854067452,905.5,1
BAY MEADOWS 1105,0,0,0,0.0,0.0,18.975541959777303,0.2223691588600968,2459.5,1
BAY MEADOWS 2102,0,0,0,0.0,0.0,18.975541959777303,0.2223691588600968,1854.3333333333333,1
BAYWOOD 1101,0,0,0,0.0,0.0,19.51288071300378,0.2349871946947281,1230.0,0
BEAR VALLEY 2101,0,0,0,0.0,0.0,22.278363793596174,0.3052859592377701,5038.5,4
BEAR VALLEY 2105,0,0,0,0.0,0.0,20.888216378277903,0.2688292663683896,1603.0,4
BELL 1107,1,0,0,17.105321756520944,0.0,23.245512444452164,0.3319779316377192,8348.0,4
BELL 1108,0,0,0,0.0,0.0,22.33229496213224,0.3067457369978227,4663.0,4
BELL 1109,0,0,0,0.0,0.0,22.60916646988337,0.3142932518818453,3026.0,4
BELL 1110,0,0,0,0.0,0.0,22.60916646988337,0.3142932518818453,2955.5,4
BELLEVUE 1102,0,0,0,0.0,0.0,18.94642829746181,0.2216952120738457,3311.0,1
BELLEVUE 2101,0,0,0,0.0,0.0,19.893104131234345,0.2441210338522258,725.5,1
BELMONT 1103,0,0,0,0.0,0.0,21.6114709565679,0.2875150572581078,8404.0,1
BELMONT 1110,0,0,0,0.0,0.0,18.946422547241465,0.2216950790617508,2556.6666666666665,1
BEN LOMOND 0401,0,0,0,0.0,0.0,22.903389693166645,0.3224115151422563,2509.5,3
BEN LOMOND 1101,0,0,0,0.0,0.0,22.903389693166645,0.3224115151422563,2705.5,3
BERESFORD 0402,0,0,0,0.0,0.0,18.975541959777303,0.2223691588600968,7115.333333333333,1
BERESFORD 0403,0,0,0,0.0,0.0,18.975541959777303,0.2223691588600968,1856.5,1
BERKELEY F 0402,0,0,0,0.0,0.0,16.916809568249757,0.1771808116400776,5065.0,1
BERKELEY F 1103,0,0,0,0.0,0.0,17.353929314067514,0.1863557832082185,9660.333333333334,1
BERKELEY F 1105,0,0,0,0.0,0.0,16.916809568249757,0.1771808116400776,3386.0,1
BIG BASIN 1101,0,0,0,0.0,0.0,22.903389693166645,0.3224115151422563,2705.5,3
BIG BASIN 1102,0,0,0,0.0,0.0,23.896491282350812,0.3505556313199759,6007.0,3
BIG BEND 1101,0,0,0,0.0,0.0,23.161047448551052,0.3296034891574312,1418.0,4
BIG BEND 1102,1,0,0,0.0,0.0,22.64366615989916,0.315239963693651,888.75,4
BIG MEADOWS 2101,1,0,0,0.0,0.0,20.244176866715947,0.2527054243467377,10046.666666666666,4
BIG RIVER 1101,0,0,0,0.0,0.0,23.624036737488,0.342720515130125,2443.0,2
BOGARD 1101,1,0,0,18.500013587392807,0.0,18.500013587392807,0.2114864296912479,9832.0,4
BOLINAS 1101,0,0,0,0.0,0.0,19.44868915477136,0.2334619404395116,2111.0,1
BONNIE NOOK 1101,0,0,0,0.0,0.0,20.856725907182906,0.2680295876116516,566.6,4
BONNIE NOOK 1102,0,0,0,0.0,0.0,20.856725907182906,0.2680295876116516,566.6,4
BRENTWOOD 2105,0,0,0,0.0,0.0,21.121313389656876,0.2747846940260134,1293.0,1
BRENTWOOD 2111,1,0,0,0.0,0.0,21.20656221039151,0.2769786019219284,11610.5,1
BRIDGEVILLE 1101,0,0,0,0.0,0.0,21.32917069040354,0.2801488725211405,1358.0,2
BRIDGEVILLE 1102,0,0,0,0.0,0.0,21.690227999103985,0.2895867039138111,1358.0,2
BROWNS VALLEY 1101,0,0,0,0.0,0.0,23.36758032915507,0.3354240810318982,1967.5,4
BRUNSWICK 1102,1,0,0,0.0,0.0,20.988589811591982,0.2713859266898648,7581.0,4
BRUNSWICK 1103,0,0,0,0.0,0.0,21.29196385799387,0.2791849633270441,2644.5,4
BRUNSWICK 1104,0,0,0,0.0,0.0,21.29196385799387,0.2791849633270441,6700.0,4
BRUNSWICK 1105,0,0,0,0.0,0.0,20.988589811591982,0.2713859266898648,2644.5,4
BRUNSWICK 1106,0,0,0,0.0,0.0,21.88701385165376,0.2947946538206751,4079.0,4
BRUNSWICK 1107,1,0,0,0.0,0.0,21.29196385799387,0.2791849633270441,7037.0,4
BRUNSWICK 1110,0,0,0,0.0,0.0,21.29196385799387,0.2791849633270441,6373.0,4
BUCKS CREEK 1103,0,0,0,0.0,0.0,21.141903465747205,0.2753138082687384,854.6666666666666,4
BUELLTON 1101,0,0,0,0.0,0.0,23.96952979767024,0.3526706523958799,6937.5,0
BUELLTON 1102,0,0,0,0.0,0.0,23.96952979767024,0.3526706523958799,3914.0,0
BURNEY 1101,0,0,0,0.0,0.0,18.841214745068022,0.2192679742244627,1384.6666666666667,2
BURNEY 1102,0,0,0,0.0,0.0,18.841214745068022,0.2192679742244627,1384.6666666666667,2
BURNS 2101,0,0,0,0.0,0.0,22.903389693166645,0.3224115151422563,5661.5,3
BUTTE 1105,0,0,0,0.0,0.0,24.809949282804673,0.377451182053428,1246.6666666666667,4
CABRILLO 1103,0,0,0,0.0,0.0,21.520175075972233,0.2851226491441551,2496.0,0
CABRILLO 1104,1,0,1,21.52149417396304,0.0,21.52149417396304,0.2851571467966936,46690.5,0
CAL WATER 1102,0,0,0,0.0,0.0,27.553781943125585,0.4640186775530049,6749.0,0
CALAVERAS CEMENT 1101,0,0,0,0.0,0.0,22.7761573408902,0.3188885434550723,2172.0,4
CALISTOGA 1101,0,0,0,0.0,0.0,18.879025917287283,0.2201387615065868,569.0,1
CALISTOGA 1102,0,0,0,0.0,0.0,18.601047997970863,0.2137763351985379,5797.0,1
CALPELLA 1101,0,0,0,0.0,0.0,20.97427489921575,0.2710205837294417,3009.0,2
CALPELLA 1102,0,0,0,0.0,0.0,21.563334482453715,0.2862524281343788,4236.0,2
CAMP EVERS 2103,1,0,0,20.417442534227803,0.0,20.417442534227803,0.2569954072266422,17638.0,3
CAMP EVERS 2104,0,0,0,0.0,0.0,21.355416363781277,0.2808297866048939,5231.0,3
CAMP EVERS 2105,0,0,0,0.0,0.0,21.355416363781277,0.2808297866048939,4735.0,3
CAMP EVERS 2106,0,0,0,0.0,0.0,21.355416363781277,0.2808297866048939,3450.0,3
CAMPHORA 1101,0,0,0,0.0,0.0,24.243287177423746,0.3606529565191433,1716.0,3
CARLOTTA 1121,0,0,0,0.0,0.0,23.08794181881121,0.327555063582453,1358.0,2
CAROLANDS 0401,0,0,0,0.0,0.0,18.975541959777303,0.2223691588600968,1944.0,1
CAROLANDS 0404,0,0,0,0.0,0.0,18.975541959777303,0.2223691588600968,1854.3333333333333,1
CASTRO VALLEY 1102,0,0,0,0.0,0.0,20.05243382114547,0.2479990104867169,8877.0,1
CASTRO VALLEY 1105,1,0,0,0.0,0.0,18.04297924658293,0.2012785710512582,10696.5,1
CASTRO VALLEY 1108,1,0,0,20.05243382114547,0.0,20.05243382114547,0.2479990104867169,13970.0,1
CASTRO VALLEY 1110,0,0,0,0.0,0.0,20.05243382114547,0.2479990104867169,3863.0,1
CASTRO VALLEY 1111,0,0,0,0.0,0.0,20.05243382114547,0.2479990104867169,3863.0,1
CAYETANO 2109,0,0,0,0.0,0.0,19.63023935607191,0.2377882831208809,2890.5,1
CAYETANO 2111,0,0,0,0.0,0.0,19.63023935607191,0.2377882831208809,2890.5,1
CAYUCOS 1101,0,0,0,0.0,0.0,19.171577966786224,0.2269331681495855,528.8,0
CAYUCOS 1102,0,0,0,0.0,0.0,18.71418891529768,0.2163549307222229,3033.8,0
CEDAR CREEK 1101,0,0,0,0.0,0.0,19.992326303094774,0.2465325319844682,1115.3333333333333,2
CHALLENGE 1101,0,0,0,0.0,0.0,20.98791717179778,0.271368754312803,888.75,4
CHALLENGE 1102,0,0,0,0.0,0.0,22.174014122298377,0.302471102216564,1062.3333333333333,4
CHESTER 1101,0,0,0,0.0,0.0,18.82636189617203,0.2189263759135362,1100.0,4
CHESTER 1102,0,0,0,0.0,0.0,18.82636189617203,0.2189263759135362,1100.0,4
CHOLAME 1101,0,0,0,0.0,0.0,22.024782173485058,0.2984675837639035,1620.5,0
CHOLAME 2102,0,0,0,0.0,0.0,20.95179278466052,0.2704472827775346,3949.0,0
CLARK ROAD 1101,0,0,0,0.0,0.0,23.980198485663216,0.3529801091343988,899.5,4
CLARK ROAD 1102,0,0,0,0.0,0.0,23.51018146510984,0.3394718076643988,1851.0,4
CLARKSVILLE 2103,1,0,1,21.25051437226962,0.0,22.67115838739638,0.3159953738204006,28833.0,4
CLARKSVILLE 2104,1,0,0,0.0,0.0,22.67115838739638,0.3159953738204006,7238.5,4
CLARKSVILLE 2105,1,0,0,16.7051707671307,0.0,22.67115838739638,0.3159953738204006,15415.0,4
CLARKSVILLE 2106,1,0,0,17.192772768304863,0.0,22.67115838739638,0.3159953738204006,12843.0,4
CLARKSVILLE 2109,1,0,0,0.0,0.0,22.67115838739638,0.3159953738204006,8350.5,4
CLAY 1101,0,0,0,0.0,0.0,22.73681281429568,0.3178029317262785,2863.0,4
CLAY 1102,0,0,0,0.0,0.0,22.91305105848557,0.3226797999929848,6321.0,4
CLAY 1103,0,0,0,0.0,0.0,22.91305105848557,0.3226797999929848,2148.5,4
CLAYTON 2212,0,0,0,0.0,0.0,20.46780268880335,0.258248906697073,5000.0,1
CLAYTON 2213,0,0,0,0.0,0.0,20.46780268880335,0.258248906697073,7995.0,1
CLAYTON 2215,0,0,0,0.0,0.0,18.59861627553305,0.2137210796328846,3464.0,1
CLAYTON 2217,0,0,0,0.0,0.0,18.59861627553305,0.2137210796328846,8747.0,1
CLEAR LAKE 1101,0,0,0,0.0,0.0,20.615639397641633,0.2619458398676623,6102.0,1
CLEAR LAKE 1102,0,0,0,0.0,0.0,20.615639397641633,0.2619458398676623,4123.333333333333,1
