unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,7.831131517078766,0.0,7.831131517078766,0.1549099368003102,6257.0,2
ALHAMBRA 1105,0,0,0,7.047092288453797,0.0,7.047092288453797,0.1974511791948185,2740.5,3
ALLEGHANY 1101,0,0,0,6.4666995418471815,0.0,6.4666995418471815,0.2864397688446849,1618.0,1
ALLEGHANY 1102,0,0,0,7.022919552151339,0.0,7.022919552151339,0.2786191135470282,1068.5,2
ALTO 1120,0,0,0,3.049578990260177,0.0,3.049578990260177,0.1246178648255888,15676.0,2
ALTO 1122,0,0,0,4.9381261923164885,0.0,4.9381261923164885,0.1246178648255887,2899.5,2
ALTO 1123,0,0,0,5.800838478254529,0.0,5.800838478254529,0.1246178648255885,2795.0,0
ALTO 1124,0,0,0,5.685293847171338,0.0,5.685293847171338,0.1287736297094071,10515.0,2
ALTO 1125,0,0,0,4.34863114194729,0.0,4.34863114194729,0.1287736297094071,5408.5,4
ANDERSON 1101,0,0,0,6.772783353348664,0.0,6.772783353348664,0.3492183960887707,5357.0,2
ANDERSON 1103,0,0,0,4.138503876799826,0.0,4.138503876799826,0.3492183960887708,1315.5,2
ANITA 1106,0,0,0,5.773629825757302,0.0,5.773629825757302,0.3409071438211769,767.875,0
ANNAPOLIS 1101,0,0,0,6.844154290791317,0.0,6.844154290791317,0.2761318432237993,727.0,2
ANTELOPE 1101,0,0,0,8.964506886712146,0.0,8.964506886712146,0.3623746423660113,164.77272727272728,2
ANTLER 1101,0,0,0,5.243698272848134,0.0,5.243698272848134,0.3670297507664933,4890.0,3
APPLE HILL 1103,0,0,0,7.5423064259388415,0.0,7.5423064259388415,0.2675418669661022,4209.5,2
APPLE HILL 1104,0,0,0,7.964033679006712,0.0,7.964033679006712,0.2675418669661022,1701.5,1
APPLE HILL 2102,0,0,0,8.957320324308554,0.0,8.957320324308554,0.2802963783915809,2137.0,2
ARCATA 1121,0,0,0,6.042106956104388,0.0,6.042106956104388,0.3269049229968833,5859.5,1
ARCATA 1122,0,0,0,7.048764452930988,0.0,7.048764452930988,0.3269049229968833,2574.5,4
ARLINGTON 0401,0,0,0,5.265245500451478,0.0,5.265245500451478,0.1336828542523809,5336.0,1
ARVIN 1101,0,0,0,10.388681403650835,0.0,10.388681403650835,0.4064647869473399,500.42857142857144,1
ATASCADERO 1101,0,0,0,5.935489409883567,0.0,5.935489409883567,0.2069776872901052,11520.0,1
ATASCADERO 1102,0,0,0,4.737323442523318,0.0,4.737323442523318,0.1941968027759022,6462.0,1
ATASCADERO 1103,0,0,0,4.03962586551376,0.0,4.03962586551376,0.2007660575455648,6120.0,4
AUBERRY 1101,0,0,0,7.071380034968719,0.0,7.071380034968719,0.2894678565143181,1059.5,3
AUBERRY 1102,0,0,0,7.267008888451352,0.0,7.267008888451352,0.274546194081111,1059.5,1
AUBURN 1101,0,0,0,6.08889420718531,0.0,6.08889420718531,0.2791804411080559,4632.0,4
AUBURN 1102,0,0,0,7.622642416228761,0.0,7.622642416228761,0.2791804411080559,1546.3333333333333,3
BALCH NO 1 1101,0,0,0,5.348616278603334,0.0,5.348616278603334,0.2550167888953987,580.0,2
BANCROFT 0401,0,0,0,5.677734627310008,0.0,5.677734627310008,0.163360950160327,10746.0,0
BANCROFT 0402,0,0,0,4.932659726015092,0.0,4.932659726015092,0.163360950160327,4121.0,0
BANGOR 1101,0,0,0,8.973513377621723,0.0,8.973513377621723,0.2854919985375536,1062.3333333333333,4
BASALT 1106,0,0,0,7.1415566730480124,0.0,7.1415566730480124,0.1739301325815104,905.5,4
BAY MEADOWS 1105,0,0,0,6.286377510909008,0.0,6.286377510909008,0.1680275001441952,2459.5,0
