unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,4.1633728067460565,0.0,4.1633728067460565,0.1151607483840527,6257.0,2
ALHAMBRA 1105,0,0,0,5.251663118766652,0.0,5.251663118766652,0.1563220999021087,2740.5,3
ALLEGHANY 1101,0,0,0,6.809623146286145,0.0,6.809623146286145,0.269410279850788,1618.0,1
ALLEGHANY 1102,0,0,0,7.085260717608886,0.0,7.085260717608886,0.2642035942252736,1068.5,2
ALTO 1120,0,0,0,3.484590326465333,0.0,3.484590326465333,0.096284101550413,15676.0,2
ALTO 1122,0,0,0,3.841736781743672,0.0,3.841736781743672,0.096284101550413,2899.5,2
ALTO 1123,0,0,0,3.4474470512047626,0.0,3.4474470512047626,0.096284101550413,2795.0,0
ALTO 1124,0,0,0,4.240936983659629,0.0,4.240936983659629,0.1009783869969734,10515.0,2
ALTO 1125,0,0,0,4.837317359548109,0.0,4.837317359548109,0.1009783869969734,5408.5,4
ANDERSON 1101,0,0,0,7.667192007480433,0.0,7.667192007480433,0.3330841375887324,5357.0,2
ANDERSON 1103,0,0,0,6.246107285332086,0.0,6.246107285332086,0.3330841375887324,1315.5,2
ANITA 1106,0,0,0,6.2508077399623305,0.0,6.2508077399623305,0.3213650533630564,767.875,0
ANNAPOLIS 1101,0,0,0,8.861572300459917,0.0,8.861572300459917,0.2612159806842593,727.0,2
ANTELOPE 1101,0,0,0,9.007558592907142,0.0,9.007558592907142,0.3444580570095286,164.77272727272728,2
ANTLER 1101,0,0,0,6.774024743540954,0.0,6.774024743540954,0.35325782138764,4890.0,3
APPLE HILL 1103,0,0,0,9.054144455523415,0.0,9.054144455523415,0.2526685233064645,4209.5,2
APPLE HILL 1104,0,0,0,7.964130061358382,0.0,7.964130061358382,0.2526685233064645,1701.5,1
APPLE HILL 2102,0,0,0,6.666904273219881,0.0,6.666904273219881,0.2664200116903845,2137.0,2
ARCATA 1121,0,0,0,6.7418001100379845,0.0,6.7418001100379845,0.3280227123344374,5859.5,1
ARCATA 1122,0,0,0,7.392276991380554,0.0,7.392276991380554,0.3280227123344374,2574.5,4
ARLINGTON 0401,0,0,0,3.459376901853622,0.0,3.459376901853622,0.1008611539627841,5336.0,1
ARVIN 1101,0,0,0,10.611774803656088,0.0,10.611774803656088,0.3872843437832481,500.42857142857144,1
ATASCADERO 1101,0,0,0,4.354510770472655,0.0,4.354510770472655,0.1831912802133684,11520.0,1
ATASCADERO 1102,0,0,0,4.2051825457315335,0.0,4.2051825457315335,0.1691574880331479,6462.0,1
ATASCADERO 1103,0,0,0,5.3072675493478245,0.0,5.3072675493478245,0.1744206577628371,6120.0,4
AUBERRY 1101,0,0,0,6.275379134289175,0.0,6.275379134289175,0.2688900962360689,1059.5,3
AUBERRY 1102,0,0,0,5.95477606729169,0.0,5.95477606729169,0.2499686093222348,1059.5,1
AUBURN 1101,0,0,0,7.901496098309115,0.0,7.901496098309115,0.255444891991354,4632.0,4
AUBURN 1102,0,0,0,6.670132478281701,0.0,6.670132478281701,0.255444891991354,1546.3333333333333,3
BALCH NO 1 1101,0,0,0,6.057478256893171,0.0,6.057478256893171,0.23353989110569,580.0,2
BANCROFT 0401,0,0,0,4.566570061888938,0.0,4.566570061888938,0.1303767622586987,10746.0,0
BANCROFT 0402,0,0,0,3.649372347484142,0.0,3.649372347484142,0.1303767622586987,4121.0,0
BANGOR 1101,0,0,0,7.806419101647304,0.0,7.806419101647304,0.2639584684690924,1062.3333333333333,4
BASALT 1106,0,0,0,4.599461579077268,0.0,4.599461579077268,0.1406099310912242,905.5,4
BAY MEADOWS 1105,0,0,0,4.748097616707619,0.0,4.748097616707619,0.1424525517673589,2459.5,0
BAY MEADOWS 2102,0,0,0,4.3509227396420656,0.0,4.3509227396420656,0.1424525517673589,1854.3333333333333,0
