unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.1866898577843848,0.1866898577843848,0.1866898577843848,0.1866898577843848,6257.0,2
ALHAMBRA 1105,0,0,0,0.2211294254843074,0.2211294254843074,0.2211294254843074,0.2211294254843074,2740.5,3
ALLEGHANY 1101,0,0,0,0.257762866603137,0.257762866603137,0.257762866603137,0.257762866603137,1618.0,1
ALLEGHANY 1102,0,0,0,0.2635913969533451,0.2635913969533451,0.2635913969533451,0.2635913969533451,1068.5,2
ALTO 1120,0,0,0,0.2052953303215092,0.2052953303215092,0.2052953303215092,0.2052953303215092,15676.0,2
ALTO 1122,0,0,0,0.2052953303215092,0.2052953303215092,0.2052953303215092,0.2052953303215092,2899.5,2
ALTO 1123,0,0,0,0.2052953303215092,0.2052953303215092,0.2052953303215092,0.2052953303215092,2795.0,0
ALTO 1124,0,0,0,0.1918018193949179,0.1918018193949179,0.1918018193949179,0.1918018193949179,10515.0,2
ALTO 1125,0,0,0,0.1918018193949179,0.1918018193949179,0.1918018193949179,0.1918018193949179,5408.5,4
ANDERSON 1101,0,0,0,0.3423388397079562,0.3423388397079562,0.3423388397079562,0.3423388397079562,5357.0,2
ANDERSON 1103,0,0,0,0.3423388397079563,0.3423388397079563,0.3423388397079563,0.3423388397079563,1315.5,2
ANITA 1106,0,0,0,0.3577779134240708,0.3577779134240708,0.3577779134240708,0.3577779134240708,767.875,0
ANNAPOLIS 1101,0,0,0,0.3110263622553358,0.3110263622553358,0.3110263622553358,0.3110263622553358,727.0,2
ANTELOPE 1101,1,0,1,0.3579464106037643,0.3579464106037643,0.3579464106037643,0.3579464106037643,164.77272727272728,2
ANTLER 1101,0,0,0,0.3322681661755517,0.3322681661755517,0.3322681661755517,0.3322681661755517,4890.0,3
APPLE HILL 1103,0,0,0,0.2779850616121462,0.2779850616121462,0.2779850616121462,0.2779850616121462,4209.5,2
