unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.0,0.0,10.558764025046194,0.1866898577843848,6257.0,2
ALHAMBRA 1105,0,0,0,0.0,0.0,11.509428832030723,0.2211294254843074,2740.5,2
ALLEGHANY 1101,0,0,0,0.0,0.0,12.445285286717173,0.257762866603137,1618.0,1
ALLEGHANY 1102,0,0,0,0.0,0.0,12.588135606892898,0.2635913969533451,1068.5,1
ALTO 1120,1,0,0,11.081936140596468,0.0,11.081936140596468,0.2052953303215092,15676.0,0
ALTO 1122,0,0,0,0.0,0.0,11.081936140596468,0.2052953303215092,2899.5,0
ALTO 1123,0,0,0,0.0,0.0,11.081936140596468,0.2052953303215092,2795.0,0
ALTO 1124,1,0,0,10.704921596678656,0.0,10.704921596678656,0.1918018193949179,10515.0,0
ALTO 1125,0,0,0,0.0,0.0,10.704921596678656,0.1918018193949179,5408.5,0
ANDERSON 1101,0,0,0,0.0,0.0,14.38771381895067,0.3423388397079562,5357.0,1
ANDERSON 1103,0,0,0,0.0,0.0,14.387713818950674,0.3423388397079563,1315.5,1
ANITA 1106,0,0,0,0.0,0.0,14.716375184868772,0.3577779134240708,767.875,1
ANNAPOLIS 1101,0,0,0,0.0,0.0,13.698661003691534,0.3110263622553358,727.0,0
ANTELOPE 1101,0,0,0,0.0,0.0,14.719924408283845,0.3579464106037643,164.77272727272728,4
ANTLER 1101,0,0,0,0.0,0.0,14.169512780306295,0.3322681661755517,4890.0,1
APPLE HILL 1103,0,0,0,0.0,0.0,12.934553748043069,0.2779850616121462,4209.5,1
APPLE HILL 1104,0,0,0,0.0,0.0,12.934553748043069,0.2779850616121462,1701.5,1
APPLE HILL 2102,0,0,0,0.0,0.0,13.335846569647998,0.2951163810889013,2137.0,1
ARCATA 1121,0,0,0,0.0,0.0,14.222586128427826,0.3347044696324506,5859.5,0
ARCATA 1122,0,0,0,0.0,0.0,14.222586128427826,0.3347044696324506,2574.5,0
ARLINGTON 0401,0,0,0,0.0,0.0,10.281652108663556,0.1771808116400776,5336.0,2
ARVIN 1101,0,0,0,0.0,0.0,16.38537266316025,0.4411595440166816,500.42857142857144,4
ATASCADERO 1101,1,0,0,11.500612508089365,0.0,11.500612508089365,0.2207971576423912,11520.0,3
ATASCADERO 1102,0,0,0,0.0,0.0,11.226421169603466,0.2105835995013437,6462.0,3
ATASCADERO 1103,0,0,0,0.0,0.0,11.297062090861369,0.2131926843755342,6120.0,3
AUBERRY 1101,0,0,0,0.0,0.0,13.235936880159713,0.2908053759956195,1059.5,4
AUBERRY 1102,0,0,0,0.0,0.0,13.14321160579247,0.2868315390518578,1059.5,4
AUBURN 1101,0,0,0,0.0,0.0,13.77205326421918,0.3142932518818453,4632.0,1
AUBURN 1102,0,0,0,0.0,0.0,13.77205326421918,0.3142932518818453,1546.3333333333333,1
BALCH NO 1 1101,1,0,0,0.0,0.0,12.284272115834847,0.2512682472585163,580.0,4
BANCROFT 0401,1,0,0,0.0,0.0,10.97098887868337,0.2012785710512582,10746.0,2
BANCROFT 0402,0,0,0,0.0,0.0,10.97098887868337,0.2012785710512582,4121.0,2
BANGOR 1101,0,0,0,0.0,0.0,13.896217671464264,0.319857261679654,1062.3333333333333,1
BASALT 1106,0,0,0,0.0,0.0,11.264547510598678,0.211989854067452,905.5,0
BAY MEADOWS 1105,0,0,0,0.0,0.0,11.542267529973516,0.2223691588600968,2459.5,2
BAY MEADOWS 2102,0,0,0,0.0,0.0,11.542267529973516,0.2223691588600968,1854.3333333333333,2
BAYWOOD 1101,0,0,0,0.0,0.0,11.87162051285684,0.2349871946947281,1230.0,3
BEAR VALLEY 2101,0,0,0,0.0,0.0,13.56880198535452,0.3052859592377701,5038.5,4
BEAR VALLEY 2105,0,0,0,0.0,0.0,12.715222687861612,0.2688292663683896,1603.0,4
BELL 1107,1,0,0,0.0,0.0,14.163177844399858,0.3319779316377192,8348.0,1
BELL 1108,0,0,0,0.0,0.0,13.601934846772524,0.3067457369978227,4663.0,1
BELL 1109,0,0,0,0.0,0.0,13.77205326421918,0.3142932518818453,3026.0,1
BELL 1110,0,0,0,0.0,0.0,13.77205326421918,0.3142932518818453,2955.5,1
BELLEVUE 1102,0,0,0,0.0,0.0,11.524426638003536,0.2216952120738457,3311.0,0
BELLEVUE 2101,0,0,0,0.0,0.0,12.104753584905792,0.2441210338522258,725.5,0
BELMONT 1103,0,0,0,0.0,0.0,13.159204355534362,0.2875150572581078,8404.0,2
BELMONT 1110,0,0,0,0.0,0.0,11.524423114299786,0.2216950790617508,2556.6666666666665,2
BEN LOMOND 0401,0,0,0,0.0,0.0,13.95287185426226,0.3224115151422563,2509.5,3
BEN LOMOND 1101,0,0,0,0.0,0.0,13.95287185426226,0.3224115151422563,2705.5,3
BERESFORD 0402,0,0,0,0.0,0.0,11.542267529973516,0.2223691588600968,7115.333333333333,2
BERESFORD 0403,0,0,0,0.0,0.0,11.542267529973516,0.2223691588600968,1856.5,2
BERKELEY F 0402,0,0,0,0.0,0.0,10.281652108663556,0.1771808116400776,5065.0,2
BERKELEY F 1103,0,0,0,0.0,0.0,10.549145574087724,0.1863557832082185,9660.333333333334,2
BERKELEY F 1105,0,0,0,0.0,0.0,10.281652108663556,0.1771808116400776,3386.0,2
BIG BASIN 1101,0,0,0,0.0,0.0,13.95287185426226,0.3224115151422563,2705.5,3
BIG BASIN 1102,0,0,0,0.0,0.0,14.563489168060446,0.3505556313199759,6007.0,3
BIG BEND 1101,0,0,0,0.0,0.0,14.111251428404628,0.3296034891574312,1418.0,1
BIG BEND 1102,0,0,0,0.0,0.0,13.79325341833376,0.315239963693651,888.75,1
BIG MEADOWS 2101,1,0,0,12.320072766344856,0.0,12.320072766344856,0.2527054243467377,10046.666666666666,1
BIG RIVER 1101,0,0,0,0.0,0.0,14.39592294549197,0.342720515130125,2443.0,0
BOGARD 1101,1,0,0,11.250912716660888,0.0,11.250912716660888,0.2114864296912479,9832.0,1
BOLINAS 1101,0,0,0,0.0,0.0,11.832268262612946,0.2334619404395116,2111.0,0
BONNIE NOOK 1101,0,0,0,0.0,0.0,12.695897255949069,0.2680295876116516,566.6,1
BONNIE NOOK 1102,0,0,0,0.0,0.0,12.695897255949069,0.2680295876116516,566.6,1
BRENTWOOD 2105,0,0,0,0.0,0.0,12.85828662888257,0.2747846940260134,1293.0,2
BRENTWOOD 2111,1,0,0,0.0,0.0,12.910614622489572,0.2769786019219284,11610.5,2
BRIDGEVILLE 1101,0,0,0,0.0,0.0,12.985880874208023,0.2801488725211405,1358.0,0
BRIDGEVILLE 1102,0,0,0,0.0,0.0,13.20756528332291,0.2895867039138111,1358.0,0
BROWNS VALLEY 1101,0,0,0,0.0,0.0,14.23822713010355,0.3354240810318982,1967.5,1
BRUNSWICK 1102,1,0,0,0.0,0.0,12.77682407309558,0.2713859266898648,7581.0,1
BRUNSWICK 1103,0,0,0,0.0,0.0,12.963039802582392,0.2791849633270441,2644.5,1
BRUNSWICK 1104,0,0,0,0.0,0.0,12.963039802582392,0.2791849633270441,6700.0,1
BRUNSWICK 1105,0,0,0,0.0,0.0,12.77682407309558,0.2713859266898648,2644.5,1
BRUNSWICK 1106,0,0,0,0.0,0.0,13.32841459221959,0.2947946538206751,4079.0,1
BRUNSWICK 1107,0,0,0,0.0,0.0,12.963039802582392,0.2791849633270441,7037.0,1
BRUNSWICK 1110,0,0,0,0.0,0.0,12.963039802582392,0.2791849633270441,6373.0,1
BUCKS CREEK 1103,0,0,0,0.0,0.0,12.870925056666657,0.2753138082687384,854.6666666666666,1
BUELLTON 1101,0,0,0,0.0,0.0,14.608415437957223,0.3526706523958799,6937.5,3
BUELLTON 1102,0,0,0,0.0,0.0,14.608415437957223,0.3526706523958799,3914.0,3
BURNEY 1101,0,0,0,0.0,0.0,11.459954931896116,0.2192679742244627,1384.6666666666667,1
BURNEY 1102,0,0,0,0.0,0.0,11.459954931896116,0.2192679742244627,1384.6666666666667,1
BURNS 2101,0,0,0,0.0,0.0,13.95287185426226,0.3224115151422563,5661.5,3
BUTTE 1105,0,0,0,0.0,0.0,15.125536660122435,0.377451182053428,1246.6666666666667,1
CABRILLO 1103,0,0,0,0.0,0.0,13.103147520391676,0.2851226491441551,2496.0,3
CABRILLO 1104,1,0,1,12.895777994213283,0.0,13.103957435912491,0.2851571467966936,46690.5,3
CAL WATER 1102,1,0,0,2.908470177726042,0.0,16.816097886720478,0.4640186775530049,6749.0,4
CALAVERAS CEMENT 1101,0,0,0,0.0,0.0,13.874674712465833,0.3188885434550723,2172.0,4
