unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.0,0.0,10.808059146762918,0.1549099368003102,6257.0,2
ALHAMBRA 1105,0,0,0,0.0,0.0,12.224753769430611,0.1974511791948185,2740.5,2
ALLEGHANY 1101,0,0,0,0.0,0.0,14.772658177928344,0.2864397688446849,1618.0,1
ALLEGHANY 1102,0,0,0,0.0,0.0,14.565710562088992,0.2786191135470282,1068.5,1
ALTO 1120,1,0,0,9.679570189238506,0.0,9.679570189238506,0.1246178648255888,15676.0,0
ALTO 1122,0,0,0,0.0,0.0,9.6795701892385,0.1246178648255887,2899.5,0
ALTO 1123,0,0,0,0.0,0.0,9.679570189238497,0.1246178648255885,2795.0,0
ALTO 1124,1,0,0,9.841738994510036,0.0,9.841738994510036,0.1287736297094071,10515.0,0
ALTO 1125,0,0,0,0.0,0.0,9.841738994510036,0.1287736297094071,5408.5,0
ANDERSON 1101,0,0,0,0.0,0.0,16.34431723846762,0.3492183960887707,5357.0,1
ANDERSON 1103,0,0,0,0.0,0.0,16.344317238467625,0.3492183960887708,1315.5,1
ANITA 1106,0,0,0,0.0,0.0,16.14452146987254,0.3409071438211769,767.875,1
ANNAPOLIS 1101,0,0,0,0.0,0.0,14.499308934912328,0.2761318432237993,727.0,0
ANTELOPE 1101,0,0,0,0.0,0.0,16.655982933020997,0.3623746423660113,164.77272727272728,4
ANTLER 1101,0,0,0,0.0,0.0,16.764958910409867,0.3670297507664933,4890.0,1
APPLE HILL 1103,0,0,0,0.0,0.0,14.267742135329302,0.2675418669661022,4209.5,1
APPLE HILL 1104,0,0,0,0.0,0.0,14.267742135329302,0.2675418669661022,1701.5,1
APPLE HILL 2102,0,0,0,0.0,0.0,14.610326877067711,0.2802963783915809,2137.0,1
ARCATA 1121,0,0,0,0.0,0.0,15.8025621508954,0.3269049229968833,5859.5,0
ARCATA 1122,0,0,0,0.0,0.0,15.8025621508954,0.3269049229968833,2574.5,0
ARLINGTON 0401,0,0,0,0.0,0.0,10.030059740386292,0.1336828542523809,5336.0,2
ARVIN 1101,0,0,0,0.0,0.0,17.66285033141638,0.4064647869473399,500.42857142857144,4
ATASCADERO 1101,0,0,0,0.0,0.0,12.521005678819222,0.2069776872901052,11520.0,3
ATASCADERO 1102,0,0,0,0.0,0.0,12.121971007353606,0.1941968027759022,6462.0,3
ATASCADERO 1103,0,0,0,0.0,0.0,12.328607680735164,0.2007660575455648,6120.0,3
AUBERRY 1101,0,0,0,0.0,0.0,14.85205523059761,0.2894678565143181,1059.5,4
AUBERRY 1102,0,0,0,0.0,0.0,14.456827171755696,0.274546194081111,1059.5,4
AUBURN 1101,0,0,0,0.0,0.0,14.58065658649107,0.2791804411080559,4632.0,1
AUBURN 1102,0,0,0,0.0,0.0,14.58065658649107,0.2791804411080559,1546.3333333333333,1
BALCH NO 1 1101,0,0,0,0.0,0.0,13.923576614102084,0.2550167888953987,580.0,4
BANCROFT 0401,0,0,0,0.0,0.0,11.103239404428136,0.163360950160327,10746.0,2
BANCROFT 0402,0,0,0,0.0,0.0,11.103239404428136,0.163360950160327,4121.0,2
BANGOR 1101,0,0,0,0.0,0.0,14.747724590870652,0.2854919985375536,1062.3333333333333,1
BASALT 1106,0,0,0,0.0,0.0,11.462158464423547,0.1739301325815104,905.5,0
BAY MEADOWS 1105,0,0,0,0.0,0.0,11.263059383073758,0.1680275001441952,2459.5,2
BAY MEADOWS 2102,0,0,0,0.0,0.0,11.263059383073758,0.1680275001441952,1854.3333333333333,2
BAYWOOD 1101,0,0,0,0.0,0.0,12.470860094804143,0.2053498985735254,1230.0,3
BEAR VALLEY 2101,1,0,0,0.0,0.0,14.800304062674869,0.287492404626456,5038.5,4
BEAR VALLEY 2105,0,0,0,0.0,0.0,13.828697325864102,0.2516147943249238,1603.0,4
BELL 1107,1,0,0,0.0,0.0,14.900563107225736,0.2913254107673408,8348.0,1
BELL 1108,0,0,0,0.0,0.0,14.402860911474924,0.2725382209716592,4663.0,1
BELL 1109,0,0,0,0.0,0.0,14.58065658649107,0.2791804411080559,3026.0,1
BELL 1110,0,0,0,0.0,0.0,14.58065658649107,0.2791804411080559,2955.5,1
BELLEVUE 1102,0,0,0,0.0,0.0,11.7320684447523,0.1820898002451363,3311.0,0
BELLEVUE 2101,0,0,0,0.0,0.0,12.922610681007296,0.2202383448520841,725.5,0
BELMONT 1103,0,0,0,0.0,0.0,12.959938454975807,0.2214910853016308,8404.0,2
BELMONT 1110,0,0,0,0.0,0.0,11.371703485057155,0.1712361843793777,2556.6666666666665,2
BEN LOMOND 0401,0,0,0,0.0,0.0,15.108942991661465,0.2993700349937302,2509.5,3
BEN LOMOND 1101,0,0,0,0.0,0.0,15.108942991661465,0.2993700349937302,2705.5,3
BERESFORD 0402,0,0,0,0.0,0.0,11.263059383073758,0.1680275001441952,7115.333333333333,2
BERESFORD 0403,0,0,0,0.0,0.0,11.263059383073758,0.1680275001441952,1856.5,2
BERKELEY F 0402,0,0,0,0.0,0.0,10.030059740386292,0.1336828542523809,5065.0,2
BERKELEY F 1103,0,0,0,0.0,0.0,9.99575698652023,0.1327819745776401,9660.333333333334,2
BERKELEY F 1105,0,0,0,0.0,0.0,10.030059740386292,0.1336828542523809,3386.0,2
