unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.0,0.0,16.552542860212558,0.1549099368003102,6257.0,1
ALHAMBRA 1105,0,0,0,0.0,0.0,18.71022041263955,0.1974511791948185,2740.5,1
ALLEGHANY 1101,0,0,0,0.0,0.0,22.584042781706692,0.2864397688446849,1618.0,4
ALLEGHANY 1102,0,0,0,0.0,0.0,22.269720195405956,0.2786191135470282,1068.5,4
ALTO 1120,1,0,0,14.831874632608866,0.0,14.831874632608866,0.1246178648255888,15676.0,1
ALTO 1122,0,0,0,0.0,0.0,14.83187463260886,0.1246178648255887,2899.5,1
ALTO 1123,0,0,0,0.0,0.0,14.83187463260885,0.1246178648255885,2795.0,1
ALTO 1124,0,0,0,0.0,0.0,15.079248602956934,0.1287736297094071,10515.0,1
ALTO 1125,0,0,0,0.0,0.0,15.079248602956932,0.1287736297094071,5408.5,1
ANDERSON 1101,1,0,0,0.0,0.0,24.969333464574245,0.3492183960887707,5357.0,2
ANDERSON 1103,0,0,0,0.0,0.0,24.96933346457425,0.3492183960887708,1315.5,2
ANITA 1106,0,0,0,0.0,0.0,24.66628375071457,0.3409071438211769,767.875,2
ANNAPOLIS 1101,0,0,0,0.0,0.0,22.168854113187507,0.2761318432237993,727.0,1
ANTELOPE 1101,0,0,0,0.0,0.0,25.44196401845105,0.3623746423660113,164.77272727272728,0
ANTLER 1101,0,0,0,0.0,0.0,25.607192801565787,0.3670297507664933,4890.0,2
APPLE HILL 1103,0,0,0,0.0,0.0,21.817051812831508,0.2675418669661022,4209.5,4
APPLE HILL 1104,0,0,0,0.0,0.0,21.817051812831508,0.2675418669661022,1701.5,4
APPLE HILL 2102,0,0,0,0.0,0.0,22.337490478221344,0.2802963783915809,2137.0,4
ARCATA 1121,1,0,0,24.147480554690503,0.0,24.147480554690503,0.3269049229968833,5859.5,2
ARCATA 1122,0,0,0,0.0,0.0,24.147480554690503,0.3269049229968833,2574.5,2
ARLINGTON 0401,0,0,0,0.0,0.0,15.366470103567083,0.1336828542523809,5336.0,1
ARVIN 1101,0,0,0,0.0,0.0,26.967988536042927,0.4064647869473399,500.42857142857144,0
ATASCADERO 1101,1,0,0,19.161082885111377,0.0,19.161082885111377,0.2069776872901052,11520.0,0
ATASCADERO 1102,0,0,0,0.0,0.0,18.553769089353985,0.1941968027759022,6462.0,0
ATASCADERO 1103,0,0,0,0.0,0.0,18.868287855171943,0.2007660575455648,6120.0,0
AUBERRY 1101,0,0,0,0.0,0.0,22.704620171476954,0.2894678565143181,1059.5,0
AUBERRY 1102,0,0,0,0.0,0.0,22.104319991966015,0.274546194081111,1059.5,0
AUBURN 1101,0,0,0,0.0,0.0,22.29242286106948,0.2791804411080559,4632.0,4
AUBURN 1102,0,0,0,0.0,0.0,22.29242286106948,0.2791804411080559,1546.3333333333333,4
BALCH NO 1 1101,0,0,0,0.0,0.0,21.2940562492491,0.2550167888953987,580.0,0
BANCROFT 0401,0,0,0,0.0,0.0,17.00233575322326,0.163360950160327,10746.0,1
BANCROFT 0402,0,0,0,0.0,0.0,17.00233575322326,0.163360950160327,4121.0,1
BANGOR 1101,0,0,0,0.0,0.0,22.54617535405767,0.2854919985375536,1062.3333333333333,4
BASALT 1106,0,0,0,0.0,0.0,17.54909506203786,0.1739301325815104,905.5,1
BAY MEADOWS 1105,0,0,0,0.0,0.0,17.245818912254993,0.1680275001441952,2459.5,1
BAY MEADOWS 2102,0,0,0,0.0,0.0,17.245818912254993,0.1680275001441952,1854.3333333333333,1
BAYWOOD 1101,0,0,0,0.0,0.0,19.08477511380205,0.2053498985735254,1230.0,0
BEAR VALLEY 2101,0,0,0,0.0,0.0,22.626028509306717,0.287492404626456,5038.5,4
BEAR VALLEY 2105,0,0,0,0.0,0.0,21.149849779605255,0.2516147943249238,1603.0,4
BELL 1107,1,0,0,7.827545608194314,0.0,22.778283240417636,0.2913254107673408,8348.0,4
BELL 1108,0,0,0,0.0,0.0,22.0223363324588,0.2725382209716592,4663.0,4
BELL 1109,0,0,0,0.0,0.0,22.29242286106948,0.2791804411080559,3026.0,4
BELL 1110,0,0,0,0.0,0.0,22.29242286106948,0.2791804411080559,2955.5,4
BELLEVUE 1102,0,0,0,0.0,0.0,17.960148321077945,0.1820898002451363,3311.0,1
BELLEVUE 2101,0,0,0,0.0,0.0,19.77209430027156,0.2202383448520841,725.5,1
BELMONT 1103,0,0,0,0.0,0.0,19.828874767375915,0.2214910853016308,8404.0,1
BELMONT 1110,0,0,0,0.0,0.0,17.411316816634116,0.1712361843793777,2556.6666666666665,1
BEN LOMOND 0401,0,0,0,0.0,0.0,23.094689645163996,0.2993700349937302,2509.5,3
BEN LOMOND 1101,0,0,0,0.0,0.0,23.094689645163996,0.2993700349937302,2705.5,3
BERESFORD 0402,0,0,0,0.0,0.0,17.245818912254993,0.1680275001441952,7115.333333333333,1
BERESFORD 0403,0,0,0,0.0,0.0,17.245818912254993,0.1680275001441952,1856.5,1
BERKELEY F 0402,0,0,0,0.0,0.0,15.366470103567083,0.1336828542523809,5065.0,1
BERKELEY F 1103,0,0,0,0.0,0.0,15.31415610077274,0.1327819745776401,9660.333333333334,1
BERKELEY F 1105,0,0,0,0.0,0.0,15.366470103567083,0.1336828542523809,3386.0,1
BIG BASIN 1101,0,0,0,0.0,0.0,23.094689645163996,0.2993700349937302,2705.5,3
BIG BASIN 1102,0,0,0,0.0,0.0,24.426869872957088,0.3344099920361946,6007.0,3
BIG BEND 1101,0,0,0,0.0,0.0,23.656656167666316,0.3139210514363008,1418.0,4
BIG BEND 1102,0,0,0,0.0,0.0,23.298365475356977,0.3046049554247661,888.75,4
BIG MEADOWS 2101,1,0,0,13.627053493408308,0.0,22.636982957955023,0.2877673562330532,10046.666666666666,4
BIG RIVER 1101,0,0,0,0.0,0.0,23.69168110180626,0.3148390840851463,2443.0,2
BOGARD 1101,1,0,0,21.341066770079298,0.0,21.341066770079298,0.2561306408595827,9832.0,4
BOLINAS 1101,0,0,0,0.0,0.0,17.2537588543597,0.1681807605866166,2111.0,1
BONNIE NOOK 1101,0,0,0,0.0,0.0,22.20827780024702,0.2771027023971174,566.6,4
BONNIE NOOK 1102,0,0,0,0.0,0.0,22.20827780024702,0.2771027023971174,566.6,4
BRENTWOOD 2105,0,0,0,0.0,0.0,20.33742045309423,0.2328658842839492,1293.0,1
BRENTWOOD 2111,0,0,0,0.0,0.0,21.033372331272,0.2488832465330431,11610.5,1
BRIDGEVILLE 1101,0,0,0,0.0,0.0,23.715042654193137,0.3154521354148224,1358.0,2
BRIDGEVILLE 1102,0,0,0,0.0,0.0,24.052636639507636,0.3243760369532248,1358.0,2
BROWNS VALLEY 1101,0,0,0,0.0,0.0,23.032434842767,0.2977787714377185,1967.5,4
BRUNSWICK 1102,1,0,0,21.82109087312141,0.0,21.82109087312141,0.2676397373792119,7581.0,4
BRUNSWICK 1103,0,0,0,0.0,0.0,21.532578394570542,0.2606927396950301,2644.5,4
BRUNSWICK 1104,0,0,0,0.0,0.0,21.532578394570542,0.2606927396950301,6700.0,4
BRUNSWICK 1105,0,0,0,0.0,0.0,21.82109087312141,0.2676397373792119,2644.5,4
BRUNSWICK 1106,0,0,0,0.0,0.0,21.84911120440803,0.2683191784413822,4079.0,4
BRUNSWICK 1107,1,0,0,0.0,0.0,21.532578394570542,0.2606927396950301,7037.0,4
BRUNSWICK 1110,0,0,0,0.0,0.0,21.532578394570542,0.2606927396950301,6373.0,4
BUCKS CREEK 1103,0,0,0,0.0,0.0,23.862890215234003,0.3193453979179915,854.6666666666666,4
BUELLTON 1101,0,0,0,0.0,0.0,24.968189962419174,0.3491868521662245,6937.5,0
BUELLTON 1102,0,0,0,0.0,0.0,24.968189962419174,0.3491868521662245,3914.0,0
BURNEY 1101,0,0,0,0.0,0.0,21.20905753066872,0.2530088734479429,1384.6666666666667,2
BURNEY 1102,0,0,0,0.0,0.0,21.20905753066872,0.2530088734479429,1384.6666666666667,2
BURNS 2101,0,0,0,0.0,0.0,23.094689645163996,0.2993700349937302,5661.5,3
BUTTE 1105,0,0,0,0.0,0.0,24.78556567037381,0.3441668769200218,1246.6666666666667,4
CABRILLO 1103,0,0,0,0.0,0.0,21.771072435126193,0.2664289723567445,2496.0,0
CABRILLO 1104,1,0,0,21.702153830803297,0.0,21.702153830803297,0.2647650910661285,46690.5,0
CAL WATER 1102,0,0,0,0.0,0.0,28.338633670580556,0.4481556461190107,6749.0,0
CALAVERAS CEMENT 1101,0,0,0,0.0,0.0,23.30111260767811,0.3046758649367984,2172.0,4
CALISTOGA 1101,0,0,0,0.0,0.0,19.819648315428022,0.2212872868209573,569.0,1
CALISTOGA 1102,0,0,0,0.0,0.0,18.473544210989925,0.1925383007818457,5797.0,1
CALPELLA 1101,0,0,0,0.0,0.0,22.1094558925373,0.2746722236818243,3009.0,2
CALPELLA 1102,0,0,0,0.0,0.0,22.86844545929111,0.2936069035227806,4236.0,2
CAMP EVERS 2103,1,0,0,19.25032805926124,0.0,19.25032805926124,0.2088894330290048,17638.0,3
CAMP EVERS 2104,0,0,0,0.0,0.0,21.24973401145274,0.253968802713992,5231.0,3
CAMP EVERS 2105,0,0,0,0.0,0.0,21.24973401145274,0.253968802713992,4735.0,3
CAMP EVERS 2106,0,0,0,0.0,0.0,21.24973401145274,0.253968802713992,3450.0,3
CAMPHORA 1101,0,0,0,0.0,0.0,25.62429732529625,0.3675132976879319,1716.0,3
CARLOTTA 1121,0,0,0,0.0,0.0,24.721073621290213,0.3424025665575457,1358.0,2
CAROLANDS 0401,0,0,0,0.0,0.0,17.245818912254993,0.1680275001441952,1944.0,1
CAROLANDS 0404,0,0,0,0.0,0.0,17.245818912254993,0.1680275001441952,1854.3333333333333,1
CASTRO VALLEY 1102,0,0,0,0.0,0.0,19.4643522562012,0.2135091375296046,8877.0,1
CASTRO VALLEY 1105,0,0,0,0.0,0.0,17.00233575322326,0.163360950160327,10696.5,1
CASTRO VALLEY 1108,1,0,0,19.4643522562012,0.0,19.4643522562012,0.2135091375296046,13970.0,1
CASTRO VALLEY 1110,0,0,0,0.0,0.0,19.4643522562012,0.2135091375296046,3863.0,1
CASTRO VALLEY 1111,0,0,0,0.0,0.0,19.4643522562012,0.2135091375296046,3863.0,1
CAYETANO 2109,0,0,0,0.0,0.0,19.255072343103485,0.2089913023850424,2890.5,1
CAYETANO 2111,0,0,0,0.0,0.0,19.255072343103485,0.2089913023850424,2890.5,1
CAYUCOS 1101,0,0,0,0.0,0.0,19.024641726858697,0.2040715712914433,528.8,0
CAYUCOS 1102,0,0,0,0.0,0.0,18.371090387984264,0.1904303856067052,3033.8,0
CEDAR CREEK 1101,0,0,0,0.0,0.0,22.215244168863933,0.2772744309771788,1115.3333333333333,2
CHALLENGE 1101,0,0,0,0.0,0.0,22.618521667176264,0.2873040603342314,888.75,4
CHALLENGE 1102,0,0,0,0.0,0.0,22.365466168316026,0.2809901875468523,1062.3333333333333,4
CHESTER 1101,0,0,0,0.0,0.0,21.490251248028557,0.2596810586076758,1100.0,4
CHESTER 1102,0,0,0,0.0,0.0,21.490251248028557,0.2596810586076758,1100.0,4
CHOLAME 1101,0,0,0,0.0,0.0,23.294054902576708,0.304493706289409,1620.5,0
CHOLAME 2102,0,0,0,0.0,0.0,21.709188483909113,0.2649346935135683,3949.0,0
CLARK ROAD 1101,0,0,0,0.0,0.0,23.66759794210416,0.3142077042532628,899.5,4
CLARK ROAD 1102,0,0,0,0.0,0.0,23.71500207696303,0.3154510700881636,1851.0,4
CLARKSVILLE 2103,1,0,0,22.247957582860337,0.0,22.247957582860337,0.2780815461561323,28833.0,4
CLARKSVILLE 2104,1,0,0,0.0,0.0,22.247957582860337,0.2780815461561323,7238.5,4
CLARKSVILLE 2105,1,0,0,22.247957582860337,0.0,22.247957582860337,0.2780815461561323,15415.0,4
CLARKSVILLE 2106,1,0,0,22.247957582860337,0.0,22.247957582860337,0.2780815461561323,12843.0,4
CLARKSVILLE 2109,1,0,0,22.247957582860337,0.0,22.247957582860337,0.2780815461561323,8350.5,4
CLAY 1101,0,0,0,0.0,0.0,22.4966422992496,0.284254565132973,2863.0,4
CLAY 1102,0,0,0,0.0,0.0,22.723744838068455,0.289949564718731,6321.0,4
CLAY 1103,0,0,0,0.0,0.0,22.723744838068455,0.289949564718731,2148.5,4
CLAYTON 2212,0,0,0,0.0,0.0,20.166483098181605,0.2290114116974798,5000.0,1
CLAYTON 2213,0,0,0,0.0,0.0,20.166483098181605,0.2290114116974798,7995.0,1
CLAYTON 2215,0,0,0,0.0,0.0,18.31969723107714,0.1893772879448113,3464.0,1
CLAYTON 2217,0,0,0,0.0,0.0,18.31969723107714,0.1893772879448113,8747.0,1
CLEAR LAKE 1101,0,0,0,0.0,0.0,21.969367604512076,0.2712447153791482,6102.0,1
CLEAR LAKE 1102,0,0,0,0.0,0.0,21.969367604512076,0.2712447153791482,4123.333333333333,1
CLOVERDALE 1101,0,0,0,0.0,0.0,21.707856867728022,0.264902584756349,6306.0,1
CLOVERDALE 1102,0,0,0,0.0,0.0,21.66297307533135,0.263821429594332,4088.0,1
COARSEGOLD 2102,0,0,0,0.0,0.0,21.51897324365283,0.2603673471989597,4398.5,0
COARSEGOLD 2103,0,0,0,0.0,0.0,21.35883364937671,0.2565522205162983,7327.5,0
COARSEGOLD 2104,0,0,0,0.0,0.0,21.35883364937671,0.2565522205162983,4536.5,0
COLUMBIA HILL 1101,0,0,0,0.0,0.0,22.025856743893534,0.2726242964114984,1068.5,4
CONTRA COSTA 2115,0,0,0,0.0,0.0,21.033372331272,0.2488832465330431,10095.0,1
