exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,8.32859866126265,146.2258781249679,6820815.910227941,6860695.820001101,6820815.910227941,-0.005846794620766572,False,24.18191385269165,135,1,28,50,1885976.1238095239,27965.625,602211.4333333333,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
0,Group Conformal (fixed),group_conformal_fixed,15.283223930452401,233.17280126137774,10152277.458385814,10160381.695501482,10152277.458385814,-0.0007982678910113915,False,37.36160898208618,131,1,22,51,1946295.3571428573,5623.525,624594.9333333333,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
0,Group Conformal (oracle),group_conformal_oracle,22.005821856836814,319.5617003681235,13405773.828049177,13634766.821137404,13405773.828049177,-0.017081669139389775,False,72.24702215194702,126,0,27,33,2086367.4571428574,0.0,630303.5,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
0,Bonferroni,bonferroni,18.72918733624749,,48717093.2775218,48717093.27752177,48717093.2775218,6.117426222029176e-16,False,0.3157460689544678,156,1,155,23,3019253.4404761908,1904.2749999999999,628421.7,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
0,MaxRank,maxrank,10.325398844225042,,27770288.68638465,27770288.686384454,27770288.68638465,7.109770735486933e-15,False,0.33596014976501465,148,1,147,25,2991233.8404761907,7932.974999999999,622337.2309523809,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
0,CI,ci,8.507157914915426,,24599604.16830636,24599604.168306336,24599604.16830636,9.086220102504341e-16,False,0.32582616806030273,174,0,174,28,2983649.3404761907,0.0,630294.0012987014,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
0,Co-Optimized,co_optimized,,,850763.7849738299,850763.7849738299,850763.7849738299,0.0,False,0.08628988265991211,110,1,109,44,2409534.2452380955,1193.9599999999998,629085.9167748919,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,5.387426705278329e-05,False,0.0492861270904541,321,319,0,0,2733592.385357144,630216.801888528,0.0,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
1,Group Conformal (random),group_conformal_random,7.601131592984278,135.3776553190681,6264194.801340459,6329714.765321664,6264194.801340459,-0.010459439091387168,False,12.894052982330322,123,0,26,21,571664.8452380953,0.0,630258.3333333334,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
1,Group Conformal (fixed),group_conformal_fixed,13.825664706211166,213.31620382850133,9240908.958439391,9260140.40072386,9240908.958439391,-0.002081120198344252,False,68.87051916122437,136,0,40,25,622248.1785714286,0.0,630304.5,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
1,Group Conformal (oracle),group_conformal_oracle,21.14230184229418,307.0458657026184,12642093.80843055,12663453.215225903,12642093.80843055,-0.0016895466145891822,False,11.414314985275269,124,0,29,34,518788.7119047619,0.0,630184.6333333333,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
1,Bonferroni,bonferroni,15.024092550815316,,45637434.822915696,45637434.822915696,45637434.822915696,0.0,False,0.33806800842285156,110,2,108,43,631056.0785714287,5471.2875,624740.6976190476,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
1,MaxRank,maxrank,9.03842768693028,,24549611.13854681,24549611.138546795,24549611.13854681,6.0698155705002e-16,False,0.3395421504974365,99,2,97,45,550527.9119047619,7707.35,622584.9476190477,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
1,CI,ci,7.38409068981285,,22358225.622193336,22358225.622193336,22358225.622193336,0.0,False,0.3251209259033203,103,3,100,48,571004.9785714287,9614.158333333333,620671.880952381,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.95,0.95,1.0
