exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,8.32859866126265,146.2258781249679,6848708.17235904,6848708.17235904,6848708.17235904,0.0,False,7.546949863433838,205,0,37,66,1808344.8333333335,0.0,630257.3333333333,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
0,Group Conformal (fixed),group_conformal_fixed,15.283223930452401,233.17280126137774,9883281.185458576,10181454.7855038,9883281.185458576,-0.030169494771021006,False,14.419671058654785,182,0,37,67,1951524.6785714289,0.0,630157.2666666667,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
0,Group Conformal (oracle),group_conformal_oracle,22.005821856836814,319.5617003681235,13368007.975070884,13429684.359255966,13368007.975070884,-0.004613730355345206,False,22.64833378791809,181,0,29,53,2155559.3571428573,0.0,630248.9,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
0,Bonferroni,bonferroni,18.72918733624749,,48718539.002002165,48718539.00200213,48718539.002002165,7.646555858969452e-16,False,0.3138580322265625,156,0,156,22,3021257.9404761908,0.0,630299.2,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
0,MaxRank,maxrank,10.325398844225042,,27771178.9347305,27771178.9347305,27771178.9347305,0.0,False,0.3622629642486572,153,0,153,26,2989534.173809524,0.0,630194.1036796537,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
0,CI,ci,8.507157914915426,,24601044.717824996,24601044.71782457,24601044.717824996,1.7262807287080323e-14,False,0.3500669002532959,167,0,167,26,2990536.9404761908,0.0,630320.1346320347,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
0,Co-Optimized,co_optimized,,,850792.2221327903,850792.2221327903,850792.2221327903,0.0,False,0.07335019111633301,110,1,109,43,2412047.8452380956,729.4812499999999,629485.5417748919,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,5.387426705278329e-05,False,0.05074715614318848,321,319,0,0,2752439.0207142867,630216.801888528,0.0,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
1,Group Conformal (random),group_conformal_random,7.601131592984278,135.3776553190681,6269251.462580554,6269251.462580552,6269251.462580554,2.9710806152035473e-16,False,10.761103868484497,174,0,27,29,516535.0452380953,0.0,630294.0,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
1,Group Conformal (fixed),group_conformal_fixed,13.825664706211166,213.31620382850133,8980709.011350205,9150704.74193105,8980709.011350205,-0.018928987718675228,False,19.759396076202393,136,0,26,21,611756.8452380953,0.0,630159.2666666667,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
1,Group Conformal (oracle),group_conformal_oracle,21.14230184229418,307.0458657026184,12720045.035321819,12858964.98356539,12720045.035321819,-0.01092134091175069,False,14.298705339431763,174,0,27,62,465269.34761904774,0.0,629819.6,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
1,Bonferroni,bonferroni,15.024092550815316,,45637650.382893234,45637650.38289324,45637650.382893234,-1.6325513111245961e-16,False,0.32686614990234375,109,0,109,43,617135.8785714286,0.0,630199.8142857143,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
1,MaxRank,maxrank,9.03842768693028,,24550280.359681077,24550280.359681066,24550280.359681077,4.552237584113244e-16,False,0.3552727699279785,101,1,100,46,548787.9119047619,422.4785714285714,629883.5060606061,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
1,CI,ci,7.38409068981285,,22358829.30890491,22358829.308904912,22358829.30890491,-1.6661383505344053e-16,False,0.3159198760986328,104,0,104,48,571004.9785714287,0.0,630327.1536796538,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
1,Co-Optimized,co_optimized,,,814743.8394062574,814743.8394062574,814743.8394062574,0.0,False,0.08327603340148926,94,0,94,37,832922.030952381,0.0,630307.8833333335,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
1,Planning-only,planning_only,,,0.0,0.0,0.0,8.306288960890856e-05,False,0.05705904960632324,321,319,0,0,748948.1595238091,630314.2085551948,0.0,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
2,Group Conformal (random),group_conformal_random,6.400721266532009,116.15044813875393,5309727.063752759,5309727.06375276,5309727.063752759,-1.7539933096998909e-16,False,7.8878748416900635,182,0,25,60,2163968.058333333,0.0,630239.6666666667,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
2,Group Conformal (fixed),group_conformal_fixed,10.034131507032786,161.26132076070678,6778204.2414939115,6831232.78829853,6778204.2414939115,-0.007823391700119475,False,17.11087703704834,145,0,39,58,2438973.058333333,0.0,630301.6000000001,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.95,1.0
