exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,8.32859866126265,146.2258781249679,6818153.201643862,6864638.715650738,6818153.201643862,-0.006817904003047144,False,34.27008819580078,133,1,36,51,1874011.6904761905,16085.7,614145.6,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
0,Group Conformal (fixed),group_conformal_fixed,15.283223930452401,233.17280126137774,10090406.837824866,10092123.39629016,10090406.837824866,-0.00017011786470886927,False,19.531670808792114,132,0,31,51,1961444.523809524,0.0,630283.8333333333,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
0,Group Conformal (oracle),group_conformal_oracle,22.005821856836814,319.5617003681235,13447172.487493347,13563208.865501966,13447172.487493347,-0.008629054034708004,False,13.015774011611938,109,0,25,35,2205358.6785714286,0.0,630292.4333333333,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
0,Bonferroni,bonferroni,18.72918733624749,,48719880.90013521,48719880.90013518,48719880.90013521,6.117076199094855e-16,False,0.3048439025878906,154,1,153,22,3021257.9404761908,509.94000000000005,629802.2,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
0,MaxRank,maxrank,10.325398844225042,,27771178.9347305,27771178.934730425,27771178.9347305,2.6828463474433808e-15,False,0.3224151134490967,153,0,153,26,2989534.173809524,0.0,630194.1036796537,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
0,CI,ci,8.507157914915426,,24600522.73093668,24600522.730936676,24600522.73093668,1.5143134717934797e-16,False,0.33051609992980957,165,14,151,28,2983649.340476191,59467.29,570852.7619047619,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
0,Co-Optimized,co_optimized,,,850779.3050626363,850779.3050626363,850779.3050626363,0.0,False,0.08177995681762695,110,2,108,44,2409534.2452380955,4653.719999999999,625571.5417748919,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,4.095640563673173e-05,False,0.05594277381896973,321,319,0,0,2707229.8607142866,630152.016525974,0.0,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
1,Group Conformal (random),group_conformal_random,7.601131592984278,135.3776553190681,6254102.676602278,6264635.896431807,6254102.676602278,-0.001684209609947114,False,11.161509990692139,88,0,25,19,639344.3452380953,0.0,629975.9333333333,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
1,Group Conformal (fixed),group_conformal_fixed,13.825664706211166,213.31620382850133,9241406.60960119,9326903.393355137,9241406.60960119,-0.009251490315892074,False,46.14944100379944,133,1,23,22,643805.8452380953,17280.9,612990.2666666666,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
1,Group Conformal (oracle),group_conformal_oracle,21.14230184229418,307.0458657026184,12920763.794622777,12963886.637570133,12920763.794622777,-0.003337484039860151,False,55.45599579811096,141,0,39,34,520586.7119047619,0.0,630219.2666666666,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
1,Bonferroni,bonferroni,15.024092550815316,,45635415.41281223,45635415.41281225,45635415.41281223,-3.265262528905155e-16,False,0.3122138977050781,110,1,109,43,631056.0785714285,2160.0,628099.9476190476,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
1,MaxRank,maxrank,9.03842768693028,,24549491.716765992,24549491.716765985,24549491.716765992,3.034922548655245e-16,False,0.31513023376464844,102,1,101,48,545784.3285714285,1514.025,628797.280952381,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
1,CI,ci,7.38409068981285,,22359846.911137007,22359846.91113701,22359846.911137007,-1.6660625241608514e-16,False,0.3202192783355713,104,4,100,48,571004.9785714287,6201.995454545455,624065.7142857143,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
1,Co-Optimized,co_optimized,,,814738.9951724986,814738.9951724986,814738.9951724986,0.0,False,0.08845996856689453,96,4,92,39,830444.1976190475,14561.400000000001,615761.0608225109,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
1,Planning-only,planning_only,,,0.0,0.0,0.0,5.5202297631495754e-05,False,0.04622483253479004,321,320,0,0,725597.2095238091,630040.8965259739,0.0,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
2,Group Conformal (random),group_conformal_random,6.400721266532009,116.15044813875393,5373763.162518064,5388827.060431599,5373763.162518064,-0.0028032307077851216,False,20.5152530670166,159,1,23,58,2182469.158333333,13533.300000000001,616615.9333333333,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
2,Group Conformal (fixed),group_conformal_fixed,10.034131507032786,161.26132076070678,6869694.998919537,6928359.629333924,6869694.998919537,-0.00853962663897204,False,25.893065929412842,152,0,28,61,2391168.8916666666,0.0,630291.1000000001,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
2,Group Conformal (oracle),group_conformal_oracle,15.08475856994656,226.98418437884476,9429699.594090559,9439243.769601468,9429699.594090559,-0.0010121399325266512,False,27.677080154418945,150,1,30,42,2761458.558333333,172251.0,458009.3333333334,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
2,Bonferroni,bonferroni,11.222856151300837,,35739297.379249506,35739297.37924948,35739297.379249506,6.254107783257392e-16,False,0.3191828727722168,102,1,101,47,3471033.616666667,509.94000000000005,629808.8916666667,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
2,MaxRank,maxrank,6.312754398517107,,19686150.093826894,19686150.093826592,19686150.093826894,1.5327959643568713e-14,False,0.32672119140625,99,0,99,28,3666793.058333333,0.0,630327.3655844157,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
2,CI,ci,5.470001752760959,,17444269.80492332,17444269.80492333,17444269.80492332,-6.40661433259394e-16,False,0.3213942050933838,101,1,100,34,3590680.625,612.15,629548.2036796538,321.20000000000005,321.20000000000005,630327.9860876623,0.4,0.4,0.15,0.9,0.9,1.0
