exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,8.32859866126265,146.2258781249679,5763280.753062193,4688460.353868863,5763280.753062193,0.18649454108621177,True,120.02398180961609,158,13,0,44,1647579.4488095236,352229.4,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
0,Group Conformal (fixed),group_conformal_fixed,15.283223930452401,233.17280126137774,7386652.963242818,6114263.708026283,7386652.963242818,0.17225518263117942,True,120.04028224945068,166,8,0,64,1712742.5571428572,117352.05,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
0,Group Conformal (oracle),group_conformal_oracle,22.005821856836814,319.5617003681235,10613264.17150248,7848386.213904574,10613264.17150248,0.26051155543850874,True,120.05148315429688,164,13,0,38,1892364.3988095233,363938.25,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
0,Bonferroni,bonferroni,18.72918733624749,,41260258.1008547,41260258.10085465,41260258.1008547,1.264026610085273e-15,False,0.2759580612182617,216,216,0,0,2979673.9796428573,840431.9903571429,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
0,MaxRank,maxrank,10.325398844225042,,23555399.115774643,23555399.11577461,23555399.115774643,1.4233515009178666e-15,False,0.32999467849731445,185,178,7,8,2793565.7085714284,820438.7475974027,19906.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
0,CI,ci,8.507157914915426,,21288798.5992389,21288798.599238914,21288798.5992389,-6.999531290779552e-16,False,0.32514095306396484,191,190,1,0,2804898.0463095238,839952.6868831168,443.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
0,Co-Optimized,co_optimized,,,764349.823207865,764349.823207865,764349.823207865,0.0,False,0.08436417579650879,163,160,3,2,2273316.5010714293,838966.7024999999,1466.2727272727273,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,6.92056592530256e-05,False,0.050534725189208984,321,321,0,2,2391183.211428572,839193.051525974,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
1,Group Conformal (random),group_conformal_random,7.601131592984278,135.3776553190681,4909843.161560478,4307117.471806321,4909843.161560478,0.12275864420129344,True,120.02158308029175,164,9,0,26,531335.8452380953,333609.30000000005,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
1,Group Conformal (fixed),group_conformal_fixed,13.825664706211166,213.31620382850133,6456558.635457676,5678290.71195223,6456558.635457676,0.12053912423739307,True,120.00667977333069,211,5,0,44,466086.0452380952,107799.30000000002,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
1,Group Conformal (oracle),group_conformal_oracle,21.14230184229418,307.0458657026184,8106424.929353531,7639161.419898584,8106424.929353531,0.05764113200666019,True,120.70487809181213,174,5,0,39,452682.71190476185,290444.4,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
1,Bonferroni,bonferroni,15.024092550815316,,40274360.18646269,40274360.18646266,40274360.18646269,7.399825161645319e-16,False,0.3130149841308594,157,152,5,4,558761.6094047618,813204.75,27229.114285714284,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
1,MaxRank,maxrank,9.03842768693028,,21759200.06651491,21759200.06651493,21759200.06651491,-1.0272317788542434e-15,False,0.3292579650878906,162,99,63,62,464312.4309523811,447855.9235714286,392423.4536796537,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
1,CI,ci,7.38409068981285,,20141499.45421688,20141499.45421658,20141499.45421688,1.479647652620809e-14,False,0.33429503440856934,165,135,30,32,472438.8883333332,658395.6535714286,182026.54761904763,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
1,Co-Optimized,co_optimized,,,730512.7663647889,730512.7663647889,730512.7663647889,0.0,False,0.09131503105163574,165,165,0,0,585971.4105952381,840433.8086688311,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
1,Planning-only,planning_only,,,0.0,0.0,0.0,9.792975856941951e-06,False,0.05569815635681152,321,321,0,0,555861.6514285714,840272.9165259739,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
2,Group Conformal (random),group_conformal_random,6.400721266532009,116.15044813875393,3961037.644494974,3649693.6453058817,3961037.644494974,0.07860162592036869,True,120.0072250366211,165,6,0,50,2187200.6083333334,296575.65,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
2,Group Conformal (fixed),group_conformal_fixed,10.034131507032786,161.26132076070678,5013304.822590026,4418702.052747623,5013304.822590026,0.11860495040379633,True,120.02375507354736,167,8,0,64,2293441.908333333,128846.7,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
2,Group Conformal (oracle),group_conformal_oracle,15.08475856994656,226.98418437884476,6863534.731741043,5502593.264695424,6863534.731741043,0.19828579882488553,True,120.02487397193909,210,9,0,65,2516786.175,268174.35000000003,0.0,321.20000000000005,321.20000000000005,840437.3147835498,0.4,0.4,0.2,0.95,0.9,1.0
