unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,4.717825449659338,0.0,4.717825449659338,0.1635752966400417,6257.0,2
ALHAMBRA 1105,0,0,0,5.162476069480277,0.0,5.162476069480277,0.2095731175025462,2740.5,3
ALLEGHANY 1101,1,1,0,22.503601429175266,0.0,22.503601429175266,0.2984041185403162,1618.0,1
ALLEGHANY 1102,1,1,0,24.449655858438337,0.0,24.449655858438337,0.2867039831017419,1068.5,2
ALTO 1120,0,0,0,3.259790554414863,0.0,3.259790554414863,0.1340192451613258,15676.0,2
ALTO 1122,0,0,0,2.9877475624691203,0.0,2.9877475624691203,0.1340192451613259,2899.5,2
ALTO 1123,0,0,0,4.366398805228995,0.0,4.366398805228995,0.1340192451613259,2795.0,0
ALTO 1124,0,0,0,4.411471985639589,0.0,4.411471985639589,0.1373643997419741,10515.0,2
ALTO 1125,0,0,0,3.3624267554420637,0.0,3.3624267554420637,0.1373643997419741,5408.5,4
ANDERSON 1101,0,0,0,6.168640312725032,0.0,6.168640312725032,0.3491185739346266,5357.0,2
ANDERSON 1103,0,0,0,8.221838537551665,0.0,8.221838537551665,0.3491185739346266,1315.5,2
ANITA 1106,0,0,0,6.097130073210396,0.0,6.097130073210396,0.3491536536908292,767.875,0
ANNAPOLIS 1101,0,0,0,7.0910384880114234,0.0,7.0910384880114234,0.2902905430808851,727.0,2
ANTELOPE 1101,1,1,0,18.205425974143093,0.0,18.205425974143093,0.4436056904362941,164.77272727272728,2
ANTLER 1101,0,0,0,7.171887215875646,0.0,7.171887215875646,0.363879554161481,4890.0,3
APPLE HILL 1103,1,1,0,23.731239567764792,0.0,23.731239567764792,0.2776504501404829,4209.5,2
APPLE HILL 1104,1,1,0,23.731239567764792,0.0,23.731239567764792,0.2776504501404829,1701.5,1
APPLE HILL 2102,1,1,0,19.39803220876078,0.0,19.39803220876078,0.2888917678832438,2137.0,2
ARCATA 1121,0,0,0,8.064259191112464,0.0,8.064259191112464,0.3752722082662825,5859.5,1
ARCATA 1122,0,0,0,7.076103857572636,0.0,7.076103857572636,0.3752722082662825,2574.5,4
ARLINGTON 0401,0,0,0,6.391305736658825,0.0,6.391305736658825,0.1496956108818659,5336.0,1
ARVIN 1101,1,1,0,16.26036774731175,0.0,16.26036774731175,0.3663343729028423,500.42857142857144,1
ATASCADERO 1101,0,0,0,6.208084981935287,0.0,6.208084981935287,0.2432701861441749,11520.0,1
ATASCADERO 1102,0,0,0,11.90517000662669,0.0,11.90517000662669,0.2205447526091054,6462.0,1
ATASCADERO 1103,0,0,0,7.863780637940908,0.0,7.863780637940908,0.2382183044421203,6120.0,4
AUBERRY 1101,0,0,0,9.54948001222516,0.0,9.54948001222516,0.2810984389086185,1059.5,3
AUBERRY 1102,0,0,0,8.492654295057648,0.0,8.492654295057648,0.2582508961592173,1059.5,1
AUBURN 1101,1,1,0,22.752686539993995,0.0,22.752686539993995,0.2817032805625278,4632.0,4
AUBURN 1102,1,1,0,17.340488502828737,0.0,17.340488502828737,0.2817032805625278,1546.3333333333333,3
BALCH NO 1 1101,0,0,0,9.766274412926537,0.0,9.766274412926537,0.251780587112129,580.0,2
BANCROFT 0401,0,0,0,5.38778897962733,0.0,5.38778897962733,0.1668966065400982,10746.0,0
BANCROFT 0402,0,0,0,4.303498061203691,0.0,4.303498061203691,0.1668966065400982,4121.0,0
BANGOR 1101,1,1,0,17.21649845215169,0.0,17.21649845215169,0.2930695656602289,1062.3333333333333,4
BASALT 1106,0,0,0,4.350460925198567,0.0,4.350460925198567,0.180120273870399,905.5,4
BAY MEADOWS 1105,0,0,0,5.247603667303519,0.0,5.247603667303519,0.1777203718296654,2459.5,0
BAY MEADOWS 2102,0,0,0,6.585310106236739,0.0,6.585310106236739,0.1777203718296654,1854.3333333333333,0
BAYWOOD 1101,0,0,0,9.174571261694874,0.0,9.174571261694874,0.2299406326958248,1230.0,2
BEAR VALLEY 2101,0,0,0,13.018223614646011,0.0,13.018223614646011,0.2729774554854866,5038.5,4
BEAR VALLEY 2105,0,0,0,14.632174970622138,0.0,14.632174970622138,0.2416985108781029,1603.0,4
BELL 1107,1,1,0,21.801269329479748,0.0,21.801269329479748,0.2943202708546338,8348.0,4
BELL 1108,1,1,0,27.021533656543387,0.0,27.021533656543387,0.2770129026239901,4663.0,3
BELL 1109,1,1,0,21.670246932560943,0.0,21.670246932560943,0.2817032805625278,3026.0,1
BELL 1110,1,1,0,15.175609287962637,0.0,15.175609287962637,0.2817032805625278,2955.5,4
BELLEVUE 1102,0,0,0,6.034222409319002,0.0,6.034222409319002,0.1958922070110017,3311.0,1
BELLEVUE 2101,0,0,0,6.319477395370427,0.0,6.319477395370427,0.2286842710575535,725.5,3
BELMONT 1103,0,0,0,6.4937090524943635,0.0,6.4937090524943635,0.2356392185843656,8404.0,3
BELMONT 1110,0,0,0,6.515778023352615,0.0,6.515778023352615,0.1747862005450409,2556.6666666666665,4
BEN LOMOND 0401,0,0,0,6.944994921781224,0.0,6.944994921781224,0.3315867486782396,2509.5,4
