exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,8.32859866126265,146.2258781249679,7303229.582029922,6614642.160500164,7303229.582029922,0.09428533141338902,True,120.01809287071228,129,8,0,30,1912464.6821428575,259222.05,0.0,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
0,Group Conformal (fixed),group_conformal_fixed,15.283223930452401,233.17280126137774,11360705.926134095,9697757.447358726,11360705.926134095,0.14637721366855672,True,392.07921409606934,119,8,0,41,2062223.7654761905,120484.5,0.0,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
0,Group Conformal (oracle),group_conformal_oracle,22.005821856836814,319.5617003681235,14536944.659247708,12729059.578391092,14536944.659247708,0.12436485955159263,True,127.03489995002747,129,8,0,25,2166324.2404761906,278184.3,0.0,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
0,Bonferroni,bonferroni,18.72918733624749,,47790824.34001104,47790824.34001101,47790824.34001104,6.235992536070247e-16,False,0.28959107398986816,175,175,0,0,3020542.441309524,630314.4075000001,0.0,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
0,MaxRank,maxrank,10.325398844225042,,27297313.75960912,27297313.7596091,27297313.75960912,8.188256906012698e-16,False,0.4104781150817871,119,117,2,1,2837474.896309524,629491.4850000001,822.0,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
0,CI,ci,8.507157914915426,,24154313.674547277,24154313.674547296,24154313.674547277,-7.711438935206543e-16,False,0.36458539962768555,135,134,1,0,2816603.471309524,629807.85,444.7142857142857,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
0,Co-Optimized,co_optimized,,,840525.1742086099,840525.1742086099,840525.1742086099,0.0,False,0.07698631286621094,120,119,1,0,2444835.4158333344,630160.179642857,164.77272727272728,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,2.8634141803505645e-05,False,0.05855107307434082,321,319,0,0,2683539.3553571436,630179.316525974,0.0,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
1,Group Conformal (random),group_conformal_random,7.601131592984278,135.3776553190681,6673061.08930777,6106080.382827231,6673061.08930777,0.08496561006896988,True,120.03513598442078,132,7,0,22,562357.8452380953,293496.30000000005,0.0,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
1,Group Conformal (fixed),group_conformal_fixed,13.825664706211166,213.31620382850133,9924590.854813823,8915641.149833495,9924590.854813823,0.10166159187216747,True,120.04007506370544,126,5,0,23,636508.8452380954,70612.65,0.0,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
1,Group Conformal (oracle),group_conformal_oracle,21.14230184229418,307.0458657026184,14821071.747653037,11563996.334605895,14821071.747653037,0.2197597763847888,True,120.0168240070343,121,12,0,26,540358.091904762,334288.89,0.0,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
1,Bonferroni,bonferroni,15.024092550815316,,45100843.14894957,45100843.148949504,45100843.14894957,1.4867842969333982e-15,False,0.3128528594970703,118,114,4,4,618947.3969047618,612062.91,18211.214285714286,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
1,MaxRank,maxrank,9.03842768693028,,24320153.767696973,24320153.767697003,24320153.767696973,-1.225416692359897e-15,False,0.35558509826660156,110,91,19,17,540281.554404762,527713.4978571429,102580.95,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.95,0.9,1.0
