exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,8.32859866126265,146.2258781249679,6767961.678163106,6767961.678163106,6767961.678163106,0.0,False,9.203689336776733,209,0,25,66,1777570.8333333335,0.0,630312.6666666667,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
0,Group Conformal (fixed),group_conformal_fixed,15.283223930452401,233.17280126137774,10001567.372166013,10054500.080122732,10001567.372166013,-0.005292441273157648,False,18.417372941970825,157,0,27,54,1902864.6904761908,0.0,630319.2666666667,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
0,Group Conformal (oracle),group_conformal_oracle,22.005821856836814,319.5617003681235,13434290.425595522,13463719.432263186,13434290.425595522,-0.0021905888391094337,False,20.053210973739624,211,0,30,55,2128926.023809524,0.0,630313.5,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
0,Bonferroni,bonferroni,18.72918733624749,,48721534.638560645,48721534.6385606,48721534.638560645,9.175302853897055e-16,False,0.3327198028564453,157,1,156,21,3022860.9404761908,156.5340909090909,630111.3,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
0,MaxRank,maxrank,10.325398844225042,,27769805.987080958,27769805.98708096,27769805.987080958,-1.3414894940911687e-16,False,0.3793928623199463,149,0,149,26,2990733.411904762,0.0,630290.5989177489,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
0,CI,ci,8.507157914915426,,24599604.16830636,24599604.16830634,24599604.16830636,7.571850085420286e-16,False,0.40117812156677246,174,0,174,28,2983649.3404761907,0.0,630294.0012987014,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
0,Co-Optimized,co_optimized,,,850792.2221327903,850792.2221327903,850792.2221327903,0.0,False,0.07682514190673828,110,1,109,43,2412047.8452380956,729.4812499999999,629485.5417748919,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,4.316998015981501e-05,False,0.08587098121643066,321,319,0,0,2774888.1707142866,630308.0018885281,0.0,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
1,Group Conformal (random),group_conformal_random,7.601131592984278,135.3776553190681,6258064.412625115,6258064.412625114,6258064.412625115,1.4881958912672967e-16,False,16.70076298713684,130,0,27,23,554668.8452380953,0.0,630259.4333333333,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
1,Group Conformal (fixed),group_conformal_fixed,13.825664706211166,213.31620382850133,9008398.736925565,9062538.013181223,9008398.736925565,-0.006009866773962855,False,20.318679094314575,153,0,26,25,567770.1785714286,0.0,630267.2666666667,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
1,Group Conformal (oracle),group_conformal_oracle,21.14230184229418,307.0458657026184,12696381.256058957,12786942.802874994,12696381.256058957,-0.007132862899246853,False,18.18113613128662,176,0,25,63,474310.8476190476,0.0,630138.3333333333,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
1,Bonferroni,bonferroni,15.024092550815316,,45636596.121335626,45636596.121335626,45636596.121335626,0.0,False,0.3185298442840576,107,0,107,42,632312.8785714286,0.0,630317.9809523809,401.5,321.20000000000005,630327.9860876623,0.5,0.4,0.15,0.9,0.95,1.0
