exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,8.32859866126265,146.2258781249679,6040861.7404807545,4673086.555263617,6040861.7404807545,0.22642054130314937,True,120.01013016700745,150,18,0,39,1744562.3238095231,416681.85000000003,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
0,Group Conformal (fixed),group_conformal_fixed,15.283223930452401,233.17280126137774,7648153.673944058,5759171.59478709,7648153.673944058,0.2469853718541776,True,291.31161189079285,290,16,0,92,1613953.2883333333,145754.98285714287,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
0,Group Conformal (oracle),group_conformal_oracle,22.005821856836814,319.5617003681235,8708813.971568221,6930245.900780698,8708813.971568221,0.2042262099746346,True,122.08845019340515,204,6,0,64,1804497.457142857,240224.85,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
0,Bonferroni,bonferroni,18.72918733624749,,41260258.1008547,41260258.10085465,41260258.1008547,1.264026610085273e-15,False,0.281095027923584,216,216,0,0,2979673.9796428573,840431.9903571429,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
0,MaxRank,maxrank,10.325398844225042,,23555399.115774643,23555399.11577461,23555399.115774643,1.4233515009178666e-15,False,0.3260488510131836,185,178,7,8,2793565.7085714284,820438.7475974027,19906.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
0,CI,ci,8.507157914915426,,21288798.5992389,21288798.599238914,21288798.5992389,-6.999531290779552e-16,False,0.3256509304046631,191,190,1,0,2804898.0463095238,839952.6868831168,443.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
0,Co-Optimized,co_optimized,,,764349.823207865,764349.823207865,764349.823207865,0.0,False,0.08404707908630371,163,160,3,2,2273316.5010714293,838966.7024999999,1466.2727272727273,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,6.92056592531561e-05,False,0.05732917785644531,321,321,0,2,2391183.211428572,839193.051525974,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
1,Group Conformal (random),group_conformal_random,7.601131592984278,135.3776553190681,5378847.843912344,4291818.019764613,5378847.843912344,0.20209343258854334,True,120.05264711380005,153,15,0,25,539287.8452380953,396749.25,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
1,Group Conformal (fixed),group_conformal_fixed,13.825664706211166,213.31620382850133,7173670.7769664675,5534051.602141911,7173670.7769664675,0.22856069448978847,True,354.7527220249176,182,10,0,39,549900.0452380953,128096.55,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
1,Group Conformal (oracle),group_conformal_oracle,21.14230184229418,307.0458657026184,8366149.432641812,7222546.853076923,8366149.432641812,0.13669401781217874,True,306.88765811920166,258,11,0,83,330983.40000000014,224490.90000000002,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
1,Bonferroni,bonferroni,15.024092550815316,,40274360.18646269,40274360.18646266,40274360.18646269,7.399825161645319e-16,False,0.41178011894226074,157,152,5,4,558761.6094047618,813204.75,27229.114285714284,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
1,MaxRank,maxrank,9.03842768693028,,21759200.06651491,21759200.06651493,21759200.06651491,-1.0272317788542434e-15,False,0.3885369300842285,162,99,63,62,464312.4309523811,447855.9235714286,392423.4536796537,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
1,CI,ci,7.38409068981285,,20141499.45421688,20141499.45421658,20141499.45421688,1.479647652620809e-14,False,0.37587928771972656,165,135,30,32,472438.8883333332,658395.6535714286,182026.54761904763,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
1,Co-Optimized,co_optimized,,,730512.7663647889,730512.7663647889,730512.7663647889,0.0,False,0.10250186920166016,165,165,0,0,585971.4105952381,840433.8086688311,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
1,Planning-only,planning_only,,,0.0,0.0,0.0,9.903568095940048e-06,False,0.04994773864746094,321,321,0,0,555861.6514285714,840272.9165259739,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
2,Group Conformal (random),group_conformal_random,6.400721266532009,116.15044813875393,4002649.463053441,3782777.0085622347,4002649.463053441,0.05493172872637107,True,120.00961184501648,167,6,0,51,2173352.1083333334,297244.35,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
2,Group Conformal (fixed),group_conformal_fixed,10.034131507032786,161.26132076070678,4638099.89275814,4411249.412112905,4638099.89275814,0.048910218815993285,True,120.02590417861938,166,2,0,65,2335955.0583333336,66714.3,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
2,Group Conformal (oracle),group_conformal_oracle,15.08475856994656,226.98418437884476,6429982.334841607,5585009.486371201,6429982.334841607,0.13141137945151452,True,120.02688217163086,207,5,0,78,2494854.925,223855.2,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
2,Bonferroni,bonferroni,11.222856151300837,,32186601.83278532,32186601.83278539,32186601.83278532,-2.1990676753791148e-15,False,0.36533188819885254,169,168,1,4,3314452.002083333,835273.9253571428,5129.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
2,MaxRank,maxrank,6.312754398517107,,17556518.44230491,17556518.442304894,17556518.44230491,8.487537687393194e-16,False,0.3985443115234375,148,141,7,3,3542885.471666666,836309.8597402597,4097.457142857143,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
2,CI,ci,5.470001752760959,,15765486.29000882,15765486.290008867,15765486.29000882,-2.9536753814111416e-15,False,0.597100019454956,176,172,4,6,3514844.112083333,833283.6429545454,7150.428571428572,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
2,Co-Optimized,co_optimized,,,621132.5876090871,621132.5876090871,621132.5876090871,0.0,False,0.11333012580871582,158,157,1,1,3595438.18375,839753.8167857144,681.5,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.95,0.9,1.0
