exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,8.32859866126265,146.2258781249679,4713422.547867131,4836382.882318125,4713422.547867131,-0.026087271659239294,False,13.684648036956787,287,0,45,106,1573311.1333333338,0.0,840229.2666666666,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.9,0.95,1.0
0,Group Conformal (fixed),group_conformal_fixed,15.283223930452401,233.17280126137774,6303738.449961884,6385129.258259852,6303738.449961884,-0.01291151416640083,False,18.467087030410767,243,0,43,93,1654844.590476191,0.0,839739.2666666666,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.9,0.95,1.0
0,Group Conformal (oracle),group_conformal_oracle,22.005821856836814,319.5617003681235,7774694.393174123,7884294.111979382,7774694.393174123,-0.014096980956767041,False,25.76430606842041,272,0,40,75,1624935.966666667,0.0,840398.7333333333,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.9,0.95,1.0
0,Bonferroni,bonferroni,18.72918733624749,,42288511.3930986,42288511.39309866,42288511.3930986,-1.4094760683658868e-15,False,0.3220381736755371,199,0,199,27,2994264.3404761907,0.0,840407.7749999999,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.9,0.95,1.0
0,MaxRank,maxrank,10.325398844225042,,24069384.50924462,24069384.50924461,24069384.50924462,4.643189314248269e-16,False,0.3422868251800537,159,0,159,28,2797643.7452380955,0.0,840305.2595238095,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.9,0.95,1.0
0,CI,ci,8.507157914915426,,21778586.580373634,21778586.580373604,21778586.580373634,1.368423165466233e-15,False,0.3434438705444336,176,1,175,29,2792259.3404761907,255.075,840181.061904762,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.9,0.95,1.0
0,Co-Optimized,co_optimized,,,777526.1054673253,777526.1054673253,777526.1054673253,0.0,False,0.0914299488067627,151,1,150,51,2347507.8285714285,624.15,839805.7477272728,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.9,0.95,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,4.973498544252591e-05,False,0.05362510681152344,321,321,0,0,2545497.745714287,840402.5285551947,0.0,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.9,0.95,1.0
1,Group Conformal (random),group_conformal_random,7.601131592984278,135.3776553190681,4374567.813378263,4376132.180968354,4374567.813378263,-0.00035760506107758954,False,15.659182071685791,162,0,56,27,524149.84523809527,0.0,840365.3333333333,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.9,0.95,1.0
1,Group Conformal (fixed),group_conformal_fixed,13.825664706211166,213.31620382850133,5719284.030958526,5890901.810946236,5719284.030958526,-0.030006864331049522,False,16.45966124534607,261,0,58,68,412865.430952381,0.0,839905.2666666666,401.5,321.20000000000005,840437.3147835498,0.5,0.4,0.2,0.9,0.95,1.0
