exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,7.000959957813027,129.22403447863832,6027342.053165201,6028932.632749843,6027342.053165201,-0.00026389403000731237,False,10.33915114402771,148,1,24,38,1810269.4571428574,181820.5,448442.6666666666,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
0,Group Conformal (fixed),group_conformal_fixed,11.582532108424253,186.30260327343814,8216366.779926562,8226098.340119002,8216366.779926562,-0.0011844116083298338,False,28.142016172409058,140,1,28,52,1952208.623809524,16692.766666666666,613509.7666666666,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
0,Group Conformal (oracle),group_conformal_oracle,17.38789259983454,260.80987143168556,11096435.731774844,11105914.902499694,11096435.731774844,-0.0008542536499090759,False,22.825366973876953,135,1,28,44,2067882.023809524,9249.199999999999,620942.1,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
0,Bonferroni,bonferroni,18.72918733624749,,48717093.2775218,48717093.27752177,48717093.2775218,6.117426222029176e-16,False,0.32329702377319336,156,1,155,23,3019253.4404761908,1904.2749999999999,628421.7,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
0,MaxRank,maxrank,7.737286039981393,,22585574.138617646,22585574.13861765,22585574.138617646,-1.6494113789617045e-16,False,0.33391427993774414,105,1,104,19,2765395.6904761908,181820.5,448476.4917748918,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
0,CI,ci,8.375408644249248,,24224125.67683297,24224125.67683297,24224125.67683297,0.0,False,0.3385920524597168,174,0,174,28,2983649.3404761907,0.0,630294.0012987014,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
0,Co-Optimized,co_optimized,,,850763.7849738299,850763.7849738299,850763.7849738299,0.0,False,0.08697199821472168,110,1,109,44,2409534.2452380955,1193.9599999999998,629085.9167748919,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,6.891015997013828e-05,False,0.05143594741821289,240,240,0,2,2616023.7733333344,629332.2885551949,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
1,Group Conformal (random),group_conformal_random,6.284384066054324,118.50444370254877,5509275.400983065,5535850.02086129,5509275.400983065,-0.004823614349263263,False,26.605069875717163,141,1,26,22,562357.8452380953,181820.5,448487.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
1,Group Conformal (fixed),group_conformal_fixed,9.888902592911638,163.39867871096567,7006062.773596432,7101665.246599813,7006062.773596432,-0.013645677478608315,False,75.84459805488586,147,0,39,26,581252.1785714286,0.0,630241.1666666667,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
1,Group Conformal (oracle),group_conformal_oracle,15.47396121655707,234.91277608573245,9972297.667936573,10018222.311173849,9972297.667936573,-0.004605221862252989,False,89.37212705612183,139,1,27,34,514975.7119047619,6175.0,623929.2666666666,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
1,Bonferroni,bonferroni,15.024092550815316,,45637434.822915696,45637434.822915696,45637434.822915696,0.0,False,0.3245830535888672,110,2,108,43,631056.0785714287,5471.2875,624740.6976190476,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
1,MaxRank,maxrank,7.624647701232432,,20972811.99911096,20972811.99911097,20972811.99911096,-5.328742228681346e-16,False,0.34708714485168457,103,4,99,46,560483.5785714285,27258.35,603052.780952381,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
1,CI,ci,7.270074907688145,,22015329.682401687,22015329.6824017,22015329.682401687,-6.768538744963308e-16,False,0.32883715629577637,103,3,100,48,571004.9785714287,9614.158333333333,620671.880952381,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
1,Co-Optimized,co_optimized,,,814739.6759333523,814739.6759333523,814739.6759333523,0.0,False,0.08747005462646484,95,3,92,38,831759.6976190475,12116.707142857142,618206.1214285715,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
1,Planning-only,planning_only,,,0.0,0.0,0.0,6.765903268798956e-05,False,0.042391061782836914,240,240,0,0,686952.5947619048,630147.7843885282,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
2,Group Conformal (random),group_conformal_random,4.756829683223477,94.96430469452746,4353909.293563039,4363457.214237192,4353909.293563039,-0.002192953511518632,False,35.84697508811951,190,0,24,61,2129595.058333333,0.0,630144.2666666666,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
2,Group Conformal (fixed),group_conformal_fixed,7.77450242385082,132.53504031099766,5632577.7174116215,5678063.423926967,5632577.7174116215,-0.008075468958863845,False,38.24556493759155,216,0,29,63,3018087.991666666,0.0,630246.6666666667,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
2,Group Conformal (oracle),group_conformal_oracle,11.072332277864962,175.56570511736388,7329504.775194664,7331919.746144815,7329504.775194664,-0.0003294862373682886,False,65.8829710483551,147,0,27,50,2585291.2249999996,0.0,630137.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
2,Bonferroni,bonferroni,11.222856151300837,,35739272.23687609,35739272.23687596,35739272.23687609,3.752467309791848e-15,False,0.32338523864746094,103,2,101,46,3471600.216666667,516.584090909091,629808.8916666667,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
2,MaxRank,maxrank,5.385721419990828,,16656819.723361831,16656819.723361835,16656819.723361831,-2.2364955377628606e-16,False,0.3386979103088379,91,1,90,22,3669396.8916666666,4651.2,625621.2751082252,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
2,CI,ci,5.385796324873669,,17174547.049238913,17174547.04923892,17174547.049238913,-4.338152601965709e-16,False,0.3254408836364746,101,0,101,34,3590680.625,0.0,630228.3703463203,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
2,Co-Optimized,co_optimized,,,699168.9542560873,699168.9542560873,699168.9542560873,0.0,False,0.09599804878234863,99,6,93,30,3641509.991666667,10370.168333333333,619950.5214285714,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
2,Planning-only,planning_only,,,0.0,0.0,0.0,7.872359768069473e-05,False,0.05510997772216797,240,240,0,0,3548760.5062499987,629972.6677218614,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.95,1.0
