exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,7.000959957813027,129.22403447863832,6519246.65517257,5949275.581517833,6519246.65517257,0.08742897819374634,True,120.01696991920471,132,8,0,31,1871871.3321428574,250379.55,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
0,Group Conformal (fixed),group_conformal_fixed,11.582532108424253,186.30260327343814,8769765.607893502,7924844.603119391,8769765.607893502,0.09634476479207309,True,120.03799104690552,135,5,0,47,1992777.3038095236,86219.64,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
0,Group Conformal (oracle),group_conformal_oracle,17.38789259983454,260.80987143168556,12327890.14956664,10438098.98604589,12327890.14956664,0.15329396519542976,True,120.02696299552917,128,11,0,22,2185415.7204761906,307896.24,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
0,Bonferroni,bonferroni,18.72918733624749,,47790824.34001104,47790824.34001101,47790824.34001104,6.235992536070247e-16,False,0.9847421646118164,175,175,0,0,3020542.441309524,630314.4075000001,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
0,MaxRank,maxrank,7.737286039981393,,22224603.19948475,22224603.19948472,22224603.19948475,1.340960831570043e-15,False,0.37590599060058594,126,125,1,1,2775128.703809523,628092.8121428571,2231.6666666666665,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
0,CI,ci,8.375408644249248,,23783429.450010914,23783429.45001093,23783429.450010914,-6.265354298532762e-16,False,0.3845682144165039,135,133,2,1,2816514.596309524,629275.6928571429,1036.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
0,Co-Optimized,co_optimized,,,840509.607951952,840509.607951952,840509.607951952,0.0,False,0.07645726203918457,120,120,0,0,2442457.122500001,630322.9650974025,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,8.969286836151656e-05,False,0.04355669021606445,240,240,0,2,2530829.094761906,628857.7865259739,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
1,Group Conformal (random),group_conformal_random,6.284384066054324,118.50444370254877,5688426.34255196,5379011.224412356,5688426.34255196,0.05439379883062586,True,120.00778412818909,139,6,0,22,562357.8452380953,248558.4,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
1,Group Conformal (fixed),group_conformal_fixed,9.888902592911638,163.39867871096567,7586726.793110181,6865081.110533376,7586726.793110181,0.09511950308163998,True,120.0238790512085,130,5,0,23,636508.8452380953,69521.7,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
1,Group Conformal (oracle),group_conformal_oracle,15.47396121655707,234.91277608573245,10549830.848505223,9648284.464690546,10549830.848505223,0.08545600368013628,True,120.00985479354858,126,6,0,30,579002.7119047618,222134.22,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
1,Bonferroni,bonferroni,15.024092550815316,,45100516.6131953,45100516.61319523,45100516.6131953,1.4867950615158973e-15,False,0.9258041381835938,119,116,3,3,619029.4919047619,613130.5554545454,17189.714285714286,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
1,MaxRank,maxrank,7.624647701232432,,20822169.09436733,20822169.09436731,20822169.09436733,8.945490456778718e-16,False,0.34992408752441406,108,91,17,23,544119.706904762,499664.9528571429,130658.35,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
1,CI,ci,7.270074907688145,,21824990.41859941,21824990.418599404,21824990.41859941,3.4137841318704044e-16,False,0.32012391090393066,115,110,5,5,569274.3769047619,601542.9750000001,28644.714285714286,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
1,Co-Optimized,co_optimized,,,804184.8267543691,804184.8267543691,804184.8267543691,0.0,False,0.07681894302368164,113,113,0,0,790435.285,630235.3104545453,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
1,Planning-only,planning_only,,,0.0,0.0,0.0,8.574049298685513e-05,False,0.04530692100524902,240,240,0,2,612949.1939285714,628968.006525974,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.95,0.9,1.0
