unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,3.921141325222513,0.0,3.921141325222513,0.1635752966400417,6257.0,2
ALHAMBRA 1105,0,0,0,4.354064287663125,0.0,4.354064287663125,0.2095731175025462,2740.5,3
ALLEGHANY 1101,1,0,1,14.469355387345225,0.0,14.469355387345225,0.2984041185403162,1618.0,1
ALLEGHANY 1102,1,0,1,13.658649224663217,0.0,13.658649224663217,0.2867039831017419,1068.5,2
ALTO 1120,0,0,0,3.129639272482594,0.0,3.129639272482594,0.1340192451613258,15676.0,2
ALTO 1122,0,0,0,2.841267308262257,0.0,2.841267308262257,0.1340192451613259,2899.5,2
ALTO 1123,0,0,0,3.5874650554352545,0.0,3.5874650554352545,0.1340192451613259,2795.0,0
ALTO 1124,0,0,0,3.691581431398432,0.0,3.691581431398432,0.1373643997419741,10515.0,2
ALTO 1125,0,0,0,3.6902556671098905,0.0,3.6902556671098905,0.1373643997419741,5408.5,4
ANDERSON 1101,0,0,0,8.55396431608974,0.0,8.55396431608974,0.3491185739346266,5357.0,2
ANDERSON 1103,0,0,0,9.425332890562428,0.0,9.425332890562428,0.3491185739346266,1315.5,2
ANITA 1106,0,0,0,9.42066339605231,0.0,9.42066339605231,0.3491536536908292,767.875,0
ANNAPOLIS 1101,0,0,0,6.492866004573182,0.0,6.492866004573182,0.2902905430808851,727.0,2
ANTELOPE 1101,1,0,1,12.26647274756489,0.0,12.26647274756489,0.4436056904362941,164.77272727272728,2
ANTLER 1101,0,0,0,8.168204143413051,0.0,8.168204143413051,0.363879554161481,4890.0,3
APPLE HILL 1103,1,0,1,14.707779074727233,0.0,14.707779074727233,0.2776504501404829,4209.5,2
APPLE HILL 1104,1,0,1,14.409676033925674,0.0,14.409676033925674,0.2776504501404829,1701.5,1
APPLE HILL 2102,1,0,1,14.659702327665585,0.0,14.659702327665585,0.2888917678832438,2137.0,2
ARCATA 1121,0,0,0,8.442554143049815,0.0,8.442554143049815,0.3752722082662825,5859.5,1
ARCATA 1122,0,0,0,11.68754210801782,0.0,11.68754210801782,0.3752722082662825,2574.5,4
ARLINGTON 0401,0,0,0,4.721947656507303,0.0,4.721947656507303,0.1496956108818659,5336.0,1
ARVIN 1101,1,1,0,11.917270817059444,0.0,11.917270817059444,0.3663343729028423,500.42857142857144,1
ATASCADERO 1101,0,0,0,5.902724153445146,0.0,5.902724153445146,0.2432701861441749,11520.0,1
ATASCADERO 1102,0,0,0,7.457964738192249,0.0,7.457964738192249,0.2205447526091054,6462.0,1
ATASCADERO 1103,0,0,0,5.887227864886021,0.0,5.887227864886021,0.2382183044421203,6120.0,4
AUBERRY 1101,0,0,0,8.252509201223358,0.0,8.252509201223358,0.2810984389086185,1059.5,3
AUBERRY 1102,0,0,0,7.029062298582882,0.0,7.029062298582882,0.2582508961592173,1059.5,1
AUBURN 1101,1,0,1,14.580138239595962,0.0,14.580138239595962,0.2817032805625278,4632.0,4
AUBURN 1102,1,0,1,14.705981337436944,0.0,14.705981337436944,0.2817032805625278,1546.3333333333333,3
BALCH NO 1 1101,0,0,0,8.04102226489223,0.0,8.04102226489223,0.251780587112129,580.0,2
BANCROFT 0401,0,0,0,4.064108608352256,0.0,4.064108608352256,0.1668966065400982,10746.0,0
BANCROFT 0402,0,0,0,3.543075710815017,0.0,3.543075710815017,0.1668966065400982,4121.0,0
BANGOR 1101,1,0,1,13.870649113216984,0.0,13.870649113216984,0.2930695656602289,1062.3333333333333,4
BASALT 1106,0,0,0,4.1712594543291805,0.0,4.1712594543291805,0.180120273870399,905.5,4
BAY MEADOWS 1105,0,0,0,4.835587670127575,0.0,4.835587670127575,0.1777203718296654,2459.5,0
BAY MEADOWS 2102,0,0,0,5.1123849620487345,0.0,5.1123849620487345,0.1777203718296654,1854.3333333333333,0
BAYWOOD 1101,0,0,0,6.979648895736819,0.0,6.979648895736819,0.2299406326958248,1230.0,2
BEAR VALLEY 2101,0,0,0,11.943098462090532,0.0,11.943098462090532,0.2729774554854866,5038.5,4
BEAR VALLEY 2105,1,0,1,12.750447783104224,0.0,12.750447783104224,0.2416985108781029,1603.0,4
BELL 1107,1,0,1,14.784358157972878,0.0,14.784358157972878,0.2943202708546338,8348.0,4
BELL 1108,1,0,1,15.314489342816229,0.0,15.314489342816229,0.2770129026239901,4663.0,3
