unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.0,0.0,13.686215111133809,0.1635752966400417,6257.0,1
ALHAMBRA 1105,0,0,0,0.0,0.0,15.515879739816883,0.2095731175025462,2740.5,1
ALLEGHANY 1101,0,0,0,0.0,0.0,18.562788085163263,0.2984041185403162,1618.0,4
ALLEGHANY 1102,0,0,0,0.0,0.0,18.189443197006263,0.2867039831017419,1068.5,4
ALTO 1120,1,0,0,12.374154192249213,0.0,12.374154192249213,0.1340192451613258,15676.0,1
ALTO 1122,0,0,0,0.0,0.0,12.374154192249216,0.1340192451613259,2899.5,1
ALTO 1123,0,0,0,0.0,0.0,12.374154192249216,0.1340192451613259,2795.0,1
ALTO 1124,1,0,0,0.0,0.0,12.52931628518694,0.1373643997419741,10515.0,1
ALTO 1125,0,0,0,0.0,0.0,12.52931628518694,0.1373643997419741,5408.5,1
ANDERSON 1101,0,0,0,20.104667416412163,0.0,20.104667416412163,0.3491185739346266,5357.0,2
ANDERSON 1103,0,0,0,0.0,0.0,20.104667416412163,0.3491185739346266,1315.5,2
ANITA 1106,0,0,0,0.0,0.0,20.105694999118427,0.3491536536908292,767.875,2
ANNAPOLIS 1101,0,0,0,0.0,0.0,18.304660026528303,0.2902905430808851,727.0,1
ANTELOPE 1101,0,0,0,0.0,0.0,22.712629335903316,0.4436056904362941,164.77272727272728,0
ANTLER 1101,1,0,0,0.0,0.0,20.532744093433315,0.363879554161481,4890.0,2
APPLE HILL 1103,0,0,0,0.0,0.0,17.89545603254699,0.2776504501404829,4209.5,4
APPLE HILL 1104,0,0,0,0.0,0.0,17.89545603254699,0.2776504501404829,1701.5,4
APPLE HILL 2102,0,0,0,0.0,0.0,18.259807405493422,0.2888917678832438,2137.0,4
ARCATA 1121,1,0,0,0.0,0.0,20.857435471178803,0.3752722082662825,5859.5,2
ARCATA 1122,0,0,0,0.0,0.0,20.857435471178803,0.3752722082662825,2574.5,2
ARLINGTON 0401,0,0,0,0.0,0.0,13.085908545655473,0.1496956108818659,5336.0,1
ARVIN 1101,0,0,0,0.0,0.0,20.603116556171223,0.3663343729028423,500.42857142857144,0
ATASCADERO 1101,1,0,1,16.73427300351165,0.0,16.73427300351165,0.2432701861441749,11520.0,0
ATASCADERO 1102,0,0,0,0.0,0.0,15.922400627744516,0.2205447526091054,6462.0,0
ATASCADERO 1103,0,0,0,0.0,0.0,16.55709221205981,0.2382183044421203,6120.0,0
AUBERRY 1101,0,0,0,0.0,0.0,18.00795942701386,0.2810984389086185,1059.5,0
AUBERRY 1102,0,0,0,0.0,0.0,17.249430898819433,0.2582508961592173,1059.5,0
AUBURN 1101,0,0,0,0.0,0.0,18.027625531574355,0.2817032805625278,4632.0,4
AUBURN 1102,0,0,0,0.0,0.0,18.027625531574355,0.2817032805625278,1546.3333333333333,4
BALCH NO 1 1101,0,0,0,0.0,0.0,17.028758899362693,0.251780587112129,580.0,0
BANCROFT 0401,0,0,0,0.0,0.0,13.826131557734,0.1668966065400982,10746.0,1
BANCROFT 0402,0,0,0,0.0,0.0,13.826131557734,0.1668966065400982,4121.0,1
BANGOR 1101,0,0,0,0.0,0.0,18.393461649692977,0.2930695656602289,1062.3333333333333,4
BASALT 1106,0,0,0,0.0,0.0,14.370170134468308,0.180120273870399,905.5,1
BAY MEADOWS 1105,0,0,0,0.0,0.0,14.272919924151978,0.1777203718296654,2459.5,1
BAY MEADOWS 2102,0,0,0,0.0,0.0,14.272919924151978,0.1777203718296654,1854.3333333333333,1
BAYWOOD 1101,0,0,0,0.0,0.0,16.262781541688234,0.2299406326958248,1230.0,0
BEAR VALLEY 2101,0,0,0,0.0,0.0,17.741895718826306,0.2729774554854866,5038.5,4
BEAR VALLEY 2105,0,0,0,0.0,0.0,16.679343989641286,0.2416985108781029,1603.0,4
