exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,7.000959957813027,129.22403447863832,5995145.543614448,6017190.3686903715,5995145.543614448,-0.003677112576425081,False,21.713977098464966,153,0,34,54,1787590.6904761905,0.0,630280.6000000001,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.9,0.9,1.0
0,Group Conformal (fixed),group_conformal_fixed,11.582532108424253,186.30260327343814,8116687.246490448,8121493.779158538,8116687.246490448,-0.0005921791147205665,False,16.831645011901855,130,1,36,51,1968036.623809524,6594.75,623697.8333333334,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.9,0.9,1.0
0,Group Conformal (oracle),group_conformal_oracle,17.38789259983454,260.80987143168556,11046986.975062337,11069616.474486029,11046986.975062337,-0.0020484770620963193,False,41.84782695770264,123,1,25,32,2088783.023809524,172251.0,457420.4666666667,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.9,0.9,1.0
0,Bonferroni,bonferroni,18.72918733624749,,48719880.90013521,48719880.90013518,48719880.90013521,6.117076199094855e-16,False,0.32450413703918457,154,1,153,22,3021257.9404761908,509.94000000000005,629802.2,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.9,0.9,1.0
0,MaxRank,maxrank,7.737286039981393,,22582661.852373615,22582661.852373622,22582661.852373615,-3.29924817792935e-16,False,0.33333706855773926,106,7,99,19,2765395.6904761908,187421.55,442904.21904761903,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.9,0.9,1.0
0,CI,ci,8.375408644249248,,24225059.827424042,24225059.82742404,24225059.827424042,1.5377837351075143e-16,False,0.334104061126709,165,14,151,28,2983649.340476191,59467.29,570852.7619047619,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.9,0.9,1.0
0,Co-Optimized,co_optimized,,,850779.3050626363,850779.3050626363,850779.3050626363,0.0,False,0.07792901992797852,110,2,108,44,2409534.2452380955,4653.719999999999,625571.5417748919,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.9,0.9,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,8.969286836151656e-05,False,0.045325279235839844,240,240,0,2,2560106.7228571433,628857.7865259739,0.0,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.9,0.9,1.0
1,Group Conformal (random),group_conformal_random,6.284384066054324,118.50444370254877,5478183.874483718,5519596.004273029,5478183.874483718,-0.007559463270701963,False,30.94651699066162,171,0,25,48,501250.99761904764,0.0,630071.6,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.9,0.9,1.0
1,Group Conformal (fixed),group_conformal_fixed,9.888902592911638,163.39867871096567,7087093.590530973,7138719.646185684,7087093.590530973,-0.007284517270053888,False,53.27277493476868,136,1,27,23,640683.1785714286,28056.600000000002,602244.7333333334,321.20000000000005,240.89999999999998,630327.9860876623,0.4,0.3,0.15,0.9,0.9,1.0
