exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,7.000959957813027,129.22403447863832,4231981.694317801,4289678.409198257,4231981.694317801,-0.013633498216196083,False,18.26473379135132,183,1,43,79,1546624.223809524,8770.4,831647.8,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
0,Group Conformal (fixed),group_conformal_fixed,11.582532108424253,186.30260327343814,5438286.980265059,5438286.980265057,5438286.980265059,3.4250585818480894e-16,False,51.08243179321289,192,0,57,77,1571078.6904761905,0.0,840402.5,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
0,Group Conformal (oracle),group_conformal_oracle,17.38789259983454,260.80987143168556,6978459.874472104,7132031.671940929,6978459.874472104,-0.02200654588996149,False,28.458558082580566,188,3,42,58,1708458.2988095237,206445.925,633774.4166666666,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
0,Bonferroni,bonferroni,18.72918733624749,,42289537.36182279,42289537.36182282,42289537.36182279,-7.04720936829155e-16,False,0.3373100757598877,199,7,192,27,2994264.3404761907,9841.778333333332,830573.175,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
0,MaxRank,maxrank,7.737286039981393,,20138974.887392618,20138974.887392625,20138974.887392618,-3.6995828430115543e-16,False,0.317918062210083,162,2,160,34,2639881.673809524,7558.358333333334,832872.7751082252,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
0,CI,ci,8.375408644249248,,21446984.64435128,21446984.64435127,21446984.64435128,5.210928753254481e-16,False,0.32335782051086426,171,5,166,29,2792259.34047619,12421.503333333332,827993.467965368,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
0,Co-Optimized,co_optimized,,,777517.0948458635,777517.0948458635,777517.0948458635,0.0,False,0.0925908088684082,151,7,144,49,2349871.578571428,11937.668333333333,828467.5310606061,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,7.024364887018547e-05,False,0.049588918685913086,240,240,0,4,2346059.91952381,835176.1193885282,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
1,Group Conformal (random),group_conformal_random,6.284384066054324,118.50444370254877,3944704.221798783,4005988.8319864143,3944704.221798783,-0.015535920246939413,False,20.678656101226807,188,2,43,29,509675.5452380953,194337.225,646080.4333333333,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
1,Group Conformal (fixed),group_conformal_fixed,9.888902592911638,163.39867871096567,4580091.929856046,4641131.952974063,4580091.929856046,-0.013327248459822017,False,32.75362992286682,185,1,44,34,487431.67857142864,7652.25,832646.4666666668,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
1,Group Conformal (oracle),group_conformal_oracle,15.47396121655707,234.91277608573245,5812330.964015985,6046415.019348817,5812330.964015985,-0.04027369686654827,False,48.09590792655945,240,0,40,75,352207.65000000014,0.0,840391.6000000001,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
1,Bonferroni,bonferroni,15.024092550815316,,40871451.096220374,40871451.09622039,40871451.096220374,-3.6458605687297592e-16,False,0.3649630546569824,145,1,144,52,574236.0785714287,1598.1374999999998,838794.6976190477,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.95,1.0
