exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,7.000959957813027,129.22403447863832,4455590.345892398,4182903.3849190674,4455590.345892398,0.06120108443648102,True,386.14348697662354,166,5,0,51,1636319.6654761906,255896.55,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,Group Conformal (fixed),group_conformal_fixed,11.582532108424253,186.30260327343814,6164134.168698503,4994985.872053528,6164134.168698503,0.18966950826312542,True,228.15621995925903,240,13,0,86,1747043.5466666666,148241.49,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,Group Conformal (oracle),group_conformal_oracle,17.38789259983454,260.80987143168556,7219781.225354899,6300705.739478322,7219781.225354899,0.12729963099836153,True,120.03034806251526,217,5,0,63,1755118.1904761908,224164.2,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,Bonferroni,bonferroni,18.72918733624749,,41260258.1008547,41260258.10085465,41260258.1008547,1.264026610085273e-15,False,0.29633188247680664,216,216,0,0,2979673.9796428573,840431.9903571429,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,MaxRank,maxrank,7.737286039981393,,19772903.94984361,19772903.949843597,19772903.94984361,7.536152115868399e-16,False,0.3177378177642822,186,180,6,6,2600299.5133333337,827917.0575974025,12479.480952380953,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,CI,ci,8.375408644249248,,20963362.998114273,20963362.998114273,20963362.998114273,0.0,False,0.3174736499786377,192,191,1,0,2804898.0463095238,839989.0842857142,443.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,Co-Optimized,co_optimized,,,764349.823207865,764349.823207865,764349.823207865,0.0,False,0.0865321159362793,163,160,3,2,2273316.5010714293,838966.7024999999,1466.2727272727273,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,2.8441855613906007e-05,False,0.04604697227478027,240,240,0,2,2346674.71952381,838370.4815259739,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
1,Group Conformal (random),group_conformal_random,6.284384066054324,118.50444370254877,5116971.604686274,3838378.5573016107,5116971.604686274,0.24987300031403148,True,120.01253914833069,159,22,0,24,540482.9452380952,513387.45,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
1,Group Conformal (fixed),group_conformal_fixed,9.888902592911638,163.39867871096567,5214862.022128027,4460148.434922149,5214862.022128027,0.14472359652152442,True,120.0106041431427,171,9,0,32,502777.1785714286,191789.64,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
1,Group Conformal (oracle),group_conformal_oracle,15.47396121655707,234.91277608573245,5911199.72018275,5938951.278654175,5911199.72018275,-0.004694742147972382,False,96.20231890678406,178,3,45,42,433134.71190476196,232049.7,608357.7333333334,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
1,Bonferroni,bonferroni,15.024092550815316,,40274360.18646269,40274360.18646266,40274360.18646269,7.399825161645319e-16,False,0.33806800842285156,157,152,5,4,558761.6094047618,813204.75,27229.114285714284,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
1,MaxRank,maxrank,7.624647701232432,,18856017.556248024,18856017.556248005,18856017.556248024,9.878253155389969e-16,False,0.3370780944824219,166,106,60,58,480975.4559523811,480605.5285714286,359794.99761904764,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
1,CI,ci,7.270074907688145,,19833050.56663142,19833050.56663142,19833050.56663142,0.0,False,0.34787917137145996,163,134,29,36,473919.065238095,659459.5704545456,180969.2142857143,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
1,Co-Optimized,co_optimized,,,730512.7663647889,730512.7663647889,730512.7663647889,0.0,False,0.08914589881896973,165,165,0,0,585971.4105952381,840433.8086688311,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.95,0.9,1.0
