exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,7.000959957813027,129.22403447863832,4190943.9327105284,4286811.699556929,4190943.9327105284,-0.022874981957679733,False,13.504442930221558,178,0,62,78,1503391.723809524,0.0,840326.8999999999,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
0,Group Conformal (fixed),group_conformal_fixed,11.582532108424253,186.30260327343814,5052449.133452283,5291913.453805595,5052449.133452283,-0.04739569148115067,False,23.70193099975586,173,0,47,73,1671319.6904761905,0.0,840189.9666666667,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
0,Group Conformal (oracle),group_conformal_oracle,17.38789259983454,260.80987143168556,6695142.934014622,6633432.990358591,6695142.934014622,0.00921712116742335,True,542.7310662269592,240,0,0,85,1563174.223809524,0.0,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
0,Bonferroni,bonferroni,18.72918733624749,,42288511.3930986,42288511.39309866,42288511.3930986,-1.4094760683658868e-15,False,0.330554723739624,199,0,199,27,2994264.3404761907,0.0,840407.7749999999,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
0,MaxRank,maxrank,7.737286039981393,,20139264.036316447,20139264.036316346,20139264.036316447,4.9943651305774675e-15,False,0.312528133392334,161,0,161,35,2638992.2452380955,0.0,840428.7166666667,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
0,CI,ci,8.375408644249248,,21446234.912915267,21446234.912915267,21446234.912915267,0.0,False,0.31906771659851074,175,0,175,29,2792259.3404761907,0.0,840360.2285714287,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
0,Co-Optimized,co_optimized,,,777526.1054673253,777526.1054673253,777526.1054673253,0.0,False,0.08713221549987793,151,1,150,51,2347507.8285714285,624.15,839805.7477272728,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,7.024364887018547e-05,False,0.044507741928100586,240,240,0,2,2384143.0557142855,835176.1193885282,0.0,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
1,Group Conformal (random),group_conformal_random,6.284384066054324,118.50444370254877,3848353.4790935004,3884166.4464023975,3848353.4790935004,-0.009306049328226727,False,17.985071182250977,169,0,42,26,552612.0452380953,0.0,840316.7666666666,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
1,Group Conformal (fixed),group_conformal_fixed,9.888902592911638,163.39867871096567,4498950.961327919,4555932.12204486,4498950.961327919,-0.01266543272125885,False,21.116286039352417,152,0,47,27,572136.6785714286,0.0,840168.6000000001,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
1,Group Conformal (oracle),group_conformal_oracle,15.47396121655707,234.91277608573245,5890568.640299294,5913591.369693148,5890568.640299294,-0.003908405249087131,False,33.606719970703125,239,0,40,75,327917.9285714285,0.0,840266.3,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
1,Bonferroni,bonferroni,15.024092550815316,,40873711.42562496,40873711.425624974,40873711.42562496,-3.6456589514662156e-16,False,0.3256502151489258,145,0,145,52,574236.0785714285,0.0,840318.9476190477,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
1,MaxRank,maxrank,7.624647701232432,,18978552.442047972,18978552.442047987,18978552.442047972,-7.851579428594015e-16,False,0.8757331371307373,155,0,155,59,493701.9309523811,0.0,840402.9738095237,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
1,CI,ci,7.270074907688145,,20016340.997227646,20016340.99722767,20016340.997227646,-1.1166747106210522e-15,False,0.3570988178253174,143,1,142,59,469625.47857142857,411.98333333333335,839998.2142857143,321.20000000000005,240.89999999999998,840437.3147835498,0.4,0.3,0.2,0.9,0.95,1.0
