unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.0,0.0,9.10075578318899,0.1635752966400417,6257.0,2
ALHAMBRA 1105,0,0,0,0.0,0.0,10.32558794468618,0.2095731175025462,2740.5,2
ALLEGHANY 1101,0,0,0,0.0,0.0,12.369427101078498,0.2984041185403162,1618.0,1
ALLEGHANY 1102,0,0,0,0.0,0.0,12.11871413446226,0.2867039831017419,1068.5,1
ALTO 1120,1,0,0,8.223585831456955,0.0,8.223585831456955,0.1340192451613258,15676.0,0
ALTO 1122,0,0,0,0.0,0.0,8.223585831456958,0.1340192451613259,2899.5,0
ALTO 1123,0,0,0,0.0,0.0,8.223585831456958,0.1340192451613259,2795.0,0
ALTO 1124,1,0,0,8.327267562151851,0.0,8.327267562151851,0.1373643997419741,10515.0,0
ALTO 1125,0,0,0,0.0,0.0,8.327267562151851,0.1373643997419741,5408.5,0
ANDERSON 1101,0,0,0,0.0,0.0,13.405659903003857,0.3491185739346266,5357.0,1
ANDERSON 1103,0,0,0,0.0,0.0,13.405659903003857,0.3491185739346266,1315.5,1
ANITA 1106,0,0,0,0.0,0.0,13.406350932938407,0.3491536536908292,767.875,1
ANNAPOLIS 1101,0,0,0,0.0,0.0,12.19607769954936,0.2902905430808851,727.0,0
ANTELOPE 1101,0,0,0,0.0,0.0,15.161315125057929,0.4436056904362941,164.77272727272728,4
ANTLER 1101,0,0,0,0.0,0.0,13.693583300543285,0.363879554161481,4890.0,1
APPLE HILL 1103,0,0,0,0.0,0.0,11.921346535141248,0.2776504501404829,4209.5,1
APPLE HILL 1104,0,0,0,0.0,0.0,11.921346535141248,0.2776504501404829,1701.5,1
APPLE HILL 2102,0,0,0,0.0,0.0,12.165960059661868,0.2888917678832438,2137.0,1
ARCATA 1121,0,0,0,0.0,0.0,13.91203665269176,0.3752722082662825,5859.5,0
ARCATA 1122,0,0,0,0.0,0.0,13.91203665269176,0.3752722082662825,2574.5,0
ARLINGTON 0401,0,0,0,0.0,0.0,8.699303630950903,0.1496956108818659,5336.0,2
ARVIN 1101,0,0,0,0.0,0.0,13.740925230894891,0.3663343729028423,500.42857142857144,4
ATASCADERO 1101,1,0,1,10.064296123708347,0.0,11.142256671388935,0.2432701861441749,11520.0,3
ATASCADERO 1102,0,0,0,0.0,0.0,10.597980065162208,0.2205447526091054,6462.0,3
ATASCADERO 1103,0,0,0,0.0,0.0,11.02344392978896,0.2382183044421203,6120.0,3
AUBERRY 1101,0,0,0,0.0,0.0,11.996869788586537,0.2810984389086185,1059.5,4
AUBERRY 1102,0,0,0,0.0,0.0,11.487806992185456,0.2582508961592173,1059.5,4
AUBURN 1101,0,0,0,0.0,0.0,12.010072314511762,0.2817032805625278,4632.0,1
AUBURN 1102,0,0,0,0.0,0.0,12.010072314511762,0.2817032805625278,1546.3333333333333,1
BALCH NO 1 1101,0,0,0,0.0,0.0,11.3397697114541,0.251780587112129,580.0,4
BANCROFT 0401,1,0,1,9.19435350413162,0.0,9.19435350413162,0.1668966065400982,10746.0,2
BANCROFT 0402,0,0,0,0.0,0.0,9.19435350413162,0.1668966065400982,4121.0,2
BANGOR 1101,0,0,0,0.0,0.0,12.255709490367742,0.2930695656602289,1062.3333333333333,1
BASALT 1106,0,0,0,0.0,0.0,9.558395407795487,0.180120273870399,905.5,0
BAY MEADOWS 1105,0,0,0,0.0,0.0,9.493308461221094,0.1777203718296654,2459.5,2
BAY MEADOWS 2102,0,0,0,0.0,0.0,9.493308461221094,0.1777203718296654,1854.3333333333333,2
BAYWOOD 1101,0,0,0,0.0,0.0,10.826125614433789,0.2299406326958248,1230.0,3
BEAR VALLEY 2101,1,0,0,0.0,0.0,11.818273164457436,0.2729774554854866,5038.5,4
BEAR VALLEY 2105,0,0,0,0.0,0.0,11.10542086338472,0.2416985108781029,1603.0,4
BELL 1107,1,0,1,12.28245893190184,0.0,12.28245893190184,0.2943202708546338,8348.0,1
BELL 1108,0,0,0,0.0,0.0,11.907333039792285,0.2770129026239901,4663.0,1
BELL 1109,0,0,0,0.0,0.0,12.010072314511762,0.2817032805625278,3026.0,1
BELL 1110,0,0,0,0.0,0.0,12.010072314511762,0.2817032805625278,2955.5,1
BELLEVUE 1102,0,0,0,0.0,0.0,9.97614882112696,0.1958922070110017,3311.0,0
BELLEVUE 2101,0,0,0,0.0,0.0,10.795881608048088,0.2286842710575535,725.5,0
BELMONT 1103,0,0,0,0.0,0.0,10.962322488686135,0.2356392185843656,8404.0,2
BELMONT 1110,0,0,0,0.0,0.0,9.413153847244793,0.1747862005450409,2556.6666666666665,2
