exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,7.000959957813027,129.22403447863832,6004931.718986878,6024176.876754601,6004931.718986878,-0.003204892023479882,False,10.897891998291016,134,0,26,52,1897268.1904761908,0.0,630309.3333333334,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
0,Group Conformal (fixed),group_conformal_fixed,11.582532108424253,186.30260327343814,8124381.164886586,8148301.93010548,8124381.164886586,-0.0029443184328031124,False,14.461294651031494,132,0,39,51,1940672.023809524,0.0,630219.6000000001,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
0,Group Conformal (oracle),group_conformal_oracle,17.38789259983454,260.80987143168556,11141415.93026022,11286793.984796058,11141415.93026022,-0.01304843616339547,False,68.43390393257141,131,1,38,45,2086118.523809524,7304.549999999999,622917.6333333333,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
0,Bonferroni,bonferroni,18.72918733624749,,48717093.2775218,48717093.27752177,48717093.2775218,6.117426222029176e-16,False,0.3455350399017334,156,1,155,23,3019253.4404761908,1904.2749999999999,628421.7,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
0,MaxRank,maxrank,7.737286039981393,,22585574.138617646,22585574.13861765,22585574.138617646,-1.6494113789617045e-16,False,0.3646869659423828,105,1,104,19,2765395.6904761908,181820.5,448476.4917748918,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
0,CI,ci,8.375408644249248,,24224125.67683297,24224125.67683297,24224125.67683297,0.0,False,0.3741953372955322,174,0,174,28,2983649.3404761907,0.0,630294.0012987014,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
0,Co-Optimized,co_optimized,,,850750.3485012122,850750.3485012122,850750.3485012122,0.0,False,0.10380315780639648,110,7,103,44,2409534.2452380955,8060.718333333333,622257.3751082252,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,6.891015997013828e-05,False,0.046293020248413086,240,240,0,2,2616023.7733333344,629332.2885551949,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
1,Group Conformal (random),group_conformal_random,6.284384066054324,118.50444370254877,5532402.977885967,5550547.126945086,5532402.977885967,-0.0032796145059649858,False,28.63423800468445,168,1,23,26,531335.8452380953,9043.05,620961.2666666666,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
1,Group Conformal (fixed),group_conformal_fixed,9.888902592911638,163.39867871096567,7075418.391934775,7120041.739110637,7075418.391934775,-0.006306813916012163,False,21.069658041000366,114,0,38,25,632575.7619047619,0.0,629763.4333333333,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
1,Group Conformal (oracle),group_conformal_oracle,15.47396121655707,234.91277608573245,9880637.338263746,10042383.517894095,9880637.338263746,-0.01637001481715864,False,36.76115584373474,133,0,28,36,595864.3785714286,0.0,630228.3333333334,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
1,Bonferroni,bonferroni,15.024092550815316,,45637434.822915696,45637434.822915696,45637434.822915696,0.0,False,0.3473541736602783,110,2,108,43,631056.0785714287,5471.2875,624740.6976190476,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
1,MaxRank,maxrank,7.624647701232432,,20972811.99911096,20972811.99911097,20972811.99911096,-5.328742228681346e-16,False,0.33983635902404785,103,4,99,46,560483.5785714285,27258.35,603052.780952381,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
1,CI,ci,7.270074907688145,,22014863.581989773,22014863.581989735,22014863.581989773,1.6921705122486207e-15,False,0.3201770782470703,103,2,101,48,571004.9785714287,8878.699999999999,621446.0476190476,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
1,Co-Optimized,co_optimized,,,814739.6759333523,814739.6759333523,814739.6759333523,0.0,False,0.1084449291229248,95,3,92,38,831759.6976190475,12116.707142857142,618206.1214285715,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
1,Planning-only,planning_only,,,0.0,0.0,0.0,6.603360210834223e-06,False,0.13178610801696777,240,240,0,0,685415.4947619048,630295.5093885281,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
2,Group Conformal (random),group_conformal_random,4.756829683223477,94.96430469452746,4299399.302895237,4375716.49582746,4299399.302895237,-0.017750664117387422,False,17.45661211013794,160,0,43,59,2187293.558333333,0.0,630230.7666666666,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
2,Group Conformal (fixed),group_conformal_fixed,7.77450242385082,132.53504031099766,5638397.976968341,5639356.157720955,5638397.976968341,-0.00016993847481651316,False,22.243216037750244,216,0,30,66,2482915.558333333,0.0,630249.5666666667,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
2,Group Conformal (oracle),group_conformal_oracle,11.072332277864962,175.56570511736388,7334524.4251728915,7347959.596342052,7334524.4251728915,-0.0018317712765465591,False,37.99401593208313,146,1,27,50,2585405.375,10462.35,619782.2333333334,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
2,Bonferroni,bonferroni,11.222856151300837,,35739272.23687609,35739272.23687596,35739272.23687609,3.752467309791848e-15,False,0.3648550510406494,103,2,101,46,3471600.216666667,516.584090909091,629808.8916666667,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
2,MaxRank,maxrank,5.385721419990828,,16656819.723361831,16656819.723361835,16656819.723361831,-2.2364955377628606e-16,False,0.3265511989593506,91,1,90,22,3669396.8916666666,4651.2,625621.2751082252,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
2,CI,ci,5.385796324873669,,17174295.10717491,17174295.10717492,17174295.10717491,-6.507324362160747e-16,False,0.3359830379486084,101,1,100,35,3589912.7500000005,729.4812499999999,629548.2036796538,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
2,Co-Optimized,co_optimized,,,699168.9542560873,699168.9542560873,699168.9542560873,0.0,False,0.09311509132385254,99,6,93,30,3641509.991666667,10370.168333333333,619950.5214285714,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
2,Planning-only,planning_only,,,0.0,0.0,0.0,4.381182693174995e-05,False,0.052494049072265625,240,240,0,1,3548673.751249999,629761.2927218614,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
3,Group Conformal (random),group_conformal_random,5.7489389461029425,108.87826373335558,4964885.202844491,5050909.964497992,4964885.202844491,-0.017326636596595453,False,48.10794997215271,147,0,41,21,1138061.9261904769,0.0,630045.1,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
3,Group Conformal (fixed),group_conformal_fixed,9.579775035497532,156.73988282785248,6791118.011649387,6795900.106874663,6791118.011649387,-0.0007041690656933493,False,80.28793096542358,147,1,28,44,794399.0928571435,181820.5,448434.5666666667,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
3,Group Conformal (oracle),group_conformal_oracle,14.344607734643112,218.73247751354248,9114734.407305295,9191503.635184493,9114734.407305295,-0.008422541398207842,False,57.180002212524414,138,0,26,40,904412.9261904769,0.0,629917.1000000001,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
3,Bonferroni,bonferroni,15.016446780467279,,45263400.52925643,45263400.52925644,45263400.52925643,-1.6460496802727125e-16,False,0.338702917098999,128,3,125,41,1544726.2428571437,3171.258333333333,627075.6976190477,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
3,MaxRank,maxrank,5.677349368221525,,18016243.1163271,18016243.11632701,18016243.1163271,4.962575526196217e-15,False,0.33333778381347656,84,0,84,12,1722886.2928571433,0.0,630195.4084415585,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
3,CI,ci,6.751019460276291,,21306662.041046772,21306662.04104673,21306662.041046772,1.923257298779957e-15,False,0.3169231414794922,81,1,80,12,1737614.45952381,912.0,629302.6547619049,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
3,Co-Optimized,co_optimized,,,724909.1638728741,724909.1638728741,724909.1638728741,0.0,False,0.08984613418579102,101,8,93,20,1697903.8261904768,6826.703392857142,623498.8274891775,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
3,Planning-only,planning_only,,,0.0,0.0,0.0,6.620818932827387e-05,False,0.051901817321777344,240,240,0,0,1525597.4963095242,630219.1927218614,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
4,Group Conformal (random),group_conformal_random,6.304345112449596,121.71856845880077,5660612.742250481,5660721.751403089,5660612.742250481,-1.925748281530626e-05,False,40.25311779975891,174,1,45,40,1914213.691774892,9954.1,620352.7666666666,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
4,Group Conformal (fixed),group_conformal_fixed,10.019602152441518,167.98576476491056,7170370.191110598,7216257.787354735,7170370.191110598,-0.006399613272551191,False,18.712174892425537,150,0,27,43,2067814.791774892,0.0,630109.1000000001,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
4,Group Conformal (oracle),group_conformal_oracle,14.927742495138924,229.77149717444482,9723549.001216875,9783213.386730392,9723549.001216875,-0.006136070842657276,False,19.153926134109497,130,1,29,33,2085717.175108225,51471.95,578848.4666666667,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
4,Bonferroni,bonferroni,17.26909811809999,,46651779.91534013,46651779.91534009,46651779.91534013,9.58237470524538e-16,False,0.3667011260986328,103,2,101,61,2471135.280952381,5312.21,625010.317965368,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
4,MaxRank,maxrank,6.930507914036509,,20719462.65120315,20719462.651203133,20719462.65120315,8.98983328181436e-16,False,0.3184680938720703,109,0,109,68,2419639.3500000006,0.0,630151.948917749,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
4,CI,ci,7.3114770517867544,,21592039.908057764,21592039.908057775,21592039.908057764,-5.175921748465789e-16,False,0.3250570297241211,99,0,99,63,2388950.4309523813,0.0,630289.9512987013,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
4,Co-Optimized,co_optimized,,,919061.0387207455,919061.0387207455,919061.0387207455,0.0,False,0.08067822456359863,93,4,89,69,2312254.2952380953,9354.016666666666,620971.4882034633,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
4,Planning-only,planning_only,,,0.0,0.0,0.0,9.511722789694549e-05,False,0.049481868743896484,240,240,0,2,2633892.8778571417,629660.3393885281,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.95,1.0
