unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,0.0,0.0,5.4819257749996355,0.1635752966400417,6257.0,2
ALHAMBRA 1105,0,0,0,0.0,0.0,6.229426065109251,0.2095731175025462,2740.5,3
ALLEGHANY 1101,0,0,0,0.0,0.0,7.481646188015555,0.2984041185403162,1618.0,1
ALLEGHANY 1102,0,0,0,0.0,0.0,7.327713946272203,0.2867039831017419,1068.5,2
ALTO 1120,1,0,0,4.947970399969025,0.0,4.947970399969025,0.1340192451613258,15676.0,2
ALTO 1122,0,0,0,0.0,0.0,4.947970399969027,0.1340192451613259,2899.5,2
ALTO 1123,0,0,0,0.0,0.0,4.947970399969027,0.1340192451613259,2795.0,0
ALTO 1124,1,0,0,5.011023991497693,0.0,5.011023991497693,0.1373643997419741,10515.0,2
ALTO 1125,0,0,0,0.0,0.0,5.011023991497693,0.1373643997419741,5408.5,4
ANDERSON 1101,0,0,0,0.0,0.0,8.118824347213778,0.3491185739346266,5357.0,2
ANDERSON 1103,0,0,0,0.0,0.0,8.118824347213778,0.3491185739346266,1315.5,2
ANITA 1106,0,0,0,0.0,0.0,8.119249770764656,0.3491536536908292,767.875,0
ANNAPOLIS 1101,0,0,0,0.0,0.0,7.375203834711411,0.2902905430808851,727.0,2
ANTELOPE 1101,0,0,0,0.0,0.0,9.201841817566653,0.4436056904362941,164.77272727272728,2
ANTLER 1101,0,0,0,0.0,0.0,8.296139219573696,0.363879554161481,4890.0,3
APPLE HILL 1103,0,0,0,0.0,0.0,7.206598202369408,0.2776504501404829,4209.5,2
APPLE HILL 1104,0,0,0,0.0,0.0,7.206598202369408,0.2776504501404829,1701.5,1
APPLE HILL 2102,0,0,0,0.0,0.0,7.356714995372054,0.2888917678832438,2137.0,2
ARCATA 1121,0,0,0,0.0,0.0,8.43074985771132,0.3752722082662825,5859.5,1
ARCATA 1122,0,0,0,0.0,0.0,8.43074985771132,0.3752722082662825,2574.5,4
ARLINGTON 0401,0,0,0,0.0,0.0,5.237408897164523,0.1496956108818659,5336.0,1
ARVIN 1101,0,0,0,0.0,0.0,8.325305526559458,0.3663343729028423,500.42857142857144,1
ATASCADERO 1101,1,0,0,5.18794239901223,0.0,6.729055056962982,0.2432701861441749,11520.0,1
ATASCADERO 1102,0,0,0,0.0,0.0,6.395964186258053,0.2205447526091054,6462.0,1
ATASCADERO 1103,0,0,0,0.0,0.0,6.656306195820116,0.2382183044421203,6120.0,4
AUBERRY 1101,0,0,0,0.0,0.0,7.252936845404911,0.2810984389086185,1059.5,3
AUBERRY 1102,0,0,0,0.0,0.0,6.94075161603991,0.2582508961592173,1059.5,1
AUBURN 1101,0,0,0,0.0,0.0,7.261038335500844,0.2817032805625278,4632.0,4
AUBURN 1102,0,0,0,0.0,0.0,7.261038335500844,0.2817032805625278,1546.3333333333333,3
BALCH NO 1 1101,0,0,0,0.0,0.0,6.85003742574749,0.251780587112129,580.0,2
BANCROFT 0401,1,0,0,5.538968904054568,0.0,5.538968904054568,0.1668966065400982,10746.0,0
BANCROFT 0402,0,0,0,0.0,0.0,5.538968904054568,0.1668966065400982,4121.0,0
BANGOR 1101,0,0,0,0.0,0.0,7.411814886040228,0.2930695656602289,1062.3333333333333,4
BASALT 1106,0,0,0,0.0,0.0,5.760958002253138,0.180120273870399,905.5,4
BAY MEADOWS 1105,0,0,0,0.0,0.0,5.7212542017643075,0.1777203718296654,2459.5,0
BAY MEADOWS 2102,0,0,0,0.0,0.0,5.7212542017643075,0.1777203718296654,1854.3333333333333,0
BAYWOOD 1101,0,0,0,0.0,0.0,6.535533940476695,0.2299406326958248,1230.0,2
BEAR VALLEY 2101,0,0,0,0.0,0.0,7.143368967554413,0.2729774554854866,5038.5,4
BEAR VALLEY 2105,0,0,0,0.0,0.0,6.706498349840484,0.2416985108781029,1603.0,4
BELL 1107,1,0,0,0.0,0.0,7.428239416672519,0.2943202708546338,8348.0,4
BELL 1108,0,0,0,0.0,0.0,7.198000876188894,0.2770129026239901,4663.0,3
BELL 1109,0,0,0,0.0,0.0,7.261038335500844,0.2817032805625278,3026.0,1
BELL 1110,0,0,0,0.0,0.0,7.261038335500844,0.2817032805625278,2955.5,4
BELLEVUE 1102,0,0,0,0.0,0.0,6.015941664493591,0.1958922070110017,3311.0,1
BELLEVUE 2101,0,0,0,0.0,0.0,6.517027568665639,0.2286842710575535,725.5,3
BELMONT 1103,1,0,0,0.0,0.0,6.61888963929804,0.2356392185843656,8404.0,3
BELMONT 1110,0,0,0,0.0,0.0,5.672367576129394,0.1747862005450409,2556.6666666666665,4
BEN LOMOND 0401,0,0,0,0.0,0.0,7.9036926415665265,0.3315867486782396,2509.5,4
BEN LOMOND 1101,0,0,0,0.0,0.0,7.9036926415665265,0.3315867486782396,2705.5,4
BERESFORD 0402,0,0,0,0.0,0.0,5.7212542017643075,0.1777203718296654,7115.333333333333,1
BERESFORD 0403,0,0,0,0.0,0.0,5.7212542017643075,0.1777203718296654,1856.5,0
BERKELEY F 0402,0,0,0,0.0,0.0,5.237408897164523,0.1496956108818659,5065.0,0
BERKELEY F 1103,1,0,0,5.132967456781361,0.0,5.132967456781361,0.1439444178934331,9660.333333333334,2
BERKELEY F 1105,0,0,0,0.0,0.0,5.237408897164523,0.1496956108818659,3386.0,2
BIG BASIN 1101,0,0,0,0.0,0.0,7.9036926415665265,0.3315867486782396,2705.5,1
BIG BASIN 1102,0,0,0,0.0,0.0,8.422822698776004,0.3745968482747748,6007.0,1
BIG BEND 1101,0,0,0,0.0,0.0,7.818502889430833,0.3247592105595428,1418.0,0
BIG BEND 1102,0,0,0,0.0,0.0,7.697923152622814,0.3152071990078412,888.75,4
BIG MEADOWS 2101,1,0,0,4.2919225492698745,0.0,7.306313889609315,0.2850945344630903,10046.666666666666,2
BIG RIVER 1101,0,0,0,0.0,0.0,8.316034080076117,0.3655532106330356,2443.0,1
BOGARD 1101,1,0,0,4.2850900067269,0.0,7.061972815271816,0.2670159572545595,9832.0,3
BOLINAS 1101,0,0,0,0.0,0.0,5.629634517835627,0.1722401837559592,2111.0,3
BONNIE NOOK 1101,0,0,0,0.0,0.0,7.353106288840407,0.2886191150534097,566.6,3
BONNIE NOOK 1102,0,0,0,0.0,0.0,7.353106288840407,0.2886191150534097,566.6,0
BRENTWOOD 2105,0,0,0,0.0,0.0,6.387827068142116,0.2200026030608158,1293.0,0
BRENTWOOD 2111,1,0,1,6.722833771134012,0.0,6.722833771134012,0.242836234722468,11610.5,4
BRIDGEVILLE 1101,0,0,0,0.0,0.0,8.122327529470532,0.3494074889921884,1358.0,2
BRIDGEVILLE 1102,0,0,0,0.0,0.0,8.21240740464825,0.3568741955928834,1358.0,0
BROWNS VALLEY 1101,0,0,0,0.0,0.0,7.58190870672004,0.3061409753874914,1967.5,1
BRUNSWICK 1102,0,0,0,0.0,0.0,7.1964753583275165,0.2768998464565133,7581.0,3
BRUNSWICK 1103,0,0,0,0.0,0.0,7.0452146605907275,0.2657961570865212,2644.5,2
BRUNSWICK 1104,0,0,0,0.0,0.0,7.0452146605907275,0.2657961570865212,6700.0,3
BRUNSWICK 1105,0,0,0,0.0,0.0,7.1964753583275165,0.2768998464565133,2644.5,4
BRUNSWICK 1106,0,0,0,0.0,0.0,7.1559888642138505,0.2739072022885732,4079.0,3
BRUNSWICK 1107,0,0,0,0.0,0.0,7.0452146605907275,0.2657961570865212,7037.0,4
BRUNSWICK 1110,0,0,0,0.0,0.0,7.0452146605907275,0.2657961570865212,6373.0,4
BUCKS CREEK 1103,0,0,0,0.0,0.0,8.072906078655798,0.3453417365018092,854.6666666666666,3
BUELLTON 1101,0,0,0,0.0,0.0,8.469367035864364,0.3785701810304848,6937.5,4
BUELLTON 1102,0,0,0,0.0,0.0,8.469367035864364,0.3785701810304848,3914.0,4
BURNEY 1101,0,0,0,0.0,0.0,6.836072171756997,0.2507912721617522,1384.6666666666667,1
BURNEY 1102,0,0,0,0.0,0.0,6.836072171756997,0.2507912721617522,1384.6666666666667,3
BURNS 2101,0,0,0,0.0,0.0,7.9036926415665265,0.3315867486782396,5661.5,1
BUTTE 1105,0,0,0,0.0,0.0,8.17510175670461,0.353773154364538,1246.6666666666667,3
CABRILLO 1103,0,0,0,0.0,0.0,7.295677401390663,0.2842961477978594,2496.0,2
CABRILLO 1104,1,0,1,7.336768967193939,0.0,7.336768967193939,0.2873862513608943,46690.5,4
CAL WATER 1102,0,0,0,0.0,0.0,8.759556013513448,0.4037737131705554,6749.0,3
CALAVERAS CEMENT 1101,0,0,0,0.0,0.0,7.51845234550163,0.3012336855997029,2172.0,4
CALISTOGA 1101,0,0,0,0.0,0.0,6.495311767952381,0.227214119609053,569.0,0
CALISTOGA 1102,0,0,0,0.0,0.0,6.110126880212214,0.2018746836120796,5797.0,2
CALPELLA 1101,0,0,0,0.0,0.0,7.331707864998972,0.2870048203027012,3009.0,3
CALPELLA 1102,0,0,0,0.0,0.0,7.540839902115736,0.3029608122920628,4236.0,1
CAMP EVERS 2103,1,0,1,6.536247995004808,0.0,6.536247995004808,0.2299891727424387,17638.0,3
CAMP EVERS 2104,0,0,0,0.0,0.0,7.310823498703627,0.2854333432860648,5231.0,1
CAMP EVERS 2105,0,0,0,0.0,0.0,7.310823498703627,0.2854333432860648,4735.0,3
CAMP EVERS 2106,0,0,0,0.0,0.0,7.310823498703627,0.2854333432860648,3450.0,3
CAMPHORA 1101,0,0,0,0.0,0.0,8.198785985151908,0.3557404737378214,1716.0,3
CARLOTTA 1121,0,0,0,0.0,0.0,8.616577077424122,0.3912630070445833,1358.0,0
CAROLANDS 0401,0,0,0,0.0,0.0,5.7212542017643075,0.1777203718296654,1944.0,4
CAROLANDS 0404,0,0,0,0.0,0.0,5.7212542017643075,0.1777203718296654,1854.3333333333333,4
CASTRO VALLEY 1102,1,0,0,6.277335093206922,0.0,6.277335093206922,0.2127025941210747,8877.0,4
CASTRO VALLEY 1105,1,0,0,5.538968904054568,0.0,5.538968904054568,0.1668966065400982,10696.5,0
CASTRO VALLEY 1108,1,0,0,6.277335093206922,0.0,6.277335093206922,0.2127025941210747,13970.0,1
CASTRO VALLEY 1110,0,0,0,0.0,0.0,6.277335093206922,0.2127025941210747,3863.0,3
CASTRO VALLEY 1111,0,0,0,0.0,0.0,6.277335093206922,0.2127025941210747,3863.0,2
