exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,7.000959957813027,129.22403447863832,6750660.804893236,5690978.907346164,6750660.804893236,0.15697454340750736,True,120.03792905807495,132,13,0,24,2064936.8321428574,369454.5,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
0,Group Conformal (fixed),group_conformal_fixed,11.582532108424253,186.30260327343814,9568961.927848566,6059360.4252496725,9568961.927848566,0.36676930361535814,True,172.3932750225067,101,13,0,34,2182567.0488095237,195685.2,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
0,Group Conformal (oracle),group_conformal_oracle,17.38789259983454,260.80987143168556,11713450.296558125,9866956.57050338,11713450.296558125,0.15763875538852268,True,126.25624990463257,123,7,0,22,2241206.2238095235,314257.05,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
0,Bonferroni,bonferroni,18.72918733624749,,47790824.34001104,47790824.34001101,47790824.34001104,6.235992536070247e-16,False,0.3043026924133301,175,175,0,0,3020542.441309524,630314.4075000001,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
0,MaxRank,maxrank,7.737286039981393,,22224592.141052153,22224592.141052123,22224592.141052153,1.3409614988005091e-15,False,1.1616709232330322,126,125,1,1,2774590.4338095235,628092.8121428572,2231.6666666666665,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
0,CI,ci,8.375408644249248,,23783885.710993823,23783885.710993838,23783885.710993823,-6.265234106367981e-16,False,0.7867040634155273,135,134,1,0,2816603.471309524,629809.3928571428,443.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
0,Co-Optimized,co_optimized,,,840525.1742086099,840525.1742086099,840525.1742086099,0.0,False,0.07668089866638184,120,119,1,0,2444835.4158333344,630160.179642857,164.77272727272728,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,8.969286836151656e-05,False,0.04189300537109375,240,240,0,2,2530829.094761906,628857.7865259739,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
1,Group Conformal (random),group_conformal_random,6.284384066054324,118.50444370254877,6403673.988054473,5186415.2178800665,6403673.988054473,0.19008756105402969,True,1111.8375010490417,103,16,0,18,611176.1952380952,367716.75,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
1,Group Conformal (fixed),group_conformal_fixed,9.888902592911638,163.39867871096567,7603253.474141703,6373772.636730517,7603253.474141703,0.161704570496379,True,1019.8355169296265,134,7,0,23,636508.8452380951,94061.85,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
1,Group Conformal (oracle),group_conformal_oracle,15.47396121655707,234.91277608573245,11579148.028181113,8921771.082282733,11579148.028181113,0.2294967591251883,True,538.3991739749908,117,14,0,24,639784.0119047619,336751.65,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
1,Bonferroni,bonferroni,15.024092550815316,,45100843.14894957,45100843.148949504,45100843.14894957,1.4867842969333982e-15,False,0.32964491844177246,118,114,4,4,618947.3969047618,612062.91,18211.214285714286,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
1,MaxRank,maxrank,7.624647701232432,,20822169.09436733,20822169.09436731,20822169.09436733,8.945490456778718e-16,False,0.3217909336090088,108,91,17,23,544119.706904762,499664.9528571429,130658.35,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
1,CI,ci,7.270074907688145,,21824990.41859941,21824990.418599404,21824990.41859941,3.4137841318704044e-16,False,0.7983331680297852,115,110,5,5,569274.3769047619,601542.9750000001,28644.714285714286,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
1,Co-Optimized,co_optimized,,,804166.9215863749,804166.9215863749,804166.9215863749,0.0,False,0.1397089958190918,113,112,1,1,790366.005,629434.0854545454,890.25,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
1,Planning-only,planning_only,,,0.0,0.0,0.0,8.574049298702836e-05,False,0.0453953742980957,240,240,0,2,612949.1939285714,628968.006525974,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
2,Group Conformal (random),group_conformal_random,4.756829683223477,94.96430469452746,4518540.0589727005,4209084.009490735,4518540.0589727005,0.06848584840306164,True,120.07223010063171,146,6,0,35,2525522.2583333333,236399.85,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
2,Group Conformal (fixed),group_conformal_fixed,7.77450242385082,132.53504031099766,5883519.6056134235,5547853.651818832,5883519.6056134235,0.05705189687382611,True,453.5976800918579,137,4,0,50,2532814.408333333,97614.0,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
2,Group Conformal (oracle),group_conformal_oracle,11.072332277864962,175.56570511736388,7571392.101113801,6620528.016178773,7571392.101113801,0.12558642746756568,True,120.37356901168823,136,5,0,36,2805851.9583333335,259123.5,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.95,0.9,1.0
