unit,x_star,y_star,z_final,u_worst,u_L,u_T,mu_hat,p_i,g_idx
ALHAMBRA 1102,0,0,0,4.188930794219162,0.0,4.188930794219162,0.1635752966400417,6257.0,2
ALHAMBRA 1105,0,0,0,4.511485934415011,0.0,4.511485934415011,0.2095731175025462,2740.5,3
ALLEGHANY 1101,1,1,0,15.292505427971196,0.0,15.292505427971196,0.2984041185403162,1618.0,1
ALLEGHANY 1102,0,0,0,9.84944737390031,0.0,9.84944737390031,0.2867039831017419,1068.5,2
ALTO 1120,0,0,0,3.212271097121215,0.0,3.212271097121215,0.1340192451613258,15676.0,2
ALTO 1122,0,0,0,2.493299264029373,0.0,2.493299264029373,0.1340192451613259,2899.5,2
ALTO 1123,0,0,0,4.1536166229837,0.0,4.1536166229837,0.1340192451613259,2795.0,0
ALTO 1124,0,0,0,3.739220759458986,0.0,3.739220759458986,0.1373643997419741,10515.0,2
ALTO 1125,0,0,0,3.3325853342533303,0.0,3.3325853342533303,0.1373643997419741,5408.5,4
ANDERSON 1101,0,0,0,5.222211006605338,0.0,5.222211006605338,0.3491185739346266,5357.0,2
ANDERSON 1103,0,0,0,6.0962764639945215,0.0,6.0962764639945215,0.3491185739346266,1315.5,2
ANITA 1106,0,0,0,5.284365180072365,0.0,5.284365180072365,0.3491536536908292,767.875,0
ANNAPOLIS 1101,0,0,0,6.950269753791534,0.0,6.950269753791534,0.2902905430808851,727.0,2
ANTELOPE 1101,0,0,0,12.538115330451436,0.0,12.538115330451436,0.4436056904362941,164.77272727272728,2
ANTLER 1101,0,0,0,7.146025634639939,0.0,7.146025634639939,0.363879554161481,4890.0,3
APPLE HILL 1103,0,0,0,9.575807953759488,0.0,9.575807953759488,0.2776504501404829,4209.5,2
APPLE HILL 1104,1,1,0,13.315595662812951,0.0,13.315595662812951,0.2776504501404829,1701.5,1
APPLE HILL 2102,0,0,0,9.09722161920322,0.0,9.09722161920322,0.2888917678832438,2137.0,2
ARCATA 1121,0,0,0,7.076103857572636,0.0,7.076103857572636,0.3752722082662825,5859.5,1
ARCATA 1122,0,0,0,7.064313911807592,0.0,7.064313911807592,0.3752722082662825,2574.5,4
ARLINGTON 0401,0,0,0,4.574501599383314,0.0,4.574501599383314,0.1496956108818659,5336.0,1
ARVIN 1101,1,1,0,13.737961440918488,0.0,13.737961440918488,0.3663343729028423,500.42857142857144,1
ATASCADERO 1101,0,0,0,5.042099516218285,0.0,5.042099516218285,0.2432701861441749,11520.0,1
ATASCADERO 1102,0,0,0,7.40704236716623,0.0,7.40704236716623,0.2205447526091054,6462.0,1
ATASCADERO 1103,0,0,0,5.879303766559978,0.0,5.879303766559978,0.2382183044421203,6120.0,4
AUBERRY 1101,0,0,0,9.391691760612598,0.0,9.391691760612598,0.2810984389086185,1059.5,3
AUBERRY 1102,0,0,0,7.287687971757518,0.0,7.287687971757518,0.2582508961592173,1059.5,1
AUBURN 1101,0,0,0,10.026458398731569,0.0,10.026458398731569,0.2817032805625278,4632.0,4
AUBURN 1102,1,1,0,14.553929114984854,0.0,14.553929114984854,0.2817032805625278,1546.3333333333333,3
BALCH NO 1 1101,0,0,0,7.505990128826113,0.0,7.505990128826113,0.251780587112129,580.0,2
BANCROFT 0401,0,0,0,4.303498061203691,0.0,4.303498061203691,0.1668966065400982,10746.0,0
BANCROFT 0402,0,0,0,3.5821718137598375,0.0,3.5821718137598375,0.1668966065400982,4121.0,0
BANGOR 1101,0,0,0,11.248916287300364,0.0,11.248916287300364,0.2930695656602289,1062.3333333333333,4
BASALT 1106,0,0,0,4.320606544625976,0.0,4.320606544625976,0.180120273870399,905.5,4
BAY MEADOWS 1105,0,0,0,5.0612607201576445,0.0,5.0612607201576445,0.1777203718296654,2459.5,0
BAY MEADOWS 2102,0,0,0,6.567965659658956,0.0,6.567965659658956,0.1777203718296654,1854.3333333333333,0
BAYWOOD 1101,0,0,0,8.051822453564473,0.0,8.051822453564473,0.2299406326958248,1230.0,2
BEAR VALLEY 2101,1,1,0,12.555491639264591,0.0,12.555491639264591,0.2729774554854866,5038.5,4
BEAR VALLEY 2105,0,0,0,10.288206598288689,0.0,10.288206598288689,0.2416985108781029,1603.0,4
BELL 1107,1,1,0,11.76539867564591,0.0,11.76539867564591,0.2943202708546338,8348.0,4
BELL 1108,0,0,0,11.196404899698194,0.0,11.196404899698194,0.2770129026239901,4663.0,3
BELL 1109,1,1,0,17.337727636716178,0.0,17.337727636716178,0.2817032805625278,3026.0,1
BELL 1110,1,1,0,11.81992844746516,0.0,11.81992844746516,0.2817032805625278,2955.5,4
BELLEVUE 1102,0,0,0,4.032150392108876,0.0,4.032150392108876,0.1958922070110017,3311.0,1
BELLEVUE 2101,0,0,0,5.314445782544442,0.0,5.314445782544442,0.2286842710575535,725.5,3
BELMONT 1103,0,0,0,5.795218573350886,0.0,5.795218573350886,0.2356392185843656,8404.0,3
BELMONT 1110,0,0,0,6.2460805234061345,0.0,6.2460805234061345,0.1747862005450409,2556.6666666666665,4
BEN LOMOND 0401,0,0,0,6.777794197127896,0.0,6.777794197127896,0.3315867486782396,2509.5,4
BEN LOMOND 1101,0,0,0,8.171737955522353,0.0,8.171737955522353,0.3315867486782396,2705.5,4
BERESFORD 0402,0,0,0,5.651945936908375,0.0,5.651945936908375,0.1777203718296654,7115.333333333333,1
BERESFORD 0403,0,0,0,4.338047542724164,0.0,4.338047542724164,0.1777203718296654,1856.5,0
BERKELEY F 0402,0,0,0,3.4491420808975923,0.0,3.4491420808975923,0.1496956108818659,5065.0,0
BERKELEY F 1103,0,0,0,4.377511286836864,0.0,4.377511286836864,0.1439444178934331,9660.333333333334,2
BERKELEY F 1105,0,0,0,3.587046734143838,0.0,3.587046734143838,0.1496956108818659,3386.0,2
BIG BASIN 1101,0,0,0,9.083283982324035,0.0,9.083283982324035,0.3315867486782396,2705.5,1
BIG BASIN 1102,0,0,0,7.483257301631125,0.0,7.483257301631125,0.3745968482747748,6007.0,1
BIG BEND 1101,1,1,0,13.241676806431334,0.0,13.241676806431334,0.3247592105595428,1418.0,0
BIG BEND 1102,0,0,0,11.44171512159522,0.0,11.44171512159522,0.3152071990078412,888.75,4
BIG MEADOWS 2101,1,1,0,18.34092699214892,0.0,18.34092699214892,0.2850945344630903,10046.666666666666,2
BIG RIVER 1101,0,0,0,6.1671080793214905,0.0,6.1671080793214905,0.3655532106330356,2443.0,1
BOGARD 1101,0,0,0,9.503169266788316,0.0,9.503169266788316,0.2670159572545595,9832.0,3
BOLINAS 1101,0,0,0,4.4139592281209,0.0,4.4139592281209,0.1722401837559592,2111.0,3
BONNIE NOOK 1101,1,1,0,11.87523090639242,0.0,11.87523090639242,0.2886191150534097,566.6,3
BONNIE NOOK 1102,0,0,0,11.854686509347124,0.0,11.854686509347124,0.2886191150534097,566.6,0
BRENTWOOD 2105,0,0,0,4.530232662127486,0.0,4.530232662127486,0.2200026030608158,1293.0,0
BRENTWOOD 2111,0,0,0,5.523087115676641,0.0,5.523087115676641,0.242836234722468,11610.5,4
BRIDGEVILLE 1101,0,0,0,6.14887496737394,0.0,6.14887496737394,0.3494074889921884,1358.0,2
BRIDGEVILLE 1102,0,0,0,6.135913827773998,0.0,6.135913827773998,0.3568741955928834,1358.0,0
BROWNS VALLEY 1101,1,1,0,12.764631912582004,0.0,12.764631912582004,0.3061409753874914,1967.5,1
BRUNSWICK 1102,0,0,0,9.059177930259038,0.0,9.059177930259038,0.2768998464565133,7581.0,3
BRUNSWICK 1103,1,1,0,12.716206039975388,0.0,12.716206039975388,0.2657961570865212,2644.5,2
BRUNSWICK 1104,0,0,0,11.243801702547474,0.0,11.243801702547474,0.2657961570865212,6700.0,3
BRUNSWICK 1105,1,1,0,12.551817777460236,0.0,12.551817777460236,0.2768998464565133,2644.5,4
BRUNSWICK 1106,1,1,0,17.579543798821398,0.0,17.579543798821398,0.2739072022885732,4079.0,3
BRUNSWICK 1107,1,1,0,14.997547870164505,0.0,14.997547870164505,0.2657961570865212,7037.0,4
BRUNSWICK 1110,0,0,0,10.32415675037521,0.0,10.32415675037521,0.2657961570865212,6373.0,4
BUCKS CREEK 1103,0,0,0,11.44226721836393,0.0,11.44226721836393,0.3453417365018092,854.6666666666666,3
BUELLTON 1101,0,0,0,8.687226581795825,0.0,8.687226581795825,0.3785701810304848,6937.5,4
BUELLTON 1102,1,1,0,14.236715322532625,0.0,14.236715322532625,0.3785701810304848,3914.0,4
BURNEY 1101,0,0,0,5.1744678324310485,0.0,5.1744678324310485,0.2507912721617522,1384.6666666666667,1
BURNEY 1102,0,0,0,4.515998052093543,0.0,4.515998052093543,0.2507912721617522,1384.6666666666667,3
BURNS 2101,0,0,0,8.278185168246576,0.0,8.278185168246576,0.3315867486782396,5661.5,1
BUTTE 1105,1,1,0,18.425015356989245,0.0,18.425015356989245,0.353773154364538,1246.6666666666667,3
CABRILLO 1103,0,0,0,8.570387725174998,0.0,8.570387725174998,0.2842961477978594,2496.0,2
CABRILLO 1104,0,0,0,7.979900168537103,0.0,7.979900168537103,0.2873862513608943,46690.5,4
CAL WATER 1102,1,1,0,15.510086630266889,0.0,15.510086630266889,0.4037737131705554,6749.0,3
CALAVERAS CEMENT 1101,1,1,0,14.963162921249452,0.0,14.963162921249452,0.3012336855997029,2172.0,4
CALISTOGA 1101,0,0,0,5.575232951115492,0.0,5.575232951115492,0.227214119609053,569.0,0
CALISTOGA 1102,0,0,0,4.792304721253534,0.0,4.792304721253534,0.2018746836120796,5797.0,2
CALPELLA 1101,0,0,0,5.2327687414053745,0.0,5.2327687414053745,0.2870048203027012,3009.0,3
CALPELLA 1102,0,0,0,5.143418654066721,0.0,5.143418654066721,0.3029608122920628,4236.0,1
CAMP EVERS 2103,0,0,0,6.276876379286095,0.0,6.276876379286095,0.2299891727424387,17638.0,3
CAMP EVERS 2104,0,0,0,6.234590921318221,0.0,6.234590921318221,0.2854333432860648,5231.0,1
CAMP EVERS 2105,0,0,0,6.406764852999617,0.0,6.406764852999617,0.2854333432860648,4735.0,3
CAMP EVERS 2106,0,0,0,5.449492270892745,0.0,5.449492270892745,0.2854333432860648,3450.0,3
CAMPHORA 1101,0,0,0,9.29439408674951,0.0,9.29439408674951,0.3557404737378214,1716.0,3
CARLOTTA 1121,0,0,0,8.141652366820397,0.0,8.141652366820397,0.3912630070445833,1358.0,0
CAROLANDS 0401,0,0,0,3.5338270634729065,0.0,3.5338270634729065,0.1777203718296654,1944.0,4
CAROLANDS 0404,0,0,0,4.838695027607987,0.0,4.838695027607987,0.1777203718296654,1854.3333333333333,4
CASTRO VALLEY 1102,0,0,0,4.448055492686764,0.0,4.448055492686764,0.2127025941210747,8877.0,4
CASTRO VALLEY 1105,0,0,0,3.6697190582841657,0.0,3.6697190582841657,0.1668966065400982,10696.5,0
CASTRO VALLEY 1108,0,0,0,5.293556604711716,0.0,5.293556604711716,0.2127025941210747,13970.0,1
CASTRO VALLEY 1110,0,0,0,4.127307767255265,0.0,4.127307767255265,0.2127025941210747,3863.0,3
