exp_id,method,method_slug,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,delta
0,Group Conformal (random),group_conformal_random,7.000959957813027,129.22403447863832,6034376.019281191,6034781.518028252,6034376.019281191,-6.719812384335131e-05,False,23.12177610397339,142,0,24,53,1834153.1904761905,0.0,630301.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
0,Group Conformal (fixed),group_conformal_fixed,11.582532108424253,186.30260327343814,8103946.524033133,8136089.870962004,8103946.524033133,-0.0039663819144840915,False,45.55897402763367,143,0,29,53,1925677.3571428575,0.0,630286.9333333333,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
0,Group Conformal (oracle),group_conformal_oracle,17.38789259983454,260.80987143168556,11082102.103625385,11088071.809598858,11082102.103625385,-0.0005386799289206624,False,35.963621854782104,140,0,28,46,2052822.023809524,0.0,630030.9333333333,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
0,Bonferroni,bonferroni,18.72918733624749,,48719880.90013521,48719880.90013518,48719880.90013521,6.117076199094855e-16,False,0.3504352569580078,154,1,153,22,3021257.9404761908,509.94000000000005,629802.2,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
0,MaxRank,maxrank,7.737286039981393,,22583219.42055962,22583219.420559626,22583219.42055962,-3.2991667211721225e-16,False,0.35193777084350586,106,3,103,19,2765395.6904761908,179165.69999999998,451059.8857142857,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
0,CI,ci,8.375408644249248,,24224125.67683297,24224125.67683297,24224125.67683297,0.0,False,0.3291783332824707,174,0,174,28,2983649.3404761907,0.0,630294.0012987014,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
0,Co-Optimized,co_optimized,,,850779.3050626363,850779.3050626363,850779.3050626363,0.0,False,0.7798707485198975,110,2,108,44,2409534.2452380955,4653.719999999999,625571.5417748919,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
0,Planning-only,planning_only,,,0.0,0.0,0.0,8.969286836151656e-05,False,0.04775118827819824,240,240,0,2,2560106.7228571433,628857.7865259739,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
1,Group Conformal (random),group_conformal_random,6.284384066054324,118.50444370254877,5477248.001546547,5538018.998196996,5477248.001546547,-0.011095169806678427,False,18.338072776794434,150,1,28,24,546930.8452380953,172251.0,458066.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
1,Group Conformal (fixed),group_conformal_fixed,9.888902592911638,163.39867871096567,7052764.440973977,7052765.521444323,7052764.440973977,-1.531981331514813e-07,False,22.57034397125244,127,0,38,20,620112.6785714286,0.0,630104.6000000001,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
1,Group Conformal (oracle),group_conformal_oracle,15.47396121655707,234.91277608573245,10021316.631511172,10051909.813942732,10021316.631511172,-0.0030528106791239754,False,119.91118907928467,136,2,24,34,514975.7119047619,45986.850000000006,584097.1000000001,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
1,Bonferroni,bonferroni,15.024092550815316,,45635415.41281223,45635415.41281225,45635415.41281223,-3.265262528905155e-16,False,0.33626770973205566,110,1,109,43,631056.0785714285,2160.0,628099.9476190476,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
1,MaxRank,maxrank,7.624647701232432,,20972160.99211435,20972160.99211436,20972160.99211435,-5.328907640747147e-16,False,0.32738828659057617,105,2,103,47,558801.3285714285,2573.325,627749.530952381,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
1,CI,ci,7.270074907688145,,22016923.749621235,22016923.74962125,22016923.749621235,-6.768048689864771e-16,False,0.3499948978424072,104,4,100,48,571004.9785714287,6201.995454545455,624065.7142857143,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
1,Co-Optimized,co_optimized,,,814738.9951724986,814738.9951724986,814738.9951724986,0.0,False,0.09839725494384766,96,4,92,39,830444.1976190475,14561.400000000001,615761.0608225109,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
1,Planning-only,planning_only,,,0.0,0.0,0.0,8.574049298702836e-05,False,0.04783201217651367,240,240,0,2,634631.0045238091,628968.006525974,0.0,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
2,Group Conformal (random),group_conformal_random,4.756829683223477,94.96430469452746,4369663.348100917,4374123.324661186,4369663.348100917,-0.0010206682311594746,False,60.62079620361328,157,0,39,58,2202075.058333333,0.0,630278.7666666667,401.5,240.89999999999998,630327.9860876623,0.5,0.3,0.15,0.9,0.9,1.0
