scenario_slug,exp_id,method,method_slug,mht_method,alpha,B_budget_multiplier,C_budget_multiplier,W_cap_multiplier,effective_alpha,gamma_i_multiplier,delta,opt_cost,true_cost,x_size,y_size,z_star_size,z_size,avg_circuit_bound_width,avg_group_bound_width,worst_value,best_lower,best_upper,gap,timed_out,elapsed_sec,x_sum,y_sum,z_sum,z_star_sum,eval_cost,W_used_fasttrip_opt,W_used_psps_opt,B_budget,C_budget,W_cap,B_budget_fraction,C_budget_fraction,W_cap_fraction,alpha_effective,gamma,K_groups,grouping_method,population_psps_actual,population_fast_trip,population_psps
a0p4__C0p3__B0p2__W0p1__ae0p7__g0p8__d0p8__expid0__e0ed332eeb,0,Group Conformal (random),group_conformal_random,group_conformal_random,0.4,0.2,0.3,0.1,0.7,0.8,0.8,7842650.72104766,1916572.6904761908,209,0,57,18,8.32859866126265,146.2258781249679,7842650.72104766,7842650.721047659,7842650.72104766,1.187509947518188e-16,False,10.63686203956604,209,0,18,57,1916572.6904761908,0.0,420110.26666666666,160.60000000000002,240.89999999999998,420218.6573917749,0.2,0.3,0.1,0.7,0.8,5,grid,,,
a0p4__C0p3__B0p2__W0p1__ae0p7__g0p8__d0p8__expid0__e0ed332eeb,0,Group Conformal (fixed),group_conformal_fixed,group_conformal_fixed,0.4,0.2,0.3,0.1,0.7,0.8,0.8,12011183.582200449,2024995.8571428573,205,0,54,17,15.283223930452401,233.17280126137774,12011183.582200449,12011183.582199896,12011183.582200449,4.6057543416570353e-14,False,18.88348078727722,205,0,17,54,2024995.8571428573,0.0,419892.0,160.60000000000002,240.89999999999998,420218.6573917749,0.2,0.3,0.1,0.7,0.8,5,grid,,,
a0p4__C0p3__B0p2__W0p1__ae0p7__g0p8__d0p8__expid0__e0ed332eeb,0,Group Conformal (oracle),group_conformal_oracle,group_conformal_oracle,0.4,0.2,0.3,0.1,0.7,0.8,0.8,16029944.988832096,2037088.523809524,208,0,55,21,22.005821856836814,319.5617003681235,16029944.988832096,16088729.773610823,16029944.988832096,-0.00366718568402337,False,16.867978811264038,208,0,21,55,2037088.523809524,0.0,420140.85333333333,160.60000000000002,240.89999999999998,420218.6573917749,0.2,0.3,0.1,0.7,0.8,5,grid,,,
a0p4__C0p3__B0p2__W0p1__ae0p7__g0p8__d0p8__expid0__e0ed332eeb,0,Bonferroni,bonferroni,bonferroni,0.4,0.2,0.3,0.1,0.7,0.8,0.8,52231985.56483351,3032787.7738095243,123,0,18,123,18.72918733624749,,52231985.56483351,52231985.5648335,52231985.56483351,1.4264402389366792e-16,False,0.3142049312591553,123,0,123,18,3032787.7738095243,0.0,420114.8533333334,160.60000000000002,240.89999999999998,420218.6573917749,0.2,0.3,0.1,0.7,0.8,5,grid,,,
a0p4__C0p3__B0p2__W0p1__ae0p7__g0p8__d0p8__expid0__e0ed332eeb,0,MaxRank,maxrank,maxrank,0.4,0.2,0.3,0.1,0.7,0.8,0.8,29635319.771130886,3008638.4404761908,123,0,21,123,10.325398844225042,,29635319.771130886,29635319.771130897,29635319.771130886,-3.771132210381164e-16,False,0.3162858486175537,123,0,123,21,3008638.4404761908,0.0,420198.7866666667,160.60000000000002,240.89999999999998,420218.6573917749,0.2,0.3,0.1,0.7,0.8,5,grid,,,
a0p4__C0p3__B0p2__W0p1__ae0p7__g0p8__d0p8__expid0__e0ed332eeb,0,CI,ci,ci,0.4,0.2,0.3,0.1,0.7,0.8,0.8,25987923.2289506,2993515.8404761907,136,0,25,136,8.507157914915426,,25987923.2289506,25987923.228950445,25987923.2289506,6.020573139184172e-15,False,0.7549591064453125,136,0,136,25,2993515.8404761907,0.0,420175.19999999995,160.60000000000002,240.89999999999998,420218.6573917749,0.2,0.3,0.1,0.7,0.8,5,grid,,,
a0p4__C0p3__B0p2__W0p1__ae0p7__g0p8__d0p8__expid0__e0ed332eeb,0,Co-Optimized,co_optimized,co_optimized,0.4,0.2,0.3,0.1,0.7,0.8,0.8,888753.9530047821,2491027.8452380956,87,0,39,87,,,888753.9530047821,888753.9530047821,888753.9530047821,0.0,False,0.09956979751586914,87,0,87,39,2491027.8452380956,0.0,420215.97047619044,160.60000000000002,240.89999999999998,420218.6573917749,0.2,0.3,0.1,0.7,0.8,5,grid,,,
a0p4__C0p3__B0p2__W0p1__ae0p7__g0p8__d0p8__expid0__e0ed332eeb,0,Planning-only,planning_only,planning_only,0.4,0.2,0.3,0.1,0.7,0.8,0.8,0.0,2716785.4921428584,240,160,0,0,,,0.0,0.0,0.0,6.155834679482247e-05,False,0.048270225524902344,240,160,0,0,2716785.4921428584,419900.79818181816,0.0,160.60000000000002,240.89999999999998,420218.6573917749,0.2,0.3,0.1,0.7,0.8,5,grid,,,
a0p4__C0p3__B0p2__W0p1__ae0p7__g0p8__d0p9__expid0__cb0484bdad,0,Group Conformal (random),group_conformal_random,group_conformal_random,0.4,0.2,0.3,0.1,0.7,0.8,0.9,8482230.786805106,2205452.1904761908,97,0,35,13,8.32859866126265,146.2258781249679,8482230.786805106,8483869.310156602,8482230.786805106,-0.00019317127683497602,False,8.790390014648438,97,0,13,35,2205452.1904761908,0.0,420027.24,160.60000000000002,240.89999999999998,420218.6573917749,0.2,0.3,0.1,0.7,0.8,5,grid,,,
a0p4__C0p3__B0p2__W0p1__ae0p7__g0p8__d0p9__expid0__cb0484bdad,0,Group Conformal (fixed),group_conformal_fixed,group_conformal_fixed,0.4,0.2,0.3,0.1,0.7,0.8,0.9,13022517.138724964,2272297.966666667,159,0,42,15,15.283223930452401,233.17280126137774,13022517.138724964,13033958.640404731,13022517.138724964,-0.0008785937125583358,False,7.827466011047363,159,0,15,42,2272297.966666667,0.0,420197.69999999995,160.60000000000002,240.89999999999998,420218.6573917749,0.2,0.3,0.1,0.7,0.8,5,grid,,,
